scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-128.91590685512878,0.38603563959518195,0.680754551610934,0.023817934171730937,3,,,0.0
overall,Static_basic,-127.53907735804299,0.19393342832659743,0.6778107515757872,0.024037562159555582,3,,0.0,1.3768294970857937
overall,Seq_basic,-127.12314440759113,0.15751937585350212,0.6769161176252148,0.02410430808389077,3,,0.009900990099009901,1.7927624475376547
overall,StaticGain_basic,-126.91590685512924,0.14201457536656814,0.6807545516109348,0.02381793417173088,4,1.0703882807107963,0.0,1.9999999999995453
overall,SeqGain_basic,-126.58729685860408,0.12049698085815039,0.6800544033339722,0.02387017011011401,4,1.072883121922037,0.009900990099009901,2.3286099965247047
overall,Linear_weber,-12.29044296293523,1.8269627499151668e-26,0.6520714301103367,0.02595789482955181,3,,,116.62546389219355
overall,Static_weber,-11.7895223531265,1.4221852307497354e-26,0.6342791858530643,0.027285320184010167,3,,0.0016675296499748305,117.12638450200228
overall,Seq_weber,-11.610574837501815,1.3004636123930377e-26,0.6329093858829168,0.027387516803200965,3,,0.009900990099009901,117.30533201762697
overall,StaticGain_weber,-10.679099061890412,8.162643142083e-27,0.646817116835116,0.026349903199094308,4,1.1061936755310349,0.09750653232529867,118.23680779323837
overall,SeqGain_weber,-10.149995678556337,6.265236514372391e-27,0.6511582700884716,0.026026022927849814,4,1.0630762005936238,0.009900990099009901,118.76591117657244
range:long,Linear_basic,-56.99730917578198,0.42282186682797007,0.58710281503162,0.01660878926535309,3,,,0.0
range:long,SeqGain_basic,-56.01229502674431,0.25838323692480375,0.595400010759572,0.01627503456719622,4,1.4209054277580322,0.1371944268586728,0.9850141490376672
range:long,StaticGain_basic,-54.99730917578213,0.15554747208375122,0.5871028150316187,0.016608789265353145,4,2.031556597039907,0.36891121291468226,1.9999999999998508
range:long,Static_basic,-53.66878896587248,0.08005315622106439,0.5586805368800498,0.017752075404,3,,0.0,3.328520209909499
range:long,Seq_basic,-53.60526990904795,0.07755065520343665,0.5581195366923564,0.01777464163654997,3,,0.009900990099009901,3.392039266734031
range:long,Linear_weber,-46.910948611468896,0.0027285509741501015,0.5752348945026022,0.017086176368632827,3,,,10.086360564313082
range:long,SeqGain_weber,-45.94499120857564,0.0016833603233060229,0.5852659477844362,0.016682677250371057,4,1.6014421296214354,0.1314098564416764,11.052317967206342
range:long,StaticGain_weber,-44.910948611468996,0.0010037778075781838,0.5752348921744356,0.017086176462283335,4,2.9731960661636814,0.5108914761719703,12.086360564312983
range:long,Static_weber,-40.60507066913084,0.00011658108009306723,0.5303223931209005,0.018892781736711783,3,,0.0,16.39223850665114
range:long,Seq_weber,-40.513119714055755,0.00011134255384651473,0.5291189423872308,0.018941190542473646,3,,0.009900990099009901,16.484189461726224
range:medium,Linear_basic,-23.192467749053154,0.5044258080320394,0.5534084296903374,0.03265600821377658,3,,,0.0
range:medium,StaticGain_basic,-21.192467749053044,0.1855678843712697,0.5534084296903363,0.03265600821377666,4,1.342792392131396,0.0001296167231281485,2.00000000000011
range:medium,SeqGain_basic,-21.059723965847365,0.17365123253627732,0.5522212093346384,0.03274282104291348,4,1.3511348396526974,0.009900990099009901,2.1327437832057896
range:medium,Static_basic,-19.312210525007963,0.07247865875765322,0.5173703407803532,0.03529121274000002,3,,0.0,3.8802572240451916
range:medium,Seq_basic,-19.05952589215906,0.06387639195463315,0.5149251052854167,0.03547001510823974,3,,0.009900990099009901,4.132941856894096
range:medium,Linear_weber,11.810915248140134,1.2644721153417035e-08,0.5319979920523423,0.034221598506674666,3,,,35.003382997193285
range:medium,StaticGain_weber,13.81091524813985,4.651732951688435e-09,0.5319980034853834,0.034221597670659146,4,1.9427943814096418,0.20962932450137264,37.003382997193
range:medium,SeqGain_weber,13.88504890150466,4.482464475319941e-09,0.5309648201308976,0.0342971468891252,4,1.5448805496444633,0.009900990099009901,37.07751665055781
range:medium,Static_weber,16.307578289116037,1.334969316197718e-09,0.43733633224348256,0.04114352033807956,3,,0.0,39.50004603816919
range:medium,Seq_weber,16.46448511944577,1.2342393782689405e-09,0.4335944038595724,0.041417140469233414,3,,0.009900990099009901,39.65695286849892
range:short,Static_basic,-56.8428060504911,0.3116822132633779,0.36452451688719023,0.016660190838465393,3,,0.18441683256759236,0.0
range:short,Linear_basic,-56.84280605049101,0.31168221326336465,0.36452451688719,0.0166601908384654,3,,,8.526512829121202e-14
range:short,Seq_basic,-55.40816544316353,0.15211910778552487,0.34602683197221296,0.01714514260913601,3,,0.012985044934193305,1.434640607327566
range:short,StaticGain_basic,-54.84280605048826,0.11466147843824684,0.3645245168871848,0.016660190838465535,4,1.481536951745074,0.4495018973995354,2.000000000002842
range:short,SeqGain_basic,-54.75712329097888,0.10985295971944276,0.3634345974209289,0.016688765137221225,4,0.8204091445923559,0.009900990099009901,2.085682759512217
range:short,Static_weber,-30.66525721582886,6.446582053387588e-07,0.259066140592601,0.019424981489359245,3,,0.2860223426440864,26.17754883466224
range:short,Linear_weber,-30.665257215828603,6.446582053386763e-07,0.2590661587139411,0.019424981014274065,3,,,26.177548834662495
range:short,Seq_weber,-28.9345154459009,2.713336860234105e-07,0.3217847477741764,0.017780694663926674,3,,0.009900990099009901,27.9082906045902
range:short,StaticGain_weber,-28.665257215828888,2.3715650032661087e-07,0.2590661743003272,0.0194249806056475,4,1.9827733690249427,0.6399095778861126,28.17754883466221
range:short,SeqGain_weber,-28.60156904377881,2.2972344585272686e-07,0.25709979316493803,0.01947653300357207,4,0.7168586508017591,0.009900990099009901,28.24123700671229
