scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-268.9384687323146,0.6228683671739036,0.7624608791052017,0.00936477291830989,3,,,0.0
overall,StaticGain_basic,-266.93846873231587,0.2291404668394477,0.7624608791052011,0.009364772918309913,4,0.8234670503024841,0.0,1.9999999999987494
overall,SeqGain_basic,-266.0634290931735,0.1479412725982491,0.7610711217596651,0.009419562891024604,4,0.8250581901253085,0.009900990099009901,2.8750396391411073
overall,Static_basic,-248.2984114888717,2.0533585550061012e-05,0.7274198467853117,0.010746235092888952,3,,0.0,20.640057243442925
overall,Seq_basic,-247.9873480585276,1.7575926441496378e-05,0.7268539954859254,0.010768543287447902,3,,0.009900990099009901,20.951120673787017
overall,Linear_weber,-246.21103588750228,7.230976319964273e-06,0.7616040026241624,0.009398554527140238,3,,,22.72743284481234
overall,StaticGain_weber,-244.2110358875022,2.660127527712276e-06,0.7616040019964125,0.009398554551888729,4,0.8811190933344305,0.0,24.727432844812427
overall,SeqGain_weber,-243.46266981343464,1.829771375008905e-06,0.7590845623000393,0.009497881267206333,4,0.8830444362444387,0.009900990099009901,25.475798918879974
overall,Static_weber,-235.48768673314478,3.393526591709587e-08,0.7255472141306449,0.010820062004028078,3,,0.0,33.450781999169834
overall,Seq_weber,-235.1779098611931,2.9065919313389314e-08,0.7238921397405642,0.01088531187010332,3,,0.009900990099009901,33.76055887112153
range:long,SeqGain_weber,-95.9942550165033,0.5697971233643618,0.38697755851756,0.00788699960672712,4,1.8125590854715736,0.9900990099009901,0.0
range:long,SeqGain_basic,-94.84948118691105,0.3214665384386016,0.4182304839173179,0.007484906969235931,4,1.7980417217052655,0.9900990099009901,1.1447738295922534
range:long,Seq_weber,-91.83332252482006,0.07115169361591481,0.3033284949176648,0.008963208383228108,3,,0.9900990099009901,4.160932491683241
range:long,Seq_basic,-90.22718509489,0.03187255876381847,0.33584186870861166,0.008544899119243495,3,,0.9900990099009901,5.767069921613299
range:long,Linear_basic,-84.29503323677258,0.0016415968935881515,0.25217925179335665,0.009621282269447107,3,,,11.69922177973072
range:long,Static_basic,-84.29503323676838,0.001641596893584699,0.25217925179335565,0.00962128226944712,3,,0.5247887311305647,11.699221779734927
range:long,Static_weber,-82.78284521859037,0.0007707243242863875,0.21879276116354374,0.010050824845132528,3,,0.5966106577542667,13.211409797912935
range:long,Linear_weber,-82.78284521859025,0.0007707243242863437,0.2187927505620595,0.010050824981528681,3,,,13.21140979791305
range:long,StaticGain_basic,-82.29503323677284,0.0006039097478420621,0.25217925179335976,0.009621282269447067,4,1.443442399765418,0.6707791858716933,13.699221779730465
range:long,StaticGain_weber,-80.78284521859038,0.00028353363371571574,0.21879276421730964,0.01005082480584351,4,2.858985564256364,0.8589047315839176,15.211409797912921
range:medium,Linear_basic,-137.2907684802939,0.5087698820832425,0.9038363123416736,0.00333363347564858,3,,,0.0
range:medium,StaticGain_basic,-135.29076848029305,0.18716597990556402,0.9038363123416727,0.0033336334756486107,4,1.4519615671344897,0.1863333082166178,2.0000000000008527
range:medium,SeqGain_basic,-135.00449839724214,0.16220496875647303,0.9032841574586952,0.0033527746093390833,4,1.1898204656215297,0.009900990099009901,2.286270083051761
range:medium,Linear_weber,-133.47099818772875,0.07534749426988029,0.9003942691711391,0.0034529561702886934,3,,,3.8197702925651527
range:medium,SeqGain_weber,-131.83471447376422,0.0332471421486127,0.8974433491197661,0.003555253473010401,4,1.3687592971963534,0.030496659645679554,5.456054006529683
range:medium,StaticGain_weber,-131.47099818772926,0.027718794085679104,0.900394267832944,0.0034529562166788867,4,2.0123190954946146,0.3344241372606335,5.819770292564641
range:medium,Static_basic,-127.28183423277409,0.003412785064801609,0.8825244174159067,0.004072436739999998,3,,0.0,10.008934247519818
range:medium,Seq_basic,-126.34130193361807,0.0021324307855759093,0.8802937110824736,0.004149766941124314,3,,0.009900990099009901,10.949466546675836
range:medium,Static_weber,-108.65626540004448,3.08047759447774e-07,0.8465716465391152,0.005318784123879864,3,,0.0,28.63450308024943
range:medium,Seq_weber,-107.93565839967492,2.148524114230863e-07,0.8426044690565881,0.005456311250611741,3,,0.009900990099009901,29.355110080618985
range:short,Linear_basic,-108.2213187466077,0.29640833196646005,0.7941286426868739,0.005962273318562615,3,,,0.0
range:short,Linear_weber,-107.02773984107165,0.16319544813427336,0.7895902565211551,0.006093710246449784,3,,,1.193578905536043
range:short,SeqGain_basic,-106.619450119841,0.13306047048474026,0.795761410424185,0.005914986470879509,4,1.3106531810435755,0.047007143392558653,1.601868626766688
range:short,StaticGain_basic,-106.22131874660799,0.10904253152239696,0.7941286426868763,0.005962273318562543,4,1.27448455136121,0.007265471918810407,1.9999999999997016
range:short,SeqGain_weber,-106.04252385651704,0.09971743721639356,0.7735717058189606,0.006557626056304152,4,1.1622213358809566,0.07731135882721472,2.178794890090657
range:short,Static_weber,-105.16847573945755,0.064413065952968,0.7834682011130578,0.006271012072652556,3,,0.0,3.0528430071501447
range:short,Seq_weber,-105.12842048341712,0.06313585744787757,0.780835965773685,0.0063472446614737865,3,,0.009900990099009901,3.092898263190577
range:short,StaticGain_weber,-105.0277398410723,0.060036250261379216,0.7895902548381403,0.006093710295191845,4,2.0939277088893435,0.47429893161977865,3.1935789055353894
range:short,Static_basic,-100.39219966189458,0.005913148680586393,0.7592319850447973,0.006972921004000018,3,,0.0,7.829119084713113
range:short,Seq_basic,-100.0874643558979,0.0050774583329246375,0.7577600939348559,0.007015548677937609,3,,0.009900990099009901,8.1338543907098
