scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-467.23990102175765,1.0,0.9032309522786571,0.0055419693841865,4,1.7642200627992086,0.8052616524770052,0.0
overall,SeqGain_weber,-378.07256352712164,4.340689092415844e-20,0.8814480921805631,0.006789475137382306,4,1.734438947010962,0.9900990099009901,89.167337494636
overall,StaticGain_basic,-325.57945104501107,1.7331020484715724e-31,0.8893919941921298,0.0063345273748926425,4,1.3371189702432051,0.7324417046061827,141.66044997674658
overall,SeqGain_basic,-300.10646393060404,5.0984159589598654e-37,0.8689194042906796,0.007506993872398734,4,1.2924186449218122,0.9460586550014513,167.1334370911536
overall,Static_basic,-267.8416706246734,5.026022386228185e-44,0.8352804482913107,0.00943349897557319,3,,0.642242719882801,199.39823039708426
overall,Seq_basic,-259.7526260273978,8.80462173298101e-46,0.8261537470175437,0.009956185725405459,3,,0.8855622535026852,207.48727499435984
overall,Static_weber,-231.8423762790274,7.657323149020267e-52,0.6600801807592044,0.019467229198486896,3,,0.6564387058767628,235.39752474273024
overall,Seq_weber,-224.64212710101896,2.092005067065278e-53,0.6624948760204956,0.019328939450625037,3,,0.8219884603699725,242.5977739207387
overall,Linear_weber,-185.02218292864245,5.214361882729706e-62,0.6896361379287961,0.017774557692347044,3,,,282.2177180931152
overall,Linear_basic,-184.88488616937198,4.868414597528454e-62,0.7136285996799727,0.016400507914992868,3,,,282.3550148523857
range:long,Static_weber,-94.91273177809583,0.27698552721657105,0.48203362833542174,0.008612413329560743,3,,0.2624112181386888,0.0
range:long,Linear_weber,-94.91273177809556,0.2769855272165337,0.48203362692061447,0.008612413353085253,3,,,2.7000623958883807e-13
range:long,Seq_weber,-93.28744299950941,0.1228938367983843,0.4782665439070375,0.00867504999850188,3,,0.2788430275084651,1.6252887785864232
range:long,SeqGain_weber,-93.13515181383933,0.11388341781427515,0.4852402189056829,0.008559096193776405,4,0.7794854137579045,0.07640200373063026,1.7775799642565033
range:long,StaticGain_weber,-92.91273177809593,0.10189728096501456,0.48203363565142976,0.008612413207914843,4,2.1793963944825996,0.6615627948051733,1.9999999999999005
range:long,Static_basic,-90.45644380329114,0.029839149386185305,0.48844501143744357,0.008505808954625509,3,,0.24814551961932466,4.456287974804695
range:long,Linear_basic,-90.45644380329026,0.02983914938617216,0.4884450114374346,0.008505808954625658,3,,,4.456287974805576
range:long,Seq_basic,-89.89156108994604,0.02249695377871151,0.48263287007655364,0.008602449521403915,3,,0.27615609700794447,5.021170688149795
range:long,SeqGain_basic,-88.97155951871248,0.014201947836932936,0.49368815708024116,0.008418629284490282,4,0.8218552829844488,0.11905512253292308,5.94117225938335
range:long,StaticGain_basic,-88.45644380329082,0.010977209601219323,0.4884450114374418,0.008505808954625538,4,1.872850034359758,0.5985506049695721,6.456287974805008
range:medium,Seq_weber,-127.3465791631346,0.5224689780858878,0.23558213891404833,0.004594732302700996,3,,0.9378744997380518,0.0
range:medium,SeqGain_weber,-126.57509301411218,0.3552502730109831,0.2519188620834074,0.004496536180543539,4,0.7350503371722077,0.8832604205993106,0.7714861490224223
range:medium,Static_weber,-122.13678320974225,0.038616036103566384,0.1874415220857426,0.004884093996707903,3,,0.7432371574282267,5.209795953392359
range:medium,Linear_weber,-122.13678320974202,0.03861603610356199,0.18744151594694747,0.004884094033606727,3,,,5.209795953392586
range:medium,StaticGain_weber,-120.13678320974205,0.01420604578203483,0.18744153149521892,0.004884093940149799,4,2.97483495449779,0.9136883680769224,7.2097959533925575
range:medium,SeqGain_basic,-119.86770119037945,0.012417746559547072,0.24499205581857164,0.004538171550567963,4,0.5282610208061967,0.832869678406034,7.478877972755157
range:medium,Static_basic,-118.69002743394523,0.006891506734686556,0.19545110101643426,0.004835950340054459,3,,0.7712362737973798,8.656551729189374
range:medium,Linear_basic,-118.69002743394454,0.006891506734684157,0.1954511010164256,0.004835950340054511,3,,,8.65655172919007
range:medium,StaticGain_basic,-116.69002743394513,0.0025352436463855956,0.19545110101642804,0.004835950340054496,4,1.241114096710628,0.815678757165144,10.656551729189474
range:medium,Seq_basic,-116.31962435013222,0.0021066272386625067,0.15639041708406853,0.005070734736607766,3,,0.959334412307893,11.02695481300239
range:short,Static_weber,-256.8474598044117,0.36467454511096836,0.5065267214009737,0.0003748225634926764,3,,0.6800241333148093,0.0
range:short,Linear_weber,-256.8474598044106,0.36467454511077146,0.5065267099979819,0.00037482257215393287,3,,,1.0800249583553523e-12
range:short,StaticGain_weber,-254.84745980441193,0.13415626786488824,0.506526727263646,0.000374822559039625,4,1.7743975830884842,0.8196706926891746,1.9999999999997726
range:short,SeqGain_weber,-254.73698282568313,0.12694663600598216,0.5050990764194412,0.0003759069455148492,4,0.32191979496827644,0.009900990099009901,2.1104769787285704
range:short,Static_basic,-247.55889920438648,0.0035068738464269387,0.5162968131982375,0.0003674015925671467,3,,0.8347866397829515,9.288560600025221
range:short,Linear_basic,-247.55889920437255,0.0035068738464025194,0.5162968131981617,0.0003674015925672043,3,,,9.288560600039148
range:short,StaticGain_basic,-245.5588992043639,0.0012901067908677318,0.5162968131981064,0.0003674015925672463,4,1.0122992585380823,0.8367938979991879,11.288560600047788
range:short,SeqGain_basic,-245.48634758578964,0.0012441457990753754,0.5155944347521352,0.0003679350911396682,4,0.16632671810555252,0.009900990099009901,11.361112218622054
range:short,Seq_weber,-220.87273387971655,5.624617209926204e-09,0.030045696742396877,0.000736738490582345,3,,0.9209897065721767,35.97472592469515
range:short,Seq_basic,-173.29054766057695,2.616691450413223e-19,-1.1363167901280966,0.001622660781109697,3,,0.9900990099009901,83.55691214383475
