scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-495.39232634531976,0.9999997985677495,0.9578719404253192,0.002041999286378652,4,1.1353727472052164,0.28386650123909307,0.0
overall,Static_basic,-464.556512402055,2.0141322911095675e-07,0.9475626332461919,0.002541704188891851,3,,0.18692149392609028,30.83581394326478
overall,StaticGain_weber,-446.00979106413416,1.8911179855024088e-11,0.9543728239176459,0.002211605802410044,4,1.2989484792868577,0.36864823267106434,49.382535281185596
overall,Seq_basic,-434.01826568312066,4.707517831270088e-14,0.9357226216856241,0.0031156042308469064,3,,0.03437867058001819,61.3740606621991
overall,Linear_basic,-433.2251684760651,3.166453417589694e-14,0.9353818669124669,0.0031321210372377553,3,,,62.16715786925465
overall,SeqGain_basic,-433.2124831146409,3.146433172699914e-14,0.9362323310847086,0.003090897984233628,4,1.0265027389502999,0.05273195585083116,62.17984323067884
overall,SeqGain_weber,-362.5293086328319,1.4098152101230957e-29,0.930806548517216,0.0033538923932503804,4,1.1444874635745586,0.16149843830763952,132.86301771248787
overall,Static_weber,-360.46854925766877,5.031227773892774e-30,0.9096536750243859,0.0043791984010109865,3,,0.17990659872952056,134.923777087651
overall,Linear_weber,-354.94942791168074,3.1857523079282105e-31,0.9339460629698703,0.0032017162347323072,3,,,140.44289843363902
overall,Seq_weber,-345.0348925628973,2.2402578618974596e-33,0.9101176063217896,0.00435671107575102,3,,0.051142829199514885,150.35743378242245
range:long,Static_basic,-208.74250787768207,0.23923284819602542,0.9341800123422874,0.0007985386214613942,3,,0.11182477226448688,0.0
range:long,Linear_basic,-208.742507877678,0.23923284819553925,0.9341800123422808,0.0007985386214614744,3,,,4.064304448547773e-12
range:long,Static_weber,-207.9371110792205,0.1599304348740723,0.9314247714200296,0.0008319656451687746,3,,0.09537348480657075,0.8053967984615724
range:long,Linear_weber,-207.93711107921413,0.1599304348735632,0.9314247635614892,0.0008319657405098431,3,,,0.8053967984679389
range:long,StaticGain_basic,-206.74250787768162,0.0880088465041863,0.934180012342288,0.0007985386214613876,4,1.0944366479678969,0.18846354800022172,2.0000000000004547
range:long,StaticGain_weber,-205.93711107922138,0.058835119007805387,0.9314247691570027,0.0008319656726241782,4,2.147781899812993,0.5788089637582464,2.8053967984606913
range:long,SeqGain_basic,-204.5125295449983,0.028859758102116835,0.9311780233040413,0.0008349592327916424,4,0.8933304784882762,0.009900990099009901,4.229978332683771
range:long,SeqGain_weber,-203.98249508977034,0.022140996690978153,0.9278981675118653,0.0008747509680392481,4,0.9097877416162173,0.009900990099009901,4.760012787911734
range:long,Seq_weber,-199.89981751628014,0.002875113515670935,0.9266209614447661,0.0008902462363982659,3,,0.009900990099009901,8.842690361401935
range:long,Seq_basic,-197.69261132055684,0.0009536000400425068,0.917901357045663,0.0009960338721048889,3,,0.009900990099009901,11.049896557125237
range:medium,Static_basic,-195.60196692854095,0.3797838376072541,0.9486072160356046,0.0010385638797547289,3,,0.07591454868310604,0.0
range:medium,Linear_basic,-195.60196692853629,0.37978383760636897,0.9486072160356013,0.0010385638797547972,3,,,4.661160346586257e-12
range:medium,StaticGain_basic,-193.60196692854012,0.13971466594484486,0.9486072160356048,0.0010385638797547239,4,1.5035914339452046,0.38541450826480617,2.0000000000008242
range:medium,SeqGain_basic,-192.48558242556675,0.07995068371100023,0.9474468276948995,0.0010620134250835015,4,0.9303767088409017,0.009900990099009901,3.1163845029741992
range:medium,Seq_basic,-189.6764707303506,0.019625978913510176,0.9421410763466316,0.001169233958399784,3,,0.009900990099009901,5.925496198190359
range:medium,Static_weber,-181.6552344804934,0.0003556657187407012,0.9482220907616641,0.001046346629935617,3,,0.04032978029225638,13.946732448047555
range:medium,Linear_weber,-181.6552344804884,0.0003556657187398116,0.9482220886984207,0.0010463466716303816,3,,,13.946732448052558
range:medium,Seq_weber,-180.39690710002037,0.00018958312964276457,0.9462143898425996,0.0010869189728804037,3,,0.009900990099009901,15.205059828520575
range:medium,StaticGain_weber,-179.6552344804934,0.00013084210585416855,0.9482220912661368,0.001046346619741053,4,2.204356986207304,0.5646484546973966,15.946732448047555
range:medium,SeqGain_weber,-179.29433813106573,0.00010923954404431837,0.9465684243587301,0.0010797645159260135,4,0.9662080417182228,0.009900990099009901,16.307628797475218
range:short,Static_weber,-175.4428838218305,0.3758241722713548,0.6484508174174596,0.002484412135278117,3,,0.2487467373916321,0.0
range:short,Linear_weber,-175.442883821829,0.37582417227107706,0.6484508131375739,0.00248441216552424,3,,,1.4779288903810084e-12
range:short,StaticGain_weber,-173.4428838218305,0.13825798647390586,0.6484508194348579,0.002484412121021082,4,1.1596211354546244,0.3521562842249255,2.0
range:short,SeqGain_weber,-172.9813829631831,0.10976821186757794,0.6441836695843257,0.0025145682397007874,4,0.7554121843622414,0.009900990099009901,2.4615008586473834
range:short,Seq_weber,-161.29111444402773,0.0003176632937555286,0.5698129896604156,0.003040148809550257,3,,0.08169924954052835,14.151769377802765
range:short,Static_basic,-151.91464595259927,2.923430488221296e-06,0.647905765752664,0.0024882640371952937,3,,0.43546743160383855,23.52823786923122
range:short,Linear_basic,-151.91464595259737,2.9234304882185128e-06,0.6479057657526531,0.0024882640371953705,3,,,23.528237869233124
range:short,StaticGain_basic,-149.91464595259876,1.075469974310132e-06,0.6479057657526582,0.0024882640371953345,4,0.6775314193936698,0.16678017086748487,25.52823786923173
range:short,SeqGain_basic,-149.4940288777227,8.714900893851439e-07,0.6449313353939534,0.0025092844555175157,4,0.5674169694419101,0.009900990099009901,25.94885494410778
range:short,Seq_basic,-122.64546717505621,1.288757944254089e-12,0.36775155493525213,0.004468125051210376,3,,0.3548475235634082,52.79741664677428
