scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-688.8692842739447,0.5427954042239052,0.8588085305172897,0.006760901645571284,3,,,0.0
overall,SeqGain_weber,-687.3780244023006,0.2575213232229788,0.85680991887121,0.0068566044299983,4,1.2423620883852768,0.01805076850797787,1.491259871644047
overall,StaticGain_weber,-686.8692842739454,0.19968326997638547,0.8588085306862823,0.006760901637479132,4,1.2341621932491773,0.0,1.9999999999993179
overall,Linear_basic,-649.1541567442256,1.2900477771459872e-09,0.8623118050914256,0.006593148629614016,3,,,39.7151275297191
overall,StaticGain_basic,-647.154156744229,4.745820553417364e-10,0.862311805091427,0.006593148629613945,4,0.9663145933725054,0.0,41.71512752971569
overall,Static_basic,-646.879647064405,4.137159773361298e-10,0.8612639273236785,0.006643325871555576,3,,0.0,41.98963720953964
overall,Seq_basic,-645.4734291658015,2.048075471910387e-10,0.8606120903137917,0.006674538847303575,3,,0.009900990099009901,43.39585510814322
overall,SeqGain_basic,-645.3606418143106,1.9357732949302738e-10,0.861486186841897,0.006632683056178893,4,0.9691299492203471,0.009900990099009901,43.508642459634075
overall,Static_weber,-606.0328369438668,5.583804108541071e-19,0.8177922554214762,0.008724950910066316,3,,0.0,82.83644733007793
overall,Seq_weber,-604.0393765550035,2.0608944540619126e-19,0.815719565016024,0.008824200928670995,3,,0.009900990099009901,84.82990771894117
range:long,Linear_basic,-245.6477177781441,0.6349789797559244,0.8212551180820675,0.00472752133639431,3,,,0.0
range:long,StaticGain_basic,-243.64771777814494,0.23359571222831832,0.8212551180820686,0.0047275213363942815,4,1.911779829218246,0.35735819811171254,1.9999999999991758
range:long,SeqGain_basic,-242.48851449265953,0.1308419691811198,0.8191710455569033,0.004782641780815372,4,1.2378975222741444,0.009900990099009901,3.1592032854845797
range:long,Static_basic,-230.8873245686333,0.000395895611755037,0.7928250758473214,0.0054794512927499985,3,,0.0,14.760393209510823
range:long,Seq_basic,-229.0184839078232,0.0001555131415182655,0.7889169015966316,0.005582816362329813,3,,0.009900990099009901,16.629233870320917
range:long,Linear_weber,-224.9028382370207,1.986396733989166e-05,0.8186472070350058,0.004796496486821628,3,,,20.744879541123424
range:long,StaticGain_weber,-222.90283823702157,7.3075452044503445e-06,0.8186472052589828,0.004796496533794648,4,1.905736209506655,0.18969429366312268,22.744879541122543
range:long,SeqGain_weber,-222.04491721567808,4.758568526781444e-06,0.8166669696870735,0.004848870653919588,4,1.5561997241661032,0.009900990099009901,23.60280056246603
range:long,Static_weber,-188.02985511992608,1.9552371617339102e-13,0.7093542493572339,0.00768712352909148,3,,0.0,57.61786265821803
range:long,Seq_weber,-186.64181293155863,9.767645998774364e-14,0.7040857588408973,0.00782646682697683,3,,0.009900990099009901,59.00590484658548
range:medium,Linear_basic,-206.6256660513589,0.21630203401312106,0.7721801099085401,0.006983998138917152,3,,,0.0
range:medium,Static_basic,-206.4072681989794,0.19392603246233395,0.771682012442185,0.006999267709000021,3,,0.0,0.21839785237949627
range:medium,Seq_basic,-206.12488206464405,0.16839017270119588,0.7710363629198087,0.007019060603557464,3,,0.009900990099009901,0.5007839867148505
range:medium,Linear_weber,-205.82757065942667,0.1451297312388163,0.7641978676385383,0.007228700061719846,3,,,0.798095391932236
range:medium,StaticGain_basic,-204.62566605135737,0.07957307139693222,0.7721801099085371,0.006983998138917242,4,1.651209843204215,0.37860125834192543,2.0000000000015348
range:medium,SeqGain_basic,-204.51055223144525,0.07512240325680336,0.7719177067283456,0.00699204231504852,4,1.0349716330779863,0.009900990099009901,2.1151138199136597
range:medium,SeqGain_weber,-203.91948793506592,0.055901246487414645,0.7644700191140283,0.007220357043919411,4,1.1738978807688412,0.018223183689039024,2.706178116292989
range:medium,StaticGain_weber,-203.82757065942766,0.053390244425523925,0.7641978606524229,0.007228700275884714,4,2.1969837139840904,0.47450654162590095,2.7980953919312412
range:medium,Static_weber,-199.7942231835081,0.007106105205516167,0.7597227935394452,0.007365886982348397,3,,0.0,6.831442867850797
range:medium,Seq_weber,-199.1537841353543,0.005158958812342515,0.7581468379111451,0.007414199143198993,3,,0.009900990099009901,7.471881916004605
range:short,SeqGain_weber,-346.17868988979114,0.5734007613716432,0.8270389435591351,0.0025604653208441963,4,1.34392466649063,0.08412188973525425,0.0
range:short,Linear_weber,-344.96049488294614,0.3118391087893817,0.8298521148782887,0.002518819948455128,3,,,1.2181950068450078
range:short,StaticGain_weber,-342.96049488294733,0.11471919707690682,0.8298521163371009,0.0025188199268592966,4,1.658902799300026,0.25080533019126966,3.218195006843814
range:short,Static_weber,-326.0716084972105,2.4675219081415844e-05,0.7524901193276958,0.0036640644956073966,3,,0.0,20.107081392580653
range:short,Seq_weber,-325.2345082706854,1.6236297961266542e-05,0.7479538635180181,0.003731217911099682,3,,0.009900990099009901,20.944181619105734
range:short,Seq_basic,-309.7808777161124,7.157704667362447e-09,0.8318347899470068,0.002489469001713597,3,,0.07056746202240993,36.397812173678744
range:short,Static_basic,-308.9241617834589,4.663803822376675e-09,0.8303879027925054,0.002510888299551561,3,,0.07574105396136892,37.25452810633226
range:short,Linear_basic,-308.9241617834574,4.663803822373229e-09,0.8303879027925025,0.002510888299551603,3,,,37.25452810633374
range:short,SeqGain_basic,-308.0708411305416,3.0439957980892286e-09,0.8323217012592815,0.0024822609078509624,4,0.9674848524849775,0.05145592031251478,38.10784875924952
range:short,StaticGain_basic,-306.92416178345826,1.7157175439086316e-09,0.8303879027925007,0.0025108882995516298,4,1.6720132598488655,0.4472179942948302,39.254528106332884
