scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-598.6135565912081,0.5598879823333527,0.5430898426944584,0.008069934130034153,3,,,0.0
overall,SeqGain_weber,-596.8352026790776,0.23011053400422254,0.5419821531300428,0.008089498111439324,4,0.46869279046404966,0.029034500731707432,1.7783539121304557
overall,StaticGain_weber,-596.6135565912077,0.20597127805936505,0.543089823249401,0.008069934473472198,4,0.4638436173470193,0.0,2.000000000000341
overall,Linear_basic,-587.7185990010805,0.0024115216471245773,0.5690683157897867,0.007611103081246653,3,,,10.894957590127547
overall,StaticGain_basic,-585.7185990010818,0.0008871492359175803,0.5690683157897878,0.007611103081246631,4,0.4752601518852102,0.0,12.894957590126296
overall,SeqGain_basic,-585.3328619358441,0.0007315347200176764,0.5684967125488669,0.007621198721339091,4,0.47652762937011867,0.009900990099009901,13.280694655363959
overall,Static_basic,-376.1970178918068,2.8246420827444777e-49,0.10856915942066947,0.015744426010091073,3,,0.4841036770219565,222.41653869940126
overall,Static_weber,-372.89577903741883,5.421363358604962e-50,0.18004977521588772,0.014481937418365703,3,,0.49725311854493215,225.71777755378923
overall,Seq_weber,-353.8095189034399,3.886688971263724e-54,0.08246289595394485,0.016205514088763185,3,,0.5365946502318708,244.8040376877682
overall,Seq_basic,-338.70085262367013,2.0359850790125628e-57,-0.014022790194279544,0.017909641517881898,3,,0.4136855640563334,259.91270396753794
range:long,Static_weber,-169.93764464727133,0.30480774347947664,0.36101166511216276,0.010385214110325114,3,,0.12557932513220868,0.0
range:long,Linear_weber,-169.93764464727076,0.30480774347939005,0.36101166502716076,0.010385214111706616,3,,,5.684341886080801e-13
range:long,Seq_weber,-168.58804194072738,0.15522565164884028,0.3504831745932673,0.01055632932844009,3,,0.009900990099009901,1.3496027065439478
range:long,StaticGain_weber,-167.9376446472712,0.11213250233595184,0.3610116672274788,0.010385214075945753,4,2.2503128264726397,0.6114226305091371,2.0000000000001137
range:long,SeqGain_weber,-167.72051832022024,0.1005965602847553,0.3581346533022254,0.010431972997792721,4,0.8800094393040169,0.009900990099009901,2.2171263270510906
range:long,Linear_basic,-162.74193902146703,0.008346384204723457,0.3674408599026401,0.010280723056559925,3,,,7.195705625804294
range:long,Static_basic,-162.7419390214647,0.00834638420471373,0.36744085990262865,0.010280723056560111,3,,0.3647778267554769,7.1957056258066245
range:long,StaticGain_basic,-160.7419390214669,0.0030704631570356,0.3674408599026402,0.010280723056559924,4,1.3495905579242318,0.529322275654408,9.195705625804436
range:long,SeqGain_basic,-160.4566355480856,0.002662263442000286,0.3655775919861953,0.01031100598224209,4,0.6386342624247714,0.009900990099009901,9.48100909918574
range:long,Seq_basic,-147.60175119708012,4.303763112780661e-06,0.26058589032828505,0.012017392847216967,3,,0.13716445621881057,22.335893450191207
range:medium,Static_weber,-194.94629799874147,0.35217469637112603,0.39865002877678846,0.008086040741749848,3,,0.38956882947984595,0.0
range:medium,Linear_weber,-194.9462979987413,0.352174696371096,0.398650023908126,0.008086040807216224,3,,,1.7053025658242404e-13
range:medium,SeqGain_weber,-193.0299446371551,0.13509127596050127,0.396705803344389,0.00811218373137293,4,0.6277131297178274,0.03216594401311342,1.9163533615863741
range:medium,StaticGain_weber,-192.94629799874133,0.12955783049572303,0.3986500276900946,0.008086040756362056,4,1.8648437656608559,0.6726636466986398,2.000000000000142
range:medium,Static_basic,-188.00597467898658,0.010956859397302211,0.3985981901956064,0.00808673778822776,3,,0.5162921270127244,6.940323319754896
