scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-934.819435859791,0.6930970500203416,0.9419170960192425,0.002544192793903367,3,,,0.0
overall,StaticGain_basic,-932.8194358597905,0.254976155438986,0.9419170960192429,0.002544192793903346,4,0.9659296438428346,0.0,2.0000000000005684
overall,Static_basic,-928.8269933233033,0.034637910604752215,0.9407452362640379,0.002595523511555576,3,,0.0,5.992442536487715
overall,SeqGain_basic,-927.0269401200969,0.014082348910658835,0.9407847157735868,0.002593794199196568,4,0.9686251709269359,0.009900990099009901,7.792495739694118
overall,Seq_basic,-924.0674776398898,0.003206535025261387,0.9397976595378232,0.0026370300085328045,3,,0.009900990099009901,10.751958219901212
overall,Linear_weber,-836.4954850669346,3.090433595280916e-22,0.9416311005424077,0.0025567201914917,3,,,98.32395079285641
overall,Static_weber,-835.9570722424601,2.361046589652782e-22,0.941317589405716,0.002570452851536452,3,,0.0,98.86236361733097
overall,StaticGain_weber,-834.4954850669335,1.1369069840087483e-22,0.9416311007108282,0.0025567201841144136,4,0.9889538837889666,0.0,100.32395079285754
overall,Seq_weber,-833.685950636107,7.584671333465196e-23,0.9400003362564063,0.0026281522043671963,3,,0.009900990099009901,101.13348522368403
overall,SeqGain_weber,-831.9474109780479,3.1799308514018254e-23,0.9401930794908621,0.0026197095144435247,4,0.9922434213391896,0.009900990099009901,102.87202488174319
range:long,Linear_basic,-371.5536547381307,0.6574336432070141,0.9261749281629829,0.0013422424228468255,3,,,0.0
range:long,StaticGain_basic,-369.5536547381381,0.24185632127119538,0.9261749281629846,0.001342242422846792,4,1.1201254337065383,0.03425767601165938,1.9999999999926104
range:long,SeqGain_basic,-367.24793198728497,0.07636179156401704,0.9244529509638245,0.0013735503618758308,4,1.0903185678513359,0.009900990099009901,4.305722750845746
range:long,Static_basic,-364.63340340164166,0.020660386431224316,0.9208851246934351,0.0014384184027500255,3,,0.0,6.920251336489059
range:long,Seq_basic,-361.1850899492647,0.0036842296060215444,0.9181094132308428,0.001488884695378886,3,,0.009900990099009901,10.368564788866024
range:long,Linear_weber,-346.4971350657771,2.38175897273695e-06,0.9265458660681103,0.00133549825612792,3,,,25.056519672353602
range:long,StaticGain_weber,-344.4971350657868,8.762001598997714e-07,0.9265458679214793,0.0013354982224310957,4,1.2925190642919286,0.12185751402549458,27.05651967234394
range:long,SeqGain_weber,-342.74010480420327,3.6397290464598205e-07,0.9247807130287699,0.0013675911919458533,4,1.144100317209646,0.009900990099009901,28.813549933927447
range:long,Static_weber,-334.1059754888877,4.8550275166608055e-09,0.9115473983604235,0.001608191246923779,3,,0.0,37.44767924924304
range:long,Seq_weber,-331.19650054641215,1.1334627166463048e-09,0.9078505182488158,0.0016754056660161626,3,,0.009900990099009901,40.357154191718564
range:medium,Linear_basic,-353.27977851277075,0.6693713139072417,0.9440668881275706,0.0016113630366548523,3,,,0.0
range:medium,StaticGain_basic,-351.2797785127738,0.2462479448967681,0.9440668881275723,0.0016113630366548018,4,1.3534033790027928,0.1873688673556893,1.9999999999969305
range:medium,SeqGain_basic,-349.11058851330665,0.08324132628692728,0.942840337647832,0.0016466984227880182,4,1.1088377429279095,0.009900990099009901,4.169189999464095
range:medium,Static_basic,-340.26210512318784,0.000997505356435389,0.9362905260033831,0.001835390309000035,3,,0.0,13.01767338958291
range:medium,Seq_basic,-336.36196691204134,0.00014190934142417326,0.9337566778538504,0.0019083873068778865,3,,0.009900990099009901,16.917811600729408
range:medium,Linear_weber,-308.5954606600495,1.3261442332212563e-10,0.9415109171457565,0.0016849973656771862,3,,,44.68431785272122
range:medium,StaticGain_weber,-306.59546066005043,4.878611994303885e-11,0.9415109152259896,0.0016849974209832707,4,2.316466398591823,0.5020384468333414,46.68431785272031
range:medium,SeqGain_weber,-305.60782345711004,2.9773753296044535e-11,0.940302102851405,0.0017198217944795844,4,1.1634398812665026,0.009900990099009901,47.6719550556607
range:medium,Static_weber,-291.2539628499672,2.2747431068287438e-14,0.9296674791765972,0.002026192009271205,3,,0.0,62.02581566280355
range:medium,Seq_weber,-288.6507358128201,6.1894033974049925e-15,0.9262092338536085,0.0021258197342198565,3,,0.009900990099009901,64.62904269995067
range:short,SeqGain_weber,-328.2495168078412,0.95298501594981,0.9017336338328037,0.002243617672329426,4,1.2332111545651678,0.11850985874876581,0.0
range:short,SeqGain_basic,-320.507050369205,0.019853215048162346,0.9039950332485093,0.0021919854008700364,4,1.3670935931793413,0.16118458109149425,7.7424664386362
range:short,Linear_weber,-320.41389834313,0.018949735016684607,0.8829161592003053,0.002673258253138631,3,,,7.835618464711217
range:short,StaticGain_weber,-318.4138983431326,0.00697121792829396,0.8829161617235384,0.0026732581955281726,4,1.5404636525765554,0.2829944183233569,9.835618464708602
range:short,Seq_weber,-313.6195382502457,0.0006342005191423816,0.8670227223137961,0.0030361372041314083,3,,0.009900990099009901,14.629978557595507
range:short,Static_weber,-313.49759440937606,0.0005966873415730381,0.8671006920657884,0.003034356998753921,3,,0.0,14.751922398465126
range:short,Linear_basic,-304.67852230223434,7.256206754420924e-06,0.8852581057848048,0.0026197869287213384,3,,,23.570994505606848
range:short,StaticGain_basic,-302.6785223022282,2.669409285832621e-06,0.8852581057847967,0.0026197869287215227,4,1.3518462579657886,0.1233071724770471,25.570994505612987
range:short,Static_basic,-287.42562742651893,1.3010414352599216e-09,0.8636514933974235,0.003113109102750026,3,,0.0,40.82388938132226
range:short,Seq_basic,-287.39184841154275,1.2792520104834901e-09,0.8636054284352508,0.0031141608579663537,3,,0.009900990099009901,40.857668396298436
