scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-333.47400109630286,0.5937713730413344,0.855610131369458,0.006090427067346151,3,,,0.0
overall,StaticGain_basic,-331.47400109630183,0.21843628089793438,0.8556101313694575,0.006090427067346167,4,0.9022977075162051,0.0,2.000000000001023
overall,SeqGain_basic,-331.0694688055753,0.178435681050955,0.8552202033821531,0.00610687439838621,4,0.9045876214735463,0.009900990099009901,2.404532290727559
overall,Static_basic,-323.998087159694,0.005199369577271767,0.8461943454906167,0.006487588985427572,3,,0.03903061586667745,9.475913936608833
overall,Seq_basic,-323.54847330535773,0.004152582608266103,0.8457326328406802,0.006507064224564358,3,,0.017163466207614782,9.925527790945125
overall,Linear_weber,-308.88437405906586,2.7167494534035285e-06,0.8535802234132304,0.0061760494623111575,3,,,24.589627037236994
overall,StaticGain_weber,-306.88437405906564,9.99436270720798e-07,0.8535802226940975,0.006176049492644492,4,1.1250368457017192,0.0,26.58962703723722
overall,SeqGain_weber,-306.84570660978716,9.8029903817023e-07,0.8534663018934459,0.006180854721255083,4,1.1283132990548927,0.009900990099009901,26.6282944865157
overall,Static_weber,-297.5263104190435,9.282766074308587e-09,0.8349756321228443,0.00696079916425743,3,,0.0,35.947690677259345
overall,Seq_weber,-296.9779491089392,7.05670984799547e-09,0.8342761760557672,0.006990302523487199,3,,0.009900990099009901,36.49605198736367
range:long,Static_basic,-129.71700148376232,0.3403833490750102,0.7475865277494742,0.00387884792461272,3,,0.10578871792213095,0.0
range:long,Linear_basic,-129.717001483761,0.34038334907478773,0.7475865277494718,0.0038788479246127565,3,,,1.3073986337985843e-12
range:long,StaticGain_basic,-127.71700148376146,0.12522003624172534,0.7475865277494691,0.003878847924612799,4,1.1534878107878193,0.2247760566201438,2.0000000000008527
range:long,Seq_basic,-127.26744302347282,0.10001230711817623,0.7349125755843697,0.004073609054491968,3,,0.009900990099009901,2.449558460289495
range:long,SeqGain_basic,-127.08162935981696,0.09113905505932222,0.7443585317207333,0.003928452668706223,4,0.8987550117720972,0.009900990099009901,2.635372123945359
range:long,Linear_weber,-117.92825112237495,0.0009377211074940148,0.7472710201742854,0.00388369634214095,3,,,11.788750361387372
range:long,Static_weber,-117.54494649092152,0.0007741767930526172,0.742227680947589,0.003961197537771163,3,,0.0,12.172054992840799
range:long,Seq_weber,-116.87140503772417,0.0005528183882312922,0.7389215473680255,0.004012003024733657,3,,0.009900990099009901,12.845596446038144
range:long,StaticGain_weber,-115.92825112237563,0.0003449683169996818,0.7472710232893691,0.003883696294271333,4,1.088802969178501,0.026146594057511987,13.78875036138669
range:long,SeqGain_weber,-115.3019400956774,0.0002522188252007958,0.7445451135231231,0.003925585458685625,4,1.0648039480036604,0.009900990099009901,14.415061388084922
range:medium,Linear_basic,-113.8759649187985,0.2420711786604975,0.8212598572835861,0.005324713536557648,3,,,0.0
range:medium,Seq_basic,-113.60974564543818,0.2119016332577036,0.8203056378034048,0.00535313997342712,3,,0.019782363314259806,0.2662192733603206
range:medium,Static_basic,-113.47038860164503,0.19763929977297665,0.8198041057057248,0.005368080740000031,3,,0.0,0.405576317153475
range:medium,SeqGain_basic,-112.70877969824845,0.13504920578578142,0.8242123488884794,0.005236758073524976,4,1.0900400793759235,0.0589159318936553,1.1671852205500528
range:medium,StaticGain_basic,-111.8759649187985,0.0890530099293362,0.8212598572835859,0.005324713536557658,4,1.9686861217871678,0.46972120990494,2.0
range:medium,Linear_weber,-111.18525563781908,0.0630467912594368,0.8204563748226298,0.005348649479940153,3,,,2.6907092809794193
range:medium,SeqGain_weber,-110.14536289101581,0.03748462300624714,0.8249837815801135,0.005213776900783023,4,1.340678094807898,0.05852953607075798,3.7306020277826946
range:medium,StaticGain_weber,-109.18525563781122,0.02319361833608305,0.8204563812585488,0.005348649288212518,4,1.9792436324108154,0.34924798864657597,4.690709280987278
range:medium,Static_weber,-100.47991707890085,0.0002985576864617062,0.7723151466353172,0.006782788702947243,3,,0.0,13.396047839897648
range:medium,Seq_weber,-100.21930793655496,0.00026208230547596637,0.7711525197280541,0.006817423649171336,3,,0.009900990099009901,13.656656982243547
range:short,Linear_weber,-120.79635262191363,0.31883703155475157,0.5615472062125297,0.00878947023782815,3,,,0.0
range:short,Static_weber,-120.11556844091797,0.2268497737780153,0.5456341450996641,0.009108472372210878,3,,0.0,0.6807841809956585
range:short,Seq_weber,-120.02852901309089,0.2171890766143608,0.5457471404819239,0.009106207203500687,3,,0.009900990099009901,0.7678236088227379
range:short,SeqGain_weber,-118.8390020662507,0.1198217020418262,0.5664137473227236,0.008691912829470181,4,1.1032621336266237,0.027850218177321428,1.9573505556629271
range:short,StaticGain_weber,-118.79635262191384,0.11729358899313602,0.5615472162492328,0.00878947003662678,4,1.9776977436165377,0.4522675398086079,1.9999999999997868
range:short,SeqGain_basic,-99.71575593528755,8.432868905415334e-06,0.661250530934132,0.006790761556597067,4,2.2933668841849753,0.9353381902509624,21.08059668662608
range:short,Seq_basic,-91.91405653761485,1.7055240585086036e-07,0.5878881501013449,0.008261424925704385,3,,0.21695848336629428,28.882296084298773
range:short,Linear_basic,-90.7316687606402,9.442904696326426e-08,0.5780264862748272,0.008459117361302499,3,,,30.064683861273423
range:short,Static_basic,-90.73166876062928,9.44290469627483e-08,0.5780264862747345,0.008459117361304358,3,,0.10193445838513576,30.06468386128435
range:short,StaticGain_basic,-88.73166876063979,3.473850502719039e-08,0.5780264862748254,0.008459117361302537,4,1.5050455072253375,0.4032966250502123,32.064683861273835
