scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Seq_basic,-405.76323527139124,0.39417029191314523,0.9240873341152267,0.00355646747011745,3,,0.0435394100481326,0.0
overall,Linear_basic,-404.5614158057566,0.21612853412165922,0.9234641553159495,0.0035856630608909353,3,,,1.2018194656346282
overall,Static_basic,-403.9484924148509,0.15908069681784687,0.9231443693056876,0.0036006448630663663,3,,0.0,1.814742856540363
overall,SeqGain_basic,-403.8457013107632,0.15111120890881033,0.9241299086815691,0.0035544728746374154,4,0.9927474593132916,0.03969923617277671,1.9175339606280204
overall,StaticGain_basic,-402.56141580575616,0.0795092443538609,0.9234641553159492,0.0035856630608909496,4,0.9817311304754163,0.0,3.201819465635083
overall,SeqGain_weber,-371.3599415354405,1.3338395006412462e-08,0.925274164790672,0.0035008650928255508,4,1.1183924630930455,0.06568312937245184,34.40329373595074
overall,Linear_weber,-370.25937840029235,7.693417947704959e-09,0.924190813194035,0.003551619531063672,3,,,35.50385687109889
overall,StaticGain_weber,-368.2593784002937,2.8302502953019755e-09,0.9241908153831203,0.0035516194285062025,4,1.0969525634500936,0.0,37.503856871097526
overall,Static_weber,-357.22959590493616,1.1395621271419076e-11,0.9107750702638816,0.004180139854549225,3,,0.0,48.53363936645508
overall,Seq_weber,-357.19831905852413,1.121879794592835e-11,0.9105334637766327,0.004191458988220202,3,,0.009900990099009901,48.564916212867104
range:long,Linear_basic,-165.82141003392337,0.48168722957365134,0.9084677640320756,0.0018840995451637553,3,,,0.0
range:long,SeqGain_basic,-164.64769324479866,0.2678525406320367,0.9099679649785748,0.0018532194088810175,4,1.1774735512763215,0.043277651201621595,1.1737167891247111
range:long,StaticGain_basic,-163.82141003401506,0.17720282884309882,0.9084677640322247,0.0018840995451606867,4,1.1746028405733868,0.028723447658963015,1.9999999999083116
range:long,SeqGain_weber,-159.46476167066146,0.020064875933948165,0.9101281518761811,0.0018499221217806875,4,1.2665444292308239,0.07255296009541434,6.356648363261911
range:long,Linear_weber,-159.4596627642354,0.02001378662410392,0.9103228738145002,0.0018459139654023293,3,,,6.3617472696879815
range:long,Static_basic,-158.77637136820485,0.014221795315646683,0.8946179846482695,0.0021691834040000212,3,,0.0,7.045038665718522
range:long,Seq_basic,-158.34529588051296,0.01146430076075255,0.893705504749943,0.0021879658902271733,3,,0.009900990099009901,7.476114153410407
range:long,StaticGain_weber,-157.45966276423775,0.0073626606390085215,0.9103228803424483,0.001845913831031043,4,1.9963254251627178,0.39664029830597236,8.361747269685623
range:long,Static_weber,-148.16445572898,7.056774205167543e-05,0.8753215919487135,0.0025663803513276823,3,,0.0,17.656954304943383
range:long,Seq_weber,-147.82036708495906,5.9413935701599335e-05,0.8736818966940881,0.0026001318384488896,3,,0.009900990099009901,18.00104294896431
range:medium,SeqGain_basic,-157.37089142476853,0.7316665326081212,0.9302776060069875,0.0017355920732663513,4,1.1187262006135417,0.1667913815525244,0.0
range:medium,Seq_basic,-155.18876686981946,0.24573717639079964,0.9237892193659208,0.0018971067857940233,3,,0.09988758976789103,2.1821245549490698
range:medium,Static_basic,-148.68020473596766,0.009487560402317755,0.9124698788164012,0.0021788779156596675,3,,0.012275166573321153,8.690686688800866
range:medium,Linear_basic,-148.68020473596576,0.009487560402308722,0.9124698788163976,0.002178877915659756,3,,,8.69068668880277
range:medium,StaticGain_basic,-146.68020473596704,0.003490278418883869,0.9124698788164,0.0021788779156596987,4,1.621778668483703,0.3909619829976717,10.690686688801492
range:medium,SeqGain_weber,-139.97339016482175,0.00012203763766747902,0.9293707353877345,0.0017581667062947497,4,1.2939151624976064,0.16857717673357467,17.39750125994678
range:medium,Linear_weber,-133.96316492476652,6.044911734770312e-06,0.912138876500472,0.0021871175207973954,3,,,23.407726500002013
range:medium,StaticGain_weber,-131.96316492476703,2.2237987509185654e-06,0.9121388755708152,0.0021871175439392414,4,1.241757975637255,0.07371368257523644,25.407726500001502
range:medium,Seq_weber,-128.01258027734048,3.0848704158233234e-07,0.89687084651155,0.002567182953229645,3,,0.0244258482714394,29.358311147428054
range:medium,Static_weber,-127.79683949876008,2.7694237403708953e-07,0.8964860885091088,0.0025767606929043554,3,,0.0,29.57405192600845
range:short,SeqGain_weber,-137.75166743400501,0.3627060316623805,0.723684407530119,0.005623585990570719,4,1.2167946606183937,0.11990892422387096,0.0
range:short,Linear_weber,-137.64555363049476,0.343963578147222,0.713528105129284,0.005830287463284608,3,,,0.10611380351025446
range:short,StaticGain_weber,-135.6455536304957,0.1265371289121891,0.7135281133627791,0.005830287295716186,4,1.5619556840868722,0.279452568257733,2.1061138035093165
range:short,Static_weber,-134.8131692376824,0.08345800555679077,0.6938523176979992,0.006230729876117613,3,,0.0,2.9384981963226267
range:short,Seq_weber,-134.8101844975592,0.08333354821919836,0.6935611147613807,0.006236656449931791,3,,0.009900990099009901,2.941482936445823
range:short,Seq_basic,-110.79533314449061,5.082310104792453e-07,0.7217428527940486,0.0056631005902214124,3,,0.055788724704354205,26.956334289514402
range:short,Linear_basic,-110.32922954825284,4.025761578992453e-07,0.7191367915816067,0.005716139252259479,3,,,27.422437885752174
range:short,Static_basic,-110.31834093854081,4.0039036602552174e-07,0.7190756207240143,0.005717384204000032,3,,0.0,27.4333264954642
range:short,SeqGain_basic,-109.36197255606112,2.482051929607262e-07,0.7248784808540023,0.00559928416252011,4,1.0925443196909603,0.11048879939272986,28.389694877943896
range:short,StaticGain_basic,-108.32922954825257,1.480994919969007e-07,0.7191367915816074,0.005716139252259465,4,1.731695679880337,0.4171558138795668,29.422437885752444
