scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-374.64993129702304,0.650942524518597,0.8837199320927047,0.004628403554177152,3,,,0.0
overall,StaticGain_basic,-372.6499312970217,0.23946837215446598,0.8837199320927052,0.004628403554177137,4,0.8907927210016735,0.0,2.0000000000013642
overall,SeqGain_basic,-371.0805969896521,0.10926260409760426,0.8824969972702664,0.004677081164885233,4,0.8927102000747692,0.009900990099009901,3.569334307370923
overall,Static_basic,-358.42614031218335,0.0001952500679789514,0.8704379047450814,0.005157080426222227,3,,0.0,16.223790984839695
overall,Seq_basic,-357.6317730619488,0.00013124916135381679,0.8697499521606101,0.0051844636419734495,3,,0.009900990099009901,17.018158235074225
overall,Linear_weber,-282.99227419968224,8.134582968877527e-21,0.8205440939103175,0.0071430501246848455,3,,,91.6576570973408
overall,StaticGain_weber,-280.9922741996824,2.992545836753652e-21,0.8205440875965588,0.0071430503759972435,4,1.1923955438444755,0.0,93.65765709734063
overall,SeqGain_weber,-279.9218886328763,1.7523043481771538e-21,0.8187880283369182,0.007212948433892656,4,1.1951992411443715,0.009900990099009901,94.72804266414676
overall,Static_weber,-254.67090322444204,5.76006953041579e-27,0.8756351154151775,0.00495021102228915,3,,0.0,119.979028072581
overall,Seq_weber,-253.1794981950672,2.7325822225219197e-27,0.8740071593164975,0.005015010071075241,3,,0.009900990099009901,121.47043310195585
range:long,Linear_weber,-134.99522352157655,0.3063708519536309,0.7660846665428633,0.004396494832006914,3,,,0.0
range:long,Static_weber,-134.98940319606862,0.3054805589884169,0.765087586353293,0.004415235193469134,3,,0.0,0.005820325507926327
range:long,Seq_weber,-134.10296157082598,0.19610796065752756,0.7597344845031282,0.004515848027487426,3,,0.009900990099009901,0.8922619507505658
range:long,StaticGain_weber,-132.99522352157766,0.1127075378079829,0.7660846869567316,0.00439649444832336,4,2.481408811056155,0.5946978925844782,1.9999999999988916
range:long,SeqGain_weber,-132.12176823650995,0.07282568144585085,0.7615749063489241,0.004481256857194447,4,1.0104476039434993,0.009900990099009901,2.8734552850665978
range:long,Linear_basic,-124.9324875151191,0.0020005623167410557,0.7729023514146401,0.0042683548085975,3,,,10.062736006457442
range:long,Static_basic,-124.92731722584759,0.0019953972528944765,0.7728788669897271,0.004268796204000002,3,,0.0,10.06790629572896
range:long,Seq_basic,-124.06245398671521,0.0012948715942434042,0.7689161190667637,0.004343277002271599,3,,0.009900990099009901,10.932769534861336
range:long,StaticGain_basic,-122.93248751511976,0.000735965747111586,0.7729023514146461,0.004268354808597386,4,1.310705610999909,0.232823288413004,12.062736006456788
range:long,SeqGain_basic,-122.08024192230675,0.0004806122356004621,0.768998314548822,0.0043417321184593995,4,1.0104465994280267,0.009900990099009901,12.914981599269794
range:medium,Static_weber,-163.8255719974165,0.25456578452581524,0.8592469402228664,0.0021186150557654143,3,,0.22585704500069317,0.0
range:medium,Linear_weber,-163.8255719974146,0.2545657845255765,0.8592469336642774,0.002118615154485297,3,,,1.8758328224066645e-12
range:medium,Linear_basic,-162.38743038035312,0.12402565996815704,0.8659283965664105,0.0020180457748823896,3,,,1.4381416170633656
range:medium,Static_basic,-162.38743038035247,0.1240256599681165,0.8659283965664082,0.0020180457748824234,3,,0.23802371086644056,1.4381416170640193
range:medium,StaticGain_weber,-161.825571997416,0.09364951855270408,0.8592469405181785,0.002118615051320378,4,1.0222542213365438,0.24270993862197368,2.000000000000483
range:medium,SeqGain_weber,-161.2888866139376,0.07160870152177515,0.8570886873713555,0.0021511010776863572,4,0.7789824292201454,0.009900990099009901,2.536685383478897
range:medium,StaticGain_basic,-160.38743038035355,0.045626490480014666,0.8659283965664115,0.0020180457748823735,4,1.0661399603500652,0.28529428242583404,3.4381416170629393
range:medium,SeqGain_basic,-159.67208370513669,0.03190667200923703,0.8639964559318694,0.002047125345313504,4,0.7667767702961289,0.009900990099009901,4.153488292279803
range:medium,Seq_weber,-145.18777853949257,2.2837817815066435e-05,0.8075620674375877,0.0028965757609294303,3,,0.12628140260322604,18.63779345792392
range:medium,Seq_basic,-141.05389235221244,2.890630788820889e-06,0.7945824428358578,0.003091945070434669,3,,0.10705187418632842,22.771679645204046
range:short,SeqGain_basic,-171.21438299440695,0.9126364669990388,0.949226543573264,0.00162513445298614,4,1.614403076643979,0.15034729229260654,0.0
range:short,SeqGain_weber,-165.97287333588133,0.06639241366271521,0.9142654505051301,0.002744153737030017,4,1.8271934560710146,0.08062154724439365,5.241509658525615
range:short,Linear_weber,-162.58393838061957,0.012196088922954105,0.8735740846947536,0.004046585069687593,3,,,8.630444613787375
range:short,StaticGain_weber,-160.58393838062022,0.00448669037745504,0.8735740790864744,0.004046585249194923,4,2.264057168507401,0.23757047210005722,10.630444613786722
range:short,Linear_basic,-159.866983804233,0.0031350277698856915,0.9336912615229934,0.002122380925327098,3,,,11.347399190173945
range:short,StaticGain_basic,-157.86698380423107,0.0011533122640413867,0.9336912615229914,0.0021223809253271605,4,1.6425778606132115,0.12195599116313736,13.347399190175878
range:short,Static_basic,-117.70204852869941,2.188981202486055e-12,0.8458971254291168,0.004932457004000019,3,,0.0,53.51233446570754
range:short,Seq_basic,-117.22058705216986,1.720655792689832e-12,0.8444060661235584,0.004980182174186237,3,,0.009900990099009901,53.993795942237085
range:short,Static_weber,-88.09789034168773,8.161702514493961e-19,0.7266835196795398,0.008748193642845948,3,,0.0,83.11649265271922
range:short,Seq_weber,-87.51913739808955,6.110913780409296e-19,0.7232383088382486,0.008858466435561227,3,,0.009900990099009901,83.69524559631739
