scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_weber,-308.4123648631088,0.999493954276967,0.820647825934089,0.008379281958789266,4,1.1803176906480441,0.6711235433472055,0.0
overall,Seq_weber,-293.2349941285873,0.0005058898798743783,0.7854907229015474,0.01002181169503663,3,,0.5805718593226444,15.177370734521503
overall,Seq_basic,-275.7903240147349,8.24126742624589e-08,0.8085043387096518,0.008946622187289206,3,,0.6124445379828999,32.6220408483739
overall,SeqGain_basic,-275.55553057616623,7.328401580287197e-08,0.8107446599478736,0.008841955023754152,4,1.058515666325641,0.6413445131674129,32.85683428694256
overall,StaticGain_weber,-263.04624074916467,1.4081583264276846e-10,0.760636752686286,0.011182982031073324,4,1.154625557654249,0.3970334357332989,45.366124113944124
overall,Static_weber,-256.61090018448374,5.639427779394523e-12,0.7375041297853386,0.012263731515950777,3,,0.30379939827110547,51.80146467862505
overall,Static_basic,-243.8264238913643,9.443245605709985e-15,0.7630242488513759,0.01107143889730867,3,,0.35331160311715065,64.58594097174449
overall,StaticGain_basic,-242.0191969535791,3.8254888626417595e-15,0.7633286035130149,0.011057219535103403,4,1.0228357188952129,0.36774956362363875,66.3931679095297
overall,Linear_weber,-235.83838451416082,1.73996524627773e-16,0.7207580162945578,0.013046105119080727,3,,,72.57398034894797
overall,Linear_basic,-225.11831440341246,8.1791265258431295e-19,0.7315462757342905,0.012542080742677743,3,,,83.29405045969634
range:long,Seq_basic,-102.88773872342698,0.40006535631289947,0.541902512801546,0.006633439434603367,3,,0.37553749222722194,0.0
range:long,SeqGain_basic,-101.18226378429105,0.17052645653436668,0.5445930046711043,0.006594480009230496,4,0.9039633583151131,0.2931939895217891,1.7054749391359252
range:long,Static_basic,-100.15672625198526,0.10211725264635635,0.5161851631429923,0.007005837201772583,3,,0.2787140514233323,2.7310124714417157
range:long,Linear_basic,-100.15672625198472,0.1021172526463288,0.5161851631429893,0.007005837201772626,3,,,2.7310124714422557
range:long,Seq_weber,-100.02517442113187,0.0956165357690775,0.5437139894497904,0.006607208510031362,3,,0.2827619093288427,2.8625643022951124
range:long,StaticGain_basic,-98.15672625198515,0.037566837837502434,0.5161851631429941,0.007005837201772557,4,1.711120865297045,0.5784716292685583,4.731012471441829
range:long,SeqGain_weber,-98.025184093176,0.035175527854694966,0.543717305346514,0.006607160494487286,4,0.9994137952736903,0.28230361492795,4.862554630250983
range:long,Linear_weber,-97.2600862865527,0.0239939497809354,0.5160988828196196,0.007007086576229952,3,,,5.627652436874271
range:long,Static_weber,-97.26008628655251,0.023993949780933013,0.5160988822582993,0.007007086584358101,3,,0.19013587946969868,5.62765243687447
range:long,StaticGain_weber,-95.26008628655254,0.008826880836905412,0.5160988853404405,0.007007086539727433,4,1.5315458707966034,0.47121136984532486,7.627652436874442
range:medium,SeqGain_weber,-73.51128133007201,0.9919139596362272,0.61225147750987,0.011501179534929639,4,2.094284006554203,0.8192377857901234,0.0
range:medium,SeqGain_basic,-62.76152230095519,0.0045940264176903564,0.5205904900597416,0.014219976414522379,4,1.6346517415924184,0.8043751347631359,10.749759029116817
range:medium,Seq_weber,-61.68923864512314,0.002687509764665621,0.4553959727865575,0.01615373967694989,3,,0.61337291358484,11.822042684948869
range:medium,Seq_basic,-59.26741675238324,0.0008006783928773693,0.4649087619645579,0.015871576651513983,3,,0.6658853198211123,14.243864577688768
range:medium,Static_weber,-46.1139716248945,1.114868873416059e-06,0.271967413822949,0.021594494872935428,3,,0.2705893566243767,27.397309705177506
range:medium,Linear_weber,-46.11397162489436,1.1148688734159798e-06,0.27196741404746483,0.021594494866275963,3,,,27.397309705177648
range:medium,Static_basic,-44.51353507608158,5.008335449421597e-07,0.2812490568883578,0.021319187974049386,3,,0.3903999327673197,28.997746253990428
range:medium,Linear_basic,-44.5135350760813,5.008335449420884e-07,0.2812490568883552,0.021319187974049462,3,,,28.997746253990712
range:medium,StaticGain_weber,-44.1139716248945,4.101373381317352e-07,0.2719674161021405,0.021594494805331325,4,1.005297026396446,0.27443271073158115,29.397309705177506
range:medium,StaticGain_basic,-42.51353507608046,1.842463646331307e-07,0.2812490568883539,0.021319187974049504,4,1.401233320887905,0.5649545727457584,30.99774625399155
range:short,SeqGain_weber,-158.197594381533,0.6390895853389661,0.6578865532052731,0.0035105766074772825,4,1.4018697039340657,0.7978825075656031,0.0
range:short,Seq_weber,-157.0438060248763,0.35893828382944243,0.6042634325216143,0.004060827042985406,3,,0.5944172288453665,1.1537883566567189
range:short,Static_weber,-144.89954008622306,0.0008278009873276804,0.5209384875502603,0.004915860966312258,3,,0.3340868094541594,13.298054295309953
range:short,Linear_weber,-144.89954008622217,0.0008278009873273158,0.5209384651770325,0.004915861195893792,3,,,13.298054295310834
range:short,StaticGain_weber,-142.89954008622306,0.00030453096461927526,0.5209384941420705,0.004915860898670792,4,1.6547811659703646,0.5975823205597688,15.298054295309953
range:short,SeqGain_basic,-136.07368337393504,1.003264640256981e-05,0.6801773437392786,0.0032818409978600162,4,1.5194644224402292,0.8643566520108656,22.123911007597968
range:short,Seq_basic,-132.79535005280164,1.947755638914278e-06,0.6445682452784727,0.00364724162516967,3,,0.6710389656887804,25.40224432873137
range:short,Static_basic,-121.64578447884963,7.386472208661076e-09,0.5557779183819752,0.004558358237198464,3,,0.3699585523377357,36.551809902683374
range:short,Linear_basic,-121.64578447884756,7.386472208653413e-09,0.5557779183819532,0.00455835823719869,3,,,36.55180990268545
range:short,StaticGain_basic,-119.64578447884702,2.7173312683470733e-09,0.5557779183819498,0.004558358237198724,4,1.7805758858760639,0.6461585814000179,38.55180990268599
