scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-296.0060601794013,0.9920199611358897,0.8488475806618871,0.008796616676431624,4,1.4794711915810022,0.2734852835422691,0.0
overall,SeqGain_weber,-285.70117938511015,0.0057391024588421225,0.8274208681731201,0.010043586967910571,4,1.3758249392849013,0.18334260147806042,10.304880794291137
overall,Linear_basic,-282.08435932331946,0.0009407223900162876,0.852587118790498,0.008578986792581032,3,,,13.921700856081827
overall,StaticGain_basic,-280.8069867129793,0.0004966878572505472,0.8532955748248787,0.008537756779896865,4,1.0820999392340203,0.057923288037845834,15.199073466421964
overall,Static_basic,-279.5014889312071,0.0002585820066542302,0.8500268165122536,0.008727988692888896,3,,0.0,16.504571248194168
overall,SeqGain_basic,-279.40163007179905,0.00024598817222154377,0.851914635631375,0.008618123292003692,4,1.0605696106630418,0.009900990099009901,16.60443010760224
overall,Seq_basic,-278.6131701333415,0.00016584497809729958,0.8491360214285382,0.008779830290416794,3,,0.009900990099009901,17.39289004605979
overall,Linear_weber,-278.1734298963097,0.00013311100000229942,0.8485745410682836,0.008812506760447066,3,,,17.83263028309159
overall,Seq_weber,-239.43624500540048,5.158710123277737e-13,0.7169425773237221,0.016473091569458354,3,,0.009900990099009901,56.56981517400081
overall,Static_weber,-239.41437346842451,5.102603010031309e-13,0.7188164424863839,0.016364038246915225,3,,0.0,56.591686710976774
range:long,Linear_basic,-119.1607628894974,0.6002535774692034,0.8570828319036226,0.004790634924771085,3,,,0.0
range:long,StaticGain_basic,-117.16076288947416,0.22082095063796267,0.8570828319035575,0.004790634924773269,4,1.968510417020519,0.28163957040103005,2.000000000023249
range:long,SeqGain_basic,-116.57964148253998,0.16513965198118677,0.8554120971975196,0.0048466385535841485,4,1.423209310920932,0.009900990099009901,2.581121406957422
range:long,Linear_weber,-110.55049706033569,0.008102877783287683,0.8553627523644322,0.004848292610153383,3,,,8.610265829161719
range:long,StaticGain_weber,-108.55049706033631,0.0029808821507973,0.8553627497893453,0.004848292696471221,4,3.2635426510216106,0.4498204638868304,10.610265829161094
range:long,SeqGain_weber,-108.33109419534779,0.0026711733905111896,0.8540147150498529,0.004893479306231511,4,1.8076895447162817,0.009900990099009901,10.829668694149618
range:long,Static_basic,-98.41420593956566,1.876191465863783e-05,0.7835853253366007,0.007254297804000021,3,,0.0,20.746556949931744
range:long,Seq_basic,-97.5410085492511,1.2124525522682182e-05,0.7797726756976232,0.007382099192452418,3,,0.009900990099009901,21.619754340246303
range:long,Static_weber,-73.75709005948642,8.299510390745536e-11,0.6831970713564777,0.010619348217185179,3,,0.0,45.40367283001099
range:long,Seq_weber,-73.23337188806666,6.387464758701957e-11,0.6785280216164444,0.010775856445329,3,,0.009900990099009901,45.92739100143075
range:medium,Linear_weber,-100.48689765597362,0.5975593673903523,0.7935974758069226,0.008233941592725724,3,,,0.0
range:medium,StaticGain_weber,-98.4868976559748,0.21982980614245304,0.793597472506899,0.008233941724372376,4,2.102021345403411,0.2863897788558494,1.9999999999988205
range:medium,SeqGain_weber,-98.05340080713206,0.17699212040520332,0.7889810419661415,0.008418103326019825,4,1.50922106658431,0.009900990099009901,2.433496848841557
range:medium,Linear_basic,-89.95484045561341,0.0030858434956204735,0.784632722807001,0.008591569256840518,3,,,10.532057200360214
range:medium,StaticGain_basic,-87.95484045561395,0.0011352183807116964,0.784632722807003,0.00859156925684044,4,1.9993527653351124,0.4093998348113438,12.532057200359674
range:medium,SeqGain_basic,-87.08008433850587,0.0007330414573657874,0.7808316931555059,0.008743202364356939,4,1.1867000957757057,0.009900990099009901,13.406813317467751
range:medium,Static_basic,-85.85608447250235,0.0003975029382001057,0.7662341539692528,0.00932553674000003,3,,0.0,14.630813183471275
range:medium,Seq_basic,-84.85460179300583,0.00024091905025708658,0.7615046984899304,0.009514207204832661,3,,0.009900990099009901,15.632295862967794
range:medium,Static_weber,-79.33698642985014,1.526638426628496e-05,0.6717246920320061,0.013095768681656312,3,,0.0,21.14991122612348
range:medium,Seq_weber,-78.665837715944,1.0914355569966405e-05,0.6651954708374401,0.013356236552251505,3,,0.009900990099009901,21.821059940029627
range:short,Seq_weber,-155.8528457350012,0.402769692007944,0.3859524982467625,0.002984000677619963,3,,0.23492559301074203,0.0
range:short,SeqGain_weber,-154.23991577182085,0.17980985530741195,0.4055174668362872,0.002888923538861052,4,0.9138436577672551,0.18688414843729356,1.6129299631803633
range:short,Static_weber,-154.1715592966467,0.17376810762457265,0.41130797549436215,0.002860784214606617,3,,0.2036974667043019,1.6812864383545048
range:short,Linear_weber,-154.17155929664665,0.1737681076245677,0.4113079781081814,0.0028607842019046058,3,,,1.6812864383545616
range:short,StaticGain_weber,-152.17155929664673,0.06392571432634774,0.41130798149638925,0.0028607841854394063,4,2.538056204532755,0.6862549681900783,3.6812864383544763
range:short,SeqGain_basic,-145.29146232431364,0.0020496585317388103,0.43836265605205815,0.00272931037115566,4,0.45312322451490494,0.2387741337771564,10.561383410687569
range:short,Linear_basic,-144.85855979981955,0.001650737152350094,0.4103586936245983,0.002865397306809647,3,,,10.994285935181665
range:short,Static_basic,-144.85855979981955,0.001650737152350094,0.4103586936245921,0.002865397306809677,3,,0.6274414047514626,10.994285935181665
range:short,StaticGain_basic,-142.85855979981926,0.0006072722611274044,0.41035869362459265,0.0028653973068096745,4,1.453108379829875,0.7436126196831957,12.99428593518195
range:short,Seq_basic,-125.7666604642053,1.1801158968387809e-07,0.13619039206457773,0.0041977346183386605,3,,0.6983567126203236,30.08618527079591
