scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-291.57164742954114,0.9892416351088723,0.8367027877927279,0.010287114000367182,4,1.1906726452610632,0.21200344633287638,0.0
overall,SeqGain_weber,-281.01359452998,0.005042551352134066,0.8244302609488237,0.011060237319555034,4,1.1074734064326852,0.07730545855121125,10.558052899561119
overall,Linear_weber,-280.90699350924064,0.00478081801299995,0.8293151892133644,0.010752505097665278,3,,,10.664653920300509
overall,Static_weber,-276.7209772686963,0.0005895495808159086,0.7990648260098373,0.012658164910352133,3,,0.06175405233843074,14.850670160844857
overall,Seq_weber,-275.64991491937764,0.0003450977286404867,0.8015372568864255,0.012502411006524264,3,,0.01897146730648892,15.921732510163508
overall,StaticGain_basic,-260.4897335918748,1.7617754475296098e-07,0.8448136675981264,0.009776158889293372,4,1.1439606687129547,0.11375753572598774,31.08191383766632
overall,Linear_basic,-259.7872896009606,1.2399859911888925e-07,0.841992447467513,0.009953885212428102,3,,,31.78435782858054
overall,SeqGain_basic,-257.33401126127694,3.636588457718565e-08,0.8415142493013749,0.009984009909496327,4,1.09667771189694,0.009900990099009901,34.2376361682642
overall,Static_basic,-254.01293386399885,6.910848336471067e-09,0.8357912412369576,0.01034453802622225,3,,0.0,37.55871356554229
overall,Seq_basic,-253.26878179407618,4.763660401682863e-09,0.8349745752480752,0.010395984931005856,3,,0.009900990099009901,38.30286563546497
range:long,Seq_basic,-78.10423619693645,0.2708437486970301,0.5418953910241655,0.010889439742305329,3,,0.04855160640810137,0.0
range:long,Static_basic,-78.0229493574298,0.2600564341200431,0.5411500277894817,0.010907157503426232,3,,0.053776819125624244,0.08128683950666016
range:long,Linear_basic,-78.02294935742924,0.26005643411997104,0.5411500277894767,0.010907157503426352,3,,,0.08128683950721438
range:long,SeqGain_basic,-76.1350506611827,0.10118487747751924,0.5421776290069142,0.010882730764823084,4,0.9735746096046807,0.03758860554608288,1.969185535753752
range:long,StaticGain_basic,-76.02294935742951,0.09566941565710586,0.5411500277894824,0.010907157503426216,4,1.2545935886381043,0.24579306898799796,2.0812868395069444
range:long,Linear_weber,-69.34863762491636,0.003399889039042377,0.5324828536159822,0.011113181780521788,3,,,8.75559857202009
range:long,Seq_weber,-69.15488771923245,0.0030859755859200234,0.5375971507808541,0.010991611663762597,3,,0.015865538445770794,8.949348477704007
range:long,Static_weber,-69.12661189547975,0.003042653299968725,0.5369327154768939,0.011007405716176326,3,,0.0,8.9776243014567
range:long,SeqGain_weber,-67.58807997107559,0.001409822723671914,0.5325511867234038,0.011111557458825184,4,1.1070953343488201,0.05385645286999607,10.516156225860868
range:long,StaticGain_weber,-67.3486376249163,0.0012507492797277772,0.5324828524856746,0.01111318180738992,4,2.88188313647178,0.630800162793353,10.755598572020162
range:medium,Linear_weber,-86.92314200004981,0.6067637651706096,0.7868159260753833,0.011199838507703664,3,,,0.0
range:medium,StaticGain_weber,-84.92314200005023,0.22321591485409167,0.7868159262262003,0.011199838499780339,4,1.9701022469806364,0.22550897093549385,1.9999999999995737
range:medium,SeqGain_weber,-84.29835531661635,0.16332567104356677,0.7818926262905106,0.011458488985201732,4,1.5346741890134818,0.009900990099009901,2.624786683433456
range:medium,Linear_basic,-76.96360456931765,0.0041718968634694,0.7879413788558127,0.01114071172043102,3,,,9.959537430732155
range:medium,StaticGain_basic,-74.96360456931909,0.0015347550867591173,0.7879413788558195,0.011140711720430668,4,1.9328532503651634,0.2974455728699805,11.95953743073072
range:medium,SeqGain_basic,-74.02107134423409,0.0009580112126682784,0.7839060178109352,0.011352713448284707,4,1.3645089274355358,0.009900990099009901,12.90207065581572
range:medium,Static_basic,-65.48112028520488,1.33950328129389e-05,0.7331964987817869,0.014016788740000043,3,,0.0,21.442021714844927
range:medium,Seq_basic,-64.51027535753641,8.243800710072843e-06,0.7279653805693402,0.014291610766409144,3,,0.009900990099009901,22.412866642513393
range:medium,Static_weber,-63.48991365494069,4.949470679865461e-06,0.6759791334882104,0.017022760243063376,3,,0.0,23.433228345109114
range:medium,Seq_weber,-62.73741129421258,3.3974646325321443e-06,0.6692187542752175,0.017377923525397174,3,,0.009900990099009901,24.18573070583723
range:short,Static_weber,-186.3422710443309,0.22159030882079433,0.7701197674137925,0.0012693894491317343,3,,0.31734120584894254,0.0
range:short,Linear_weber,-186.3422710443305,0.22159030882075023,0.7701197698320885,0.0012693894357780008,3,,,3.979039320256561e-13
range:short,Linear_basic,-185.38732119849885,0.13746306986649184,0.769291687111931,0.0012739620754354019,3,,,0.9549498458320329
range:short,Static_basic,-185.38732119849794,0.13746306986642934,0.7692916871119407,0.0012739620754353479,3,,0.4562409981837854,0.9549498458329424
range:short,SeqGain_weber,-184.680607513245,0.0965439606717559,0.7684721889875343,0.0012784873112983949,4,0.7047402932660631,0.04521160529136319,1.6616635310858783
range:short,StaticGain_weber,-184.34227104433077,0.08151851897799652,0.7701197712923934,0.0012693894277142556,4,1.133438668511211,0.39771002026219754,2.0000000000001137
range:short,SeqGain_basic,-183.4841284029466,0.05307780736370206,0.769737939504949,0.0012714978875712523,4,0.5535996011683139,0.02385882510489373,2.8581426413842905
range:short,StaticGain_basic,-183.38732119849794,0.05056983732417296,0.7692916871119264,0.0012739620754354266,4,0.5950259425903642,0.08615904721604156,2.9549498458329424
range:short,Seq_weber,-172.14492692193116,0.00018307821006406031,0.6527266571654654,0.0019176295081985866,3,,0.3322566504673105,14.197344122399727
range:short,Seq_basic,-155.29123674216777,4.0077842602357964e-08,0.5788134332374553,0.002325775374200102,3,,0.552739154197036,31.051034302163117
