scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-381.9191912476046,0.9999776031993047,0.918019843117065,0.005372278460677147,4,1.4394526172675257,0.5167415473085617,0.0
overall,StaticGain_basic,-360.50605117089106,2.2396800695261864e-05,0.9234153763751937,0.005018701348743786,4,1.3897309427184579,0.5119434683776164,21.413140076713546
overall,SeqGain_basic,-301.01204376797523,2.699146297836918e-18,0.8861339185312773,0.007461809297945657,4,1.2881492106994141,0.5528618867077528,80.90714747962937
overall,SeqGain_weber,-297.7074781491277,5.171888077513794e-19,0.8761516271963619,0.008115963312353666,4,1.2979591557066061,0.5310894079208649,84.21171309847688
overall,Static_basic,-272.2478555411045,1.531659796262589e-24,0.8602133090217168,0.009160424395190271,3,,0.32173283162342237,109.67133570650009
overall,Seq_basic,-261.2348977791596,6.219119763194154e-27,0.8495640603889885,0.009858285087670976,3,,0.29500821079039957,120.68429346844499
overall,Static_weber,-259.0877803339977,2.1256330353133693e-27,0.8268904978790245,0.011344116490421711,3,,0.30437233388954993,122.83141091360687
overall,Linear_basic,-254.2106211180817,1.8553533108997512e-28,0.8423518179585313,0.010330913783876754,3,,,127.70857012952291
overall,Seq_weber,-250.14737021829666,2.4327803618871477e-29,0.8209892333145828,0.011730834907606225,3,,0.29960616984087757,131.77182102930794
overall,Linear_weber,-242.17573973200405,4.519447392003343e-31,0.8367188549749579,0.010700050009727801,3,,,139.74345151560055
range:long,Static_basic,-129.9636364010152,0.3678025177243448,0.3818011119458682,0.0038597618494992537,3,,0.5926674865640443,0.0
range:long,Linear_basic,-129.9636364010137,0.36780251772406775,0.38180111194586985,0.0038597618494992437,3,,,1.5063505998114124e-12
range:long,StaticGain_basic,-127.96363640101589,0.13530698468192762,0.3818011119458734,0.0038597618494992216,4,1.2709524065789108,0.679506100247861,1.9999999999993179
range:long,SeqGain_basic,-127.84216571735342,0.1273336511246208,0.38029742531561095,0.0038691502071964627,4,0.4095477468676646,0.009900990099009901,2.1214706836617836
range:long,Seq_basic,-116.81181314848872,0.0005125456653823758,0.19580104417205502,0.005021064432649123,3,,0.9900990099009901,13.151823252526484
range:long,Static_weber,-116.57783832576598,0.0004559587746083643,0.35953040706781003,0.003998810331647703,3,,0.651842046865036,13.385798075249227
range:long,Linear_weber,-116.57783832576546,0.0004559587746082444,0.3595304177481208,0.003998810264964542,3,,,13.385798075249753
