scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-507.63719696975363,0.9843025592265436,0.9562888991045135,0.001881928218647859,4,1.0699587250169975,0.2860684819719692,0.0
overall,Static_basic,-499.36032568902095,0.015697440731164823,0.9531891707626828,0.002015383247625087,3,,0.2361227225808139,8.276871280732678
overall,StaticGain_weber,-459.792372593547,4.0156606709254564e-11,0.9555642694000779,0.0019131262681343826,4,1.1119860523978007,0.25291506242004735,47.844824376206645
overall,Seq_basic,-452.9865453860093,1.3362582719425317e-12,0.9362306220753474,0.002745512909614582,3,,0.11619866230643247,54.65065158374432
overall,SeqGain_basic,-451.80573563501866,7.404245791267722e-13,0.9365779345018792,0.0027305597960396067,4,0.9792445654478483,0.10082489757455518,55.83146133473497
overall,Linear_basic,-446.58952676907927,5.4550089025201305e-14,0.933452239276141,0.0028651327975815796,3,,,61.04767020067436
overall,Static_weber,-441.15523788279836,3.60374975191609e-15,0.9492955647853096,0.0021830177114340534,3,,0.16925196416807226,66.48195908695527
overall,Seq_weber,-419.6976759358765,7.89412958422025e-20,0.9362263615751907,0.0027456963402604823,3,,0.09212866143137087,87.93952103387716
overall,SeqGain_weber,-418.65380371900994,4.684144449623268e-20,0.9362729202300694,0.002743691814072777,4,1.0227844858380803,0.1075197032969593,88.98339325074369
overall,Linear_weber,-412.04159197038365,1.7171440983545282e-21,0.9331906736135683,0.002876394188654792,3,,,95.59560499936998
range:long,Static_basic,-182.37471282368642,0.3642618130244577,0.8451739428798679,0.001353080650553398,3,,0.2829867626884461,0.0
range:long,Linear_basic,-182.37471282368227,0.3642618130237019,0.8451739428798516,0.0013530806505535403,3,,,4.149569576838985e-12
range:long,StaticGain_basic,-180.3747128236844,0.1340044322153987,0.8451739428798644,0.001353080650553429,4,1.5395647486396868,0.5342753243666896,2.000000000002018
range:long,SeqGain_basic,-179.61119743623757,0.0914795254725364,0.8427915577570742,0.0013739011718001365,4,0.7213178409164223,0.009900990099009901,2.763515387448848
range:long,Static_weber,-176.29484093035478,0.01742553970115276,0.8441116128863323,0.0013623647348057029,3,,0.28263258617452547,6.079871893331642
range:long,Linear_weber,-176.29484093035245,0.017425539701132454,0.8441116123866743,0.0013623647391723935,3,,,6.079871893333973
range:long,StaticGain_weber,-174.29484093035398,0.006410497807368309,0.8441116125840467,0.0013623647374474855,4,2.3197764670027308,0.6907601108309582,8.079871893332438
range:long,SeqGain_weber,-173.68700441955883,0.0047304421388319196,0.8411213557282394,0.0013884976686028535,4,0.7216247765901928,0.009900990099009901,8.68770840412759
range:long,Seq_basic,-154.62955146812936,3.440554223314491e-07,0.7303282437691432,0.0023567585595337002,3,,0.10093098598588511,27.74516135555706
range:long,Seq_weber,-150.8832396756911,5.285999737971414e-08,0.7284928004779243,0.002372799159215248,3,,0.10973896387053288,31.491473147995322
range:medium,Linear_basic,-167.03429594325797,0.3684223169168336,0.8973365055784086,0.0018389454709375368,3,,,0.0
range:medium,Static_basic,-167.03429594324527,0.3684223169144933,0.8973365055783828,0.0018389454709379978,3,,0.1538303487388212,1.2704504115390591e-11
range:medium,StaticGain_basic,-165.0342959432538,0.13553499606216962,0.8973365055783977,0.0018389454709377322,4,1.2663495443125072,0.3318040468376692,2.000000000004178
range:medium,SeqGain_basic,-164.82877080956357,0.12229881014373092,0.896913638507368,0.0018465200181461605,4,0.8522511170312866,0.009900990099009901,2.205525133694408
range:medium,Seq_basic,-157.93874577432132,0.0039018655933489603,0.8768543749308009,0.00220582876866452,3,,0.08064813299180397,9.095550168936654
range:medium,Static_weber,-153.81364563887405,0.0004960417057119357,0.8981744460222439,0.001823935980048998,3,,0.13407040955958158,13.220650304383923
range:medium,Linear_weber,-153.81364563887377,0.0004960417057118653,0.8981744485600747,0.0018239359345904621,3,,,13.220650304384208
range:medium,SeqGain_weber,-151.8987244676265,0.00019041376628543805,0.8968727397800623,0.0018472526108732035,4,0.8755276261447753,0.015422739772026491,15.13557147563148
range:medium,StaticGain_weber,-151.81364563887445,0.00018248354549507226,0.8981744496196241,0.0018239359156114307,4,1.9296218567269128,0.5512439243133148,15.220650304383526
range:medium,Seq_weber,-149.40455192861833,5.471364621928503e-05,0.8743642674888196,0.002250432469603968,3,,0.08989833374409739,17.62974401463964
range:short,Static_weber,-174.04862476525872,0.36831694705001256,0.7685609197628119,0.0020207038671140993,3,,0.16657980598600713,0.0
range:short,Linear_weber,-174.04862476525633,0.36831694704957285,0.768560939147328,0.002020703697867113,3,,,2.3874235921539366e-12
range:short,StaticGain_weber,-172.04862476525875,0.13549623265473226,0.7685609210027375,0.0020207038562882595,4,1.3863575452634747,0.398841813078883,1.9999999999999716
range:short,SeqGain_weber,-171.80077588413417,0.11970368484416881,0.7669408099920294,0.002034849110327192,4,0.8388718267413566,0.009900990099009901,2.247848881124554
range:short,Seq_weber,-165.84371053387662,0.0060890173922159225,0.7029175287476875,0.002593838939802791,3,,0.08361222068549781,8.204914231382105
range:short,Static_basic,-161.71405050252406,0.0007723300497633342,0.765731477543999,0.0020454078403042445,3,,0.31784116662464923,12.334574262734662
range:short,Linear_basic,-161.71405050252335,0.00077233004976306,0.7657314775439936,0.00204540784030429,3,,,12.334574262735373
range:short,StaticGain_basic,-159.71405050252096,0.00028412434710640755,0.7657314775440003,0.002045407840304233,4,1.0217999322796363,0.33239490687527906,14.33457426273776
range:short,SeqGain_basic,-159.444840928979,0.00024834209165263137,0.7644667291952182,0.002056450408727383,4,0.6866557202950484,0.009900990099009901,14.603783836279717
range:short,Seq_basic,-142.18939111289137,4.44710123223823e-08,0.6538192016797315,0.0030225183973661978,3,,0.21783697447589714,31.85923365236735
