scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-370.1085871477099,0.7316953593074381,0.8613778191099651,0.005088994733430541,4,0.9370251643546719,0.3766599429019552,0.0
overall,Static_weber,-368.0856147631312,0.26610156500619314,0.8611163380538683,0.005098594032105721,3,,0.4159146894570109,2.0229723845786793
overall,SeqGain_weber,-357.12510037846164,0.0011091798483960698,0.8395328243714614,0.005890951984876837,4,0.8762664508307206,0.3975550081071053,12.983486769248259
overall,Static_basic,-356.2423571402954,0.0007133730724238482,0.8574630931675555,0.005232709249937462,3,,0.41270456294138763,13.866230007414515
overall,StaticGain_basic,-354.980619673571,0.0003796067291163071,0.8581629006688583,0.005207018435771368,4,0.9693053637807375,0.3941068479839725,15.12796747413887
overall,Seq_weber,-342.8886977268286,8.98682767040837e-07,0.8297051565026825,0.00625173804166088,3,,0.5070081886745514,27.219889420881316
overall,SeqGain_basic,-334.8278846723018,1.5966991688049552e-08,0.8377674535334101,0.005955760970276666,4,0.9023751303773212,0.35530029459450707,35.28070247540808
overall,Seq_basic,-329.65263643449384,1.2006936757236253e-09,0.8298184572003198,0.006247578630447842,3,,0.44972020303849586,40.455950713216055
overall,Linear_weber,-325.8777452371034,1.8185490305793e-10,0.8119927104269788,0.0069019842303782025,3,,,44.2308419106065
overall,Linear_basic,-318.305554784473,4.125197538884906e-12,0.8164452520042561,0.006738525825008579,3,,,51.80303236323692
range:long,Static_weber,-149.51968530837075,0.2060648822646101,0.6129905090016028,0.002608626831313693,3,,0.434298854777604,0.0
range:long,Linear_weber,-149.5196853083704,0.20606488226457495,0.6129905123894719,0.002608626808477855,3,,,3.410605131648481e-13
range:long,Linear_basic,-148.6227533077615,0.13159448113454575,0.6057250931666018,0.0026575991669505815,3,,,0.8969320006092403
range:long,Static_basic,-148.62275330775816,0.13159448113432506,0.6057250931665737,0.0026575991669507714,3,,0.46691393838957573,0.896932000612594
