scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-486.3700622631448,0.9649071266922815,0.9157501035487877,0.0022863756557239155,4,0.9299127640695729,0.5432583611157014,0.0
overall,Static_weber,-479.1635327051744,0.026278919450010103,0.9129405533686835,0.002362621294067755,3,,0.5752701234335923,7.206529557970384
overall,StaticGain_basic,-476.9781589644804,0.008811698429136627,0.9149269800795977,0.002308713599637008,4,0.8944547103567586,0.530120827507187,9.391903298664431
overall,Static_basic,-460.43716801308506,2.255428571755089e-06,0.9037338691915063,0.0026124725040906193,3,,0.5797144108461872,25.932894250059746
overall,SeqGain_basic,-414.9116252550077,2.9341551542307252e-16,0.8713253871239522,0.003491974646637819,4,0.8275341410522935,0.5874410534217155,71.45843700813708
overall,SeqGain_weber,-412.2395875969146,7.71360631798175e-17,0.8665470890385005,0.00362164821157443,4,0.8447029221356986,0.6088697511298269,74.13047466623021
overall,Seq_weber,-387.2114382703415,2.8344180009173955e-22,0.8501360961716476,0.004067010118918249,3,,0.7446421974062976,99.15862399280331
overall,Seq_basic,-384.8176233883006,8.563545320785103e-23,0.8406270824586095,0.004325065954939664,3,,0.7405180708270293,101.5524388748442
overall,Linear_basic,-373.36238367381543,2.7872755298679834e-25,0.8279792491173384,0.00466830315127119,3,,,113.00767858932937
overall,Linear_weber,-357.65009177345433,1.079689969820101e-28,0.8179095833094604,0.004941573976924254,3,,,128.71997048969047
range:long,Static_basic,-149.18327106419147,0.36896649891074784,0.5471167328630755,0.0026279729072114597,3,,0.5299201354195785,0.0
range:long,Linear_basic,-149.1832710641894,0.3689664989103651,0.5471167328630626,0.002627972907211534,3,,,2.0747847884194925e-12
range:long,StaticGain_basic,-147.1832710641913,0.13573518943025792,0.5471167328630788,0.0026279729072114406,4,1.8093992506959604,0.7402011782649548,2.0000000000001705
range:long,SeqGain_basic,-147.03803519658544,0.12622776290756554,0.5457993225525368,0.0026356175230650408,4,0.4729993620649632,0.009900990099009901,2.145235867606033
range:long,Static_weber,-130.82160480569135,3.8001589993729386e-05,0.5418579935281234,0.0026584881094747466,3,,0.47495316020741074,18.361666258500122
range:long,Linear_weber,-130.82160480569,3.800158999370346e-05,0.5418579924459299,0.0026584881157544556,3,,,18.361666258501486
range:long,StaticGain_weber,-128.82160480569107,1.3980003690517454e-05,0.541857994637422,0.002658488103037753,4,2.959159966071343,0.8225689585106948,20.361666258500406
range:long,SeqGain_weber,-128.69061322202774,1.309371323066819e-05,0.5402653780448814,0.0026677296748962836,4,0.5280231234567238,0.009900990099009901,20.492657842163737
range:long,Seq_basic,-123.47998319014204,9.673617029494623e-07,0.24274491781202534,0.004394169500717091,3,,0.6860522604098522,25.703287874049437
range:long,Seq_weber,-113.17009452940881,5.582452196698789e-09,0.28172940469061836,0.004167951879637467,3,,0.5231756773037541,36.01317653478266
range:medium,Static_weber,-147.235790612836,0.34014104189688055,0.5920440757646943,0.0030688729174155405,3,,0.5128663911153117,0.0
range:medium,Linear_weber,-147.2357906128344,0.34014104189660505,0.5920440781990969,0.0030688728991026017,3,,,1.6200374375330284e-12
range:medium,SeqGain_weber,-145.69382482562793,0.1573350278506816,0.5923546006174749,0.0030665369755790073,4,0.5158772919819345,0.08038044451129008,1.5419657872080847
range:medium,StaticGain_weber,-145.2357906128346,0.12513089641240766,0.5920440799391534,0.0030688728860129217,4,1.0339787386089374,0.5288746248691696,2.000000000001421
range:medium,Linear_basic,-140.78132367271672,0.013492404407737807,0.5867302561635603,0.003108846444194247,3,,,6.454466940119289
range:medium,Static_basic,-140.78132367271482,0.01349240440772496,0.5867302561635696,0.003108846444194178,3,,0.55659003054374,6.454466940121193
range:medium,SeqGain_basic,-138.9044691979495,0.00527880450860961,0.587746850153025,0.0031011990549128596,4,0.45768789700294193,0.04218794688586856,8.331321414886503
range:medium,StaticGain_basic,-138.78132367271533,0.004963578193574233,0.5867302561635613,0.0031088464441942397,4,1.651185955120521,0.7314597070005998,8.454466940120682
range:medium,Seq_weber,-128.17076068205355,2.4645656406984633e-05,0.39902364972961246,0.004520880653490006,3,,0.6754585963399723,19.065029930782458
range:medium,Seq_basic,-118.02992094138976,1.5476937148299184e-07,0.3485969551389114,0.00490021848915023,3,,0.7180701260284004,29.20586967144625
range:short,Static_weber,-203.38205070870947,0.3548563395368753,0.6585397578723512,0.0009014584538194141,3,,0.6153432473713306,0.0
range:short,Linear_weber,-203.3820507087076,0.3548563395365425,0.6585397762690235,0.0009014584052520152,3,,,1.8758328224066645e-12
