scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-312.20123029128274,0.5893308662076044,0.7585550570185089,0.007018409864126251,3,,,0.0
overall,StaticGain_basic,-310.20123029127876,0.2168027097251042,0.7585550570185087,0.007018409864126257,4,0.7052777952061042,0.0,2.000000000003979
overall,SeqGain_basic,-309.97759352715536,0.19386642406333465,0.7581948154359464,0.007028881498136489,4,0.7071175296532122,0.009900990099009901,2.2236367641273773
overall,Static_basic,-260.6589138529545,3.785187358784614e-12,0.6595538679251638,0.009896212619126286,3,,0.23876876923852228,51.542316438328214
overall,Seq_basic,-254.47166663679855,1.716104455848523e-13,0.6452173936472597,0.010312950494214221,3,,0.22485520139267356,57.729563654484195
overall,Linear_weber,-222.53739673478947,1.9957453126468958e-20,0.7574367268819432,0.007050917893347737,3,,,89.66383355649327
overall,StaticGain_weber,-220.53739673478998,7.341936703372534e-21,0.7574367264416807,0.007050917906145449,4,0.7810605336719819,0.0,91.66383355649276
overall,SeqGain_weber,-220.47801771212926,7.127162241001126e-21,0.7567557584941146,0.007070712531376915,4,0.7831858360740206,0.009900990099009901,91.72321257915348
overall,Static_weber,-199.854275087119,2.3687969542067093e-25,0.676551459873471,0.009402120402808724,3,,0.13496278875419485,112.34695520416375
overall,Seq_weber,-199.78850755861103,2.2921688094997607e-25,0.662690981872113,0.009805021844126936,3,,0.1523791120270321,112.41272273267171
range:long,Static_weber,-166.77831052143546,0.22503180769856568,0.8120797262827483,0.0019124946928642656,3,,0.1570753953770003,0.0
range:long,Linear_weber,-166.77831052143418,0.2250318076984218,0.8120797220973619,0.0019124947354596117,3,,,1.2789769243681803e-12
range:long,Static_basic,-165.64842558657827,0.12790646982509898,0.8142282097986387,0.001890629232365685,3,,0.24054740214743137,1.1298849348571878
range:long,Linear_basic,-165.64842558657725,0.12790646982503356,0.8142282097986353,0.0018906292323657198,3,,,1.129884934858211
range:long,SeqGain_weber,-164.78345723826024,0.08299788438833253,0.8120530454557,0.0019127662279100678,4,0.8489778468411494,0.009900990099009901,1.9948532831752175
