scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-429.4741800847961,0.6424720968109664,0.9493535957496331,0.003211432219733268,3,,,0.0
overall,StaticGain_basic,-427.47418008479684,0.23635227594315042,0.9493535957496334,0.0032114322197332457,4,1.1653206603665058,0.0,1.999999999999261
overall,SeqGain_basic,-426.1380152269561,0.12117562721395012,0.9489004341136839,0.0032401666955558786,4,1.1683589309236178,0.009900990099009901,3.3361648578400036
overall,Static_basic,-381.4595935229912,2.407793697036622e-11,0.9302466477956116,0.004422982559555596,3,,0.0,48.01458656180489
overall,Seq_basic,-379.2193591162277,7.855223616910874e-12,0.9291970705773611,0.004489535084767949,3,,0.009900990099009901,50.254820968568424
overall,Linear_weber,-319.04197625927077,6.726759452170486e-25,0.9208062263449349,0.005021589194385839,3,,,110.43220382552533
overall,StaticGain_weber,-317.0419762592704,2.474636508158774e-25,0.9208062301883811,0.005021588950677182,4,1.4046535215615457,0.0,112.43220382552568
overall,SeqGain_weber,-316.20477969813123,1.628232774558395e-25,0.9202285951348597,0.005058216147604254,4,1.4083072030332242,0.009900990099009901,113.26940038666487
overall,Static_weber,-203.2662200476741,4.868776818417351e-50,0.8761857991749303,0.007850920902983418,3,,0.0,226.207960037122
overall,Seq_weber,-201.87946865483428,2.4338321764042956e-50,0.8743368444743634,0.007968161066152253,3,,0.009900990099009901,227.59471142996182
range:long,SeqGain_basic,-213.51305615753148,0.7460211541431738,0.9663885559913699,0.0006974092295661081,4,1.241464492461235,0.06895122178256716,0.0
range:long,Linear_basic,-210.20895364450953,0.14297970542037153,0.9626269949112274,0.0007754584622677563,3,,,3.3041025130219452
range:long,StaticGain_basic,-208.20895364451664,0.05259929412909059,0.9626269949112324,0.0007754584622676539,4,1.2783680512489162,0.07766715505380324,5.30410251301484
range:long,SeqGain_weber,-208.03926665903546,0.048320659750680804,0.9651630475425608,0.0007228375004517996,4,1.2421372800881836,0.07357138281964039,5.473789498496018
range:long,Linear_weber,-204.27752895042806,0.007366851079881144,0.9604810065071608,0.0008199859190218792,3,,,9.235527207103416
range:long,StaticGain_weber,-202.2775289504338,0.0027101130584676913,0.9604810095721649,0.0008199858554256189,4,2.286812649524227,0.4849922884227845,11.235527207097675
range:long,Static_basic,-186.89127675258075,1.235677661144128e-06,0.9404210578163148,0.0012362130040000341,3,,0.0,26.62177940495073
range:long,Seq_basic,-186.0716004214884,8.201905132499302e-07,0.9394362990612994,0.0012566459209692488,3,,0.009900990099009901,27.441455736043082
range:long,Static_weber,-181.8181325882575,9.778808407456017e-08,0.9444202024840326,0.0011532341114264101,3,,0.0,31.694923569273982
range:long,Seq_weber,-181.11383186687783,6.876207580529983e-08,0.9434878668481184,0.0011725792927096954,3,,0.009900990099009901,32.39922429065365
range:medium,Linear_basic,-138.6640421214403,0.5780068250455412,0.9195944271981611,0.0032433195901077744,3,,,0.0
range:medium,StaticGain_basic,-136.66404212144081,0.21263682779108772,0.9195944271981629,0.0032433195901077033,4,1.4519644513229255,0.11468593671393805,1.9999999999994884
range:medium,SeqGain_basic,-136.63281770067343,0.2093428767344069,0.91954419916764,0.003245345638174909,4,1.294952912167494,0.009900990099009901,2.0312244207668755
range:medium,Static_basic,-116.30304169933505,8.05941315705516e-06,0.8742490333936583,0.0050724167400000054,3,,0.0,22.36100042210525
range:medium,Seq_basic,-115.35367406610004,5.013613576965548e-06,0.8718385434500785,0.005169648672854184,3,,0.009900990099009901,23.310368055340263
range:medium,Linear_weber,-109.09307675394726,2.1911869095974498e-07,0.9139631367908508,0.0034704689512674515,3,,,29.570965367493045
range:medium,SeqGain_weber,-107.47708961467367,9.767249371898058e-08,0.9155564523324227,0.0034061993822670665,4,1.4459450534890097,0.03649826547750342,31.18695250676663
range:medium,StaticGain_weber,-107.09307675394822,8.060926158052789e-08,0.9139631302515999,0.003470469215041213,4,2.778151773700131,0.4928735008484955,31.57096536749208
range:medium,Static_weber,-84.54231123938199,1.0222295473277308e-12,0.8463723184847409,0.006196879789281005,3,,0.0,54.121730882058316
range:medium,Seq_weber,-83.95405955171609,7.617477831892665e-13,0.8429039301844756,0.006336784168148808,3,,0.009900990099009901,54.70998256972422
range:short,Linear_weber,-144.2463314794709,0.5244374615910047,0.8627248797276439,0.004290583303155789,3,,,0.0
range:short,SeqGain_weber,-143.0094651558189,0.28256059539699485,0.8620030011043802,0.0043131458794021995,4,1.73562829982439,0.04079886718572715,1.2368663236520092
range:short,StaticGain_weber,-142.24633147947168,0.1929297602995426,0.8627248816219365,0.004290583243948992,4,1.8915270525254366,0.10846860563406477,1.9999999999992326
range:short,Linear_basic,-125.3705057827313,4.176959226392923e-05,0.8646271945321758,0.0042311257691068135,3,,,18.87582569673961
range:short,StaticGain_basic,-123.37050578273079,1.5366174260009358e-05,0.8646271945321744,0.004231125769106859,4,1.9463255096212908,0.295346620007426,20.875825696740122
range:short,SeqGain_basic,-123.32787339891541,1.5042092308404335e-05,0.8645117200016094,0.004234734967130499,4,1.3815748729310628,0.009900990099009901,20.918458080555496
range:short,Static_basic,-106.155200486524,2.8074349797609237e-09,0.8011921857882934,0.006213809804000004,3,,0.0,38.091130992946916
range:short,Seq_basic,-105.49923119513682,2.022403392009842e-09,0.7985667650712072,0.006295868273663993,3,,0.009900990099009901,38.747100284334095
range:short,Static_weber,-95.48543740338457,1.3533187273665767e-11,0.6398209687738142,0.011257525285425679,3,,0.0,48.760894076086345
range:short,Seq_weber,-94.93047528672578,1.0253959533736925e-11,0.6342478915134299,0.011431713821506807,3,,0.009900990099009901,49.31585619274513
