scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-201.49935191576327,0.8610890766132014,0.8239770586443339,0.014486480953243657,4,1.3319426871258249,0.32484355119429714,0.0
overall,StaticGain_basic,-197.8479600272792,0.13872617303312385,0.8196396222910786,0.014843446861399798,4,1.3686701470283185,0.2841911466385897,3.6513918884840564
overall,Linear_basic,-184.60425665782816,0.00018463956109821434,0.8003468448331064,0.016431219745022773,3,,,16.89509525793511
overall,Seq_basic,-169.35314175589855,9.00714671145188e-08,0.778979438374276,0.018189732154269576,3,,0.13430372122428308,32.14621015986472
overall,Static_basic,-166.4142408014679,2.0721109371450767e-08,0.774606354467243,0.01854963181415632,3,,0.02029379537577071,35.08511111429536
overall,SeqGain_weber,-76.04766370096559,4.938102626354614e-28,0.8005102338227774,0.01641777302342722,4,1.8540564543327118,0.34659598369130945,125.45168821479768
overall,StaticGain_weber,-67.25988509027766,6.09983702940279e-30,0.8007349371618128,0.016399280203025536,4,1.8936995864650905,0.26741069505126974,134.2394668254856
overall,Linear_weber,-60.12327422347903,1.720374008390238e-31,0.7788821637380836,0.01819773774236839,3,,,141.37607769228424
overall,Seq_weber,-6.065165355142881,3.140896898774605e-43,0.5934725376456447,0.033456731804449406,3,,0.057562280991325786,195.4341865606204
overall,Static_weber,-5.831664476239439,2.794792757392368e-43,0.5955836004977391,0.033282993815739334,3,,0.0,195.66768743952383
range:long,SeqGain_weber,-113.54485170102743,0.8829856705052546,0.8581781381834808,0.0058539540440467165,4,1.773491919481996,0.2163001255831502,0.0
range:long,SeqGain_basic,-109.3855392863919,0.1103495180207676,0.8644118659422385,0.005596645647756749,4,1.9056748441337723,0.27981561829708734,4.159312414635522
range:long,Linear_weber,-103.0984531486442,0.004759343297841639,0.7929099561399908,0.008548016393301267,3,,,10.44639855238323
range:long,StaticGain_weber,-101.09845314864329,0.001750864552752235,0.7929099581412686,0.0085480163106949,4,1.8342760857513045,0.17751828703969194,12.446398552384139
range:long,Linear_basic,-95.6175909848329,0.00011300520653295656,0.8141423922493365,0.007671609162178662,3,,,17.927260716194525
range:long,StaticGain_basic,-93.61759098483626,4.157229222887719e-05,0.8141423922493454,0.0076716091621783,4,1.697061391601566,0.09880244016483143,19.92726071619117
range:long,Static_weber,-77.05121367751843,1.050656729683913e-08,0.7352148750418546,0.010929485293723626,3,,0.0,36.49363802350899
range:long,Seq_weber,-76.90106978811477,9.746698124799397e-09,0.7354174505459777,0.01092112362312928,3,,0.009900990099009901,36.64378191291266
range:long,Static_basic,-74.52290085629127,2.9678687655691323e-09,0.7165956622132374,0.011698027004000015,3,,0.0,39.02195084473615
range:long,Seq_basic,-74.47903814918561,2.903487946122448e-09,0.7163469355017031,0.011708293649213946,3,,0.009900990099009901,39.06581355184181
range:medium,Static_weber,-99.27593202182953,0.26730866607090875,0.5561583249565583,0.007645811984635347,3,,0.3352041107133312,0.0
range:medium,Linear_weber,-99.27593202182922,0.26730866607086695,0.5561583217308124,0.007645812040203465,3,,,3.126388037344441e-13
range:medium,StaticGain_weber,-97.27593202182958,0.09833736269445169,0.556158324211828,0.007645811997464396,4,2.1063029715168136,0.6843778327461465,1.9999999999999574
range:medium,Linear_basic,-97.27566049942976,0.09832401320228865,0.5691866779678117,0.007421379843188168,3,,,2.000271522399771
range:medium,Static_basic,-97.27566049942956,0.09832401320227888,0.5691866779678156,0.007421379843188101,3,,0.33911101135753674,2.00027152239997
range:medium,SeqGain_weber,-97.1834721939867,0.09389471763978748,0.5543689158881893,0.007676637132587059,4,0.6690231682589411,0.009900990099009901,2.0924598278428306
range:medium,StaticGain_basic,-95.27566049942972,0.03617138303059069,0.5691866779678106,0.007421379843188187,4,1.0414328174117213,0.36540404536228666,4.000271522399814
range:medium,SeqGain_basic,-95.06648227124973,0.03257936681131559,0.5673805672641046,0.007452492700858937,4,0.6647385530154287,0.009900990099009901,4.209449750579807
range:medium,Seq_weber,-92.0643144735738,0.0072615642659559975,0.4559844259575486,0.009371451645307845,3,,0.425546836304722,7.211617548255731
range:medium,Seq_basic,-86.67343211569637,0.0004902470115554242,0.4674272881898638,0.009174331865634603,3,,0.36532088636711707,12.602499906133161
range:short,SeqGain_weber,-74.30261556056686,0.714877359978535,0.26819744055540473,0.024431228447057817,4,2.1839479512281654,0.34879702350952346,0.0
range:short,Linear_weber,-71.72571544392294,0.19709009222830393,0.2519837086576404,0.02497252388646468,3,,,2.5769001166439267
range:short,StaticGain_weber,-69.72571544392257,0.07250539298936308,0.251983728438369,0.024972523226085053,4,2.4562833386928724,0.3239569734769771,4.576900116644296
range:short,Seq_weber,-65.26308897721113,0.007786159323514027,0.11975330362462255,0.02938703595849198,3,,0.020445287878863547,9.039526583355737
range:short,Static_weber,-65.2505532722062,0.007737509449701612,0.1230435604740745,0.029277190733573027,3,,0.0,9.05206228836066
range:short,Seq_basic,-48.30526371853163,1.6179992602581264e-06,0.40805038594863463,0.019762237865104837,3,,0.251844403893854,25.997351842035236
range:short,SeqGain_basic,-47.414474571544176,1.0364441704866425e-06,0.4210377349751043,0.019328655217856146,4,1.2662748187800383,0.3632248288973868,26.888140989022688
range:short,Static_basic,-45.250055040839065,3.511948865005587e-07,0.370751850361719,0.021007449475674015,3,,0.07182113776540264,29.0525605197278
range:short,Linear_basic,-45.25005504083893,3.51194886500535e-07,0.37075185036171676,0.021007449475674088,3,,,29.052560519727933
range:short,StaticGain_basic,-43.25005504083888,1.291973785880817e-07,0.37075185036171776,0.021007449475674057,4,0.9281788918021504,0.0,31.052560519727983
