scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-261.2937298634688,0.5886280057997719,0.40870393750625955,0.009854419290325678,3,,,0.0
overall,StaticGain_basic,-259.29372986346925,0.21654414183152984,0.40870393750626033,0.009854419290325666,4,0.3919889469161814,0.0,1.9999999999995453
overall,SeqGain_basic,-259.0823737532543,0.19482785229596697,0.4078701900137517,0.009868314355580771,4,0.3927036284797168,0.009900990099009901,2.211356110214524
overall,Linear_weber,-214.5733402770964,4.213444001116462e-11,0.419427383212013,0.009675704536542491,3,,,46.72038958637239
overall,StaticGain_weber,-212.5733402770959,1.5500394245374937e-11,0.4194273796199306,0.009675704596407403,4,0.44377088589802666,0.0,48.7203895863729
overall,SeqGain_weber,-212.52052227140956,1.509640228172316e-11,0.41851391848119923,0.009690928152993444,4,0.4449175300973726,0.009900990099009901,48.77320759205924
overall,Static_basic,-149.99953853334978,4.0051089988254935e-25,-0.24175144699272666,0.02069477574639606,3,,0.5702011968402166,111.29419133011902
overall,Seq_basic,-136.5523472985835,4.814973094749103e-28,-0.3582142450776311,0.022635720929107025,3,,0.8074805629862687,124.7413825648853
overall,Static_weber,-120.08387074806646,1.2779375139783697e-31,-0.3024996997745888,0.021707193707615785,3,,0.47830352106844104,141.20985911540234
overall,Seq_weber,-107.78360561534299,2.7260949768722995e-34,-0.467561745730541,0.0244580840194994,3,,0.5601753222349762,153.5101242481258
range:long,Static_weber,-100.13460305013936,0.36628299493804917,0.41296701407771197,0.008807584626264202,3,,0.3124796163516071,0.0
range:long,Linear_weber,-100.1346030501388,0.36628299493794503,0.4129670011024231,0.008807584820939726,3,,,5.684341886080801e-13
range:long,StaticGain_weber,-98.13460305013928,0.134747983488406,0.41296702937041396,0.00880758439681923,4,3.180609461725814,0.783840029046173,2.0000000000000853
range:long,SeqGain_weber,-97.62812042602825,0.10460223649274511,0.40584802443815005,0.008914394814460748,4,0.6869311433391156,0.009900990099009901,2.506482624111115
range:long,Seq_weber,-93.52751020751009,0.013461850867961344,0.4272436744646769,0.008593383895548751,3,,0.009900990099009901,6.607092842629271
range:long,Static_basic,-91.73812674591305,0.005502310487864147,0.4474281609549603,0.008290544741422594,3,,0.31644551139543714,8.396476304226312
range:long,Linear_basic,-91.73812674591238,0.005502310487862309,0.44742816095495574,0.008290544741422663,3,,,8.39647630422698
range:long,StaticGain_basic,-89.73812674590971,0.0020241869074238486,0.4474281609549273,0.00829054474142309,4,1.3754383332071658,0.5030278981020071,10.396476304229651
range:long,SeqGain_basic,-89.15233569226316,0.0015102460218055533,0.4409162564903698,0.008388246490771346,4,0.683599858309508,0.009900990099009901,10.982267357876196
range:long,Seq_basic,-83.34719713875076,8.288536993751765e-05,0.3464611094243212,0.00980540995708563,3,,0.009900990099009901,16.787405911388603
range:medium,Linear_basic,-97.403204206966,0.3497583231176409,0.0012260628028442078,0.007402472961972952,3,,,0.0
range:medium,Static_basic,-97.34186345532767,0.33919393884177784,-4.440892098500626e-16,0.007411560000000003,3,,1.0,0.061340751638326196
range:medium,SeqGain_basic,-96.04057584827686,0.17696079860779132,0.013877061306860283,0.007308709327500527,4,0.19886557389138737,0.9900990099009901,1.3626283586891361
range:medium,StaticGain_basic,-95.34186345532775,0.12478247666985895,-1.1102230246251565e-15,0.007411560000000008,4,1.3398121942560701,1.0,2.061340751638241
range:medium,Linear_weber,-87.86559512215771,0.00296963149153596,-0.02093641106282451,0.0075667314667767875,3,,,9.537609084808281
range:medium,Seq_basic,-87.75623392681806,0.0028116099930151047,-0.21132232147224417,0.008977788064930827,3,,0.9900990099009901,9.64697028014794
range:medium,Static_weber,-87.02920392179996,0.0019547108271852098,-0.010274648133713038,0.007487711171121902,3,,1.0,10.374000285166034
range:medium,SeqGain_weber,-85.24351962845948,0.000800435056379496,0.004688469175495258,0.007376811129397667,4,0.13934592033414758,0.9900990099009901,12.159684578506514
range:medium,StaticGain_weber,-85.02920392180002,0.0007190979267566831,-0.010274648063456793,0.007487711170601195,4,0.100079372824948,1.0,12.374000285165977
range:medium,Seq_weber,-79.65592954143526,4.8977468058519225e-05,-0.13669351917411654,0.008424672218970116,3,,0.9900990099009901,17.74727466553074
range:short,Seq_basic,-121.4908942694943,0.6145842639654394,0.7161516924167188,0.004572501032926773,3,,0.18881001316398044,0.0
range:short,SeqGain_basic,-119.56930139684499,0.2351325997676736,0.7165964582075501,0.004565336318592903,4,1.0316688970632466,0.20510955151731142,1.9215928726493132
range:short,Linear_basic,-116.95005474492943,0.06346739334487465,0.689166699342177,0.005007201206964846,3,,,4.540839524564873
range:short,Static_basic,-116.9500547449294,0.06346739334487375,0.689166699342173,0.005007201206964909,3,,0.12095676584554357,4.540839524564902
