scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-421.0502563120672,0.32325695509351865,0.9306551714223755,0.0033519530316773976,4,1.0432149434021378,0.09194905312475686,0.0
overall,Static_basic,-420.7885641060552,0.28361039013169403,0.9296016713494281,0.0034028765516546035,3,,0.05270777731940104,0.26169220601195775
overall,Seq_basic,-420.0018168687427,0.19137365232751288,0.9292314633939889,0.0034207714647150112,3,,0.03621051886549177,1.0484394433244688
overall,Linear_basic,-418.790114549407,0.10441534550412471,0.928657478854296,0.003448516420718557,3,,,2.2601417626601688
overall,SeqGain_basic,-418.64985638985866,0.09734365694314964,0.9295365426319429,0.003406024708575628,4,1.020048729302398,0.04759662991734755,2.4003999222085213
overall,StaticGain_weber,-343.024967714957,3.6861392253276145e-18,0.9331838274719224,0.0032297242154094314,4,1.3369151082520747,0.16316610181859412,78.0252885971102
overall,SeqGain_weber,-339.46406483474715,6.213431270030801e-19,0.9294403838017766,0.003410672782396122,4,1.2834007308504163,0.11046594241017574,81.58619147732003
overall,Linear_weber,-335.2706132989328,7.633699635285139e-20,0.9297729918418469,0.0033945953538244158,3,,,85.77964301313438
overall,Static_weber,-293.1027578764219,5.322327637894159e-29,0.8529278572108528,0.0071090941460116705,3,,0.0,127.94749843564529
overall,Seq_weber,-292.94176490500365,4.9106889511414736e-29,0.8520141780025252,0.007153259080227438,3,,0.009900990099009901,128.10849140706353
range:long,Linear_weber,-172.93921337421858,0.2090916389960139,0.892003181683325,0.0016574876489242683,3,,,0.0
range:long,Seq_basic,-172.5926503535436,0.17582533889100663,0.8927863062441607,0.00164546859773937,3,,0.04165960468023435,0.3465630206749779
range:long,SeqGain_weber,-172.01813111027468,0.13192472410548275,0.8937495036936169,0.001630685867091993,4,1.1676790433348714,0.061501513204559925,0.9210822639439016
range:long,Linear_basic,-171.92871566220774,0.12615657118219128,0.8913531542956888,0.001667463983257658,3,,,1.0104977120108458
range:long,Static_basic,-171.9287156622066,0.12615657118211956,0.8913531542956863,0.0016674639832576978,3,,0.02420432018279417,1.0104977120119827
range:long,StaticGain_weber,-170.93921337421813,0.07692051530745707,0.8920031805826375,0.001657487665817136,4,1.9962651213363996,0.44036364643566817,2.0000000000004547
range:long,SeqGain_basic,-170.62624418853983,0.06577817044440099,0.8928583164329847,0.0016443634170457805,4,1.012066826624378,0.048996390937138465,2.312969185678753
range:long,StaticGain_basic,-169.9287156621908,0.04641040890621674,0.8913531542956535,0.0016674639832582002,4,2.0624803657988204,0.526882553783575,3.010497712027785
range:long,Static_weber,-168.45963250368885,0.022264248478198044,0.8782635339133493,0.0018683577174528365,3,,0.0,4.47958087052973
range:long,Seq_weber,-168.19160394897733,0.019471812506912847,0.8771640683515536,0.0018852318311304301,3,,0.009900990099009901,4.747609425241251
range:medium,Linear_basic,-151.73682917916702,0.5723952501179356,0.9236935403299323,0.0024971288927029653,3,,,0.0
range:medium,SeqGain_basic,-149.74879123872432,0.21183565869957588,0.92371179379466,0.002496531548069755,4,1.1690253763685607,0.009900990099009901,1.9880379404426947
range:medium,StaticGain_basic,-149.73682917916437,0.21057244474229578,0.9236935403299298,0.0024971288927030473,4,1.4142722595509603,0.17950834153730738,2.000000000002643
range:medium,Static_basic,-141.33379200737158,0.003152863739745073,0.9060447749427039,0.0030746847400000177,3,,0.0,10.403037171795432
range:medium,Seq_basic,-140.46677432504544,0.002043782632279162,0.9044013505124738,0.003128465804479294,3,,0.009900990099009901,11.270054854121582
range:medium,SeqGain_weber,-104.76934854387683,3.621072221510687e-11,0.8951401391255945,0.0034315389471149178,4,1.7337716531347311,0.11903997170601793,46.96748063529019
range:medium,Linear_weber,-103.89293833232853,2.3362920299983605e-11,0.9029989032602487,0.003174360890808364,3,,,47.84389084683849
range:medium,StaticGain_weber,-101.89293833232918,8.594738064093722e-12,0.902998890488346,0.0031743613087688773,4,2.094618338203666,0.23930458029813262,49.84389084683784
range:medium,Static_weber,-73.5350756283838,5.975868058247339e-18,0.8084456381451537,0.006268616491699845,3,,0.0,78.20175355078322
range:medium,Seq_weber,-73.15903414830127,4.951589464310984e-18,0.8044067484275866,0.006400789157707229,3,,0.009900990099009901,78.57779503086574
range:short,Static_weber,-160.82821503331863,0.27925029378140687,0.6311399149248984,0.002867149441288765,3,,0.07232635947236524,0.0
range:short,Linear_weber,-160.82821503331795,0.2792502937813116,0.6311399189283149,0.002867149410170208,3,,,6.821210263296962e-13
range:short,Seq_weber,-160.47315167929426,0.23382589804246506,0.6265313193933086,0.0029029720543558117,3,,0.04713680080787169,0.3550633540243666
range:short,SeqGain_weber,-158.8647803696,0.10462590284619387,0.6300083505505795,0.0028759450911703456,4,0.9382358746627973,0.01601495760441159,1.9634346637186297
range:short,StaticGain_weber,-158.82821503331863,0.10273044202326505,0.6311399156286632,0.0028671494358184003,4,2.003871304420506,0.5370592744168222,2.0
range:short,Static_basic,-145.25816285638334,0.00011614479906859423,0.6342997370528896,0.002842588143887889,3,,0.4141912065230426,15.570052176935292
range:short,Linear_basic,-145.25816285638314,0.00011614479906858268,0.6342997370528867,0.002842588143887911,3,,,15.57005217693549
range:short,StaticGain_basic,-143.25816285638317,4.2727283776320265e-05,0.6342997370528888,0.002842588143887895,4,0.9042826592620761,0.3521839229019136,17.570052176935462
range:short,SeqGain_basic,-143.23050709303251,4.214052213675818e-05,0.6340974067034633,0.0028441608576939797,4,0.5900639810431196,0.009900990099009901,17.597707940286114
range:short,Seq_basic,-126.92290660370492,1.2121307242820996e-08,0.47230462853079325,0.004101776122430144,3,,0.3747504093034991,33.90530842961371
