scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-286.30964966343,0.5485380485397489,0.7989116905641658,0.008340700576462351,3,,,0.0
overall,StaticGain_basic,-284.3096496634301,0.20179587075808778,0.7989116905641667,0.008340700576462317,4,0.8645968036195246,0.0,1.9999999999998863
overall,SeqGain_basic,-283.6344028005941,0.14397407004664103,0.7980044216607041,0.00837833209411417,4,0.8665655289904751,0.009900990099009901,2.675246862835877
overall,Linear_weber,-281.2845236829711,0.04446461282616446,0.7968272443321069,0.008427158819301605,3,,,5.025125980458881
overall,SeqGain_weber,-279.71980957415957,0.02033485890943925,0.7932952955652509,0.00857365628202532,4,1.075619255833127,0.037732824023454285,6.58984008927041
overall,StaticGain_weber,-279.2845236829713,0.01635761691839579,0.7968272445307707,0.00842715881106147,4,1.0642549435635018,0.0,7.025125980458654
overall,Static_weber,-278.6372758694891,0.011835100665655168,0.7896340147380123,0.008725518154015864,3,,0.0,7.672373793940892
overall,Seq_weber,-278.59145671519906,0.011567045750239065,0.7884335797484103,0.008775309555802817,3,,0.009900990099009901,7.7181929482309215
overall,Static_basic,-272.8592292309782,0.0006583927965194985,0.7800470562234063,0.009123164096903513,3,,0.04211766077207666,13.450420432451779
overall,Seq_basic,-272.2036549496361,0.0004743827891089883,0.7790836491870394,0.009163124100775128,3,,0.009900990099009901,14.105994713793905
range:long,Static_basic,-153.47373807222013,0.2892593786325284,0.8500918277789169,0.002411872582865005,3,,0.024310222494983935,0.0
range:long,Linear_basic,-153.47373807221922,0.28925937863239687,0.8500918277789155,0.0024118725828650295,3,,,9.094947017729282e-13
range:long,Seq_basic,-152.99228928850118,0.2273747182410845,0.8486413937448535,0.0024352086160390517,3,,0.009900990099009901,0.48144878371894606
range:long,StaticGain_basic,-151.4737380722171,0.10641257856477139,0.8500918277789156,0.0024118725828650273,4,1.1137251540556736,0.12394025091800218,2.000000000003041
range:long,SeqGain_basic,-151.08389669971473,0.08756690268010696,0.848918451263809,0.0024307510376165766,4,0.9822550938919925,0.009900990099009901,2.3898413725054013
range:long,Linear_weber,-136.88660075610687,7.234963516616263e-05,0.850502081693538,0.002405272007632667,3,,,16.587137316113257
range:long,StaticGain_weber,-134.88660075610815,2.6615943353902666e-05,0.8505020824726591,0.0024052719950973874,4,3.29983901718669,0.6265019479798253,18.587137316111978
range:long,SeqGain_weber,-134.72469592233355,2.4546223010724208e-05,0.8494235463827748,0.002422624562247535,4,1.2408558616657392,0.009900990099009901,18.749042149886577
range:long,Static_weber,-129.70657505766104,1.996703481064337e-06,0.8193721058428319,0.0029061221890946775,3,,0.0,23.767163014559088
range:long,Seq_weber,-129.18030724931452,1.5347441000014757e-06,0.8161427072251897,0.002958079983453922,3,,0.009900990099009901,24.293430822905606
range:medium,Linear_weber,-78.52907109927257,0.4362988334263415,0.667666866350253,0.011898463535581731,3,,,0.0
range:medium,SeqGain_weber,-76.68649397540082,0.17364949037483543,0.6635918297591674,0.012044361339248497,4,1.3029269619693902,0.044346632442342,1.8425771238717488
range:medium,StaticGain_weber,-76.5290710992727,0.160505371024645,0.6676668685650364,0.011898463456286236,4,2.378229839124538,0.46908465205516026,1.999999999999872
range:medium,Linear_basic,-74.13448763529166,0.048474392768090735,0.6707171647101609,0.011789254250881702,3,,,4.394583463980908
range:medium,Static_basic,-74.02283041530146,0.04584229168808958,0.6699810069231921,0.011815610775999998,3,,0.0,4.506240683971114
range:medium,Seq_basic,-73.79139744396083,0.04083300002712043,0.6684499206950687,0.011870427981420018,3,,0.009900990099009901,4.737673655311738
range:medium,Static_weber,-73.29367026191404,0.03183693162143284,0.6347756585442657,0.013076061545213952,3,,0.0,5.235400837358526
range:medium,Seq_weber,-73.07085303694895,0.028480463904031986,0.6319013604642878,0.013178969523480884,3,,0.009900990099009901,5.458218062323624
range:medium,StaticGain_basic,-72.1344876352916,0.01783273252264972,0.6707171647101604,0.011789254250881714,4,1.3923682051454447,0.25719018380411035,6.394583463980965
range:medium,SeqGain_basic,-71.9481703828185,0.01624649264276271,0.669487854252022,0.01183326703257289,4,1.040988237524198,0.009900990099009901,6.580900716454067
range:short,Seq_weber,-115.5375877095294,0.2812421517453913,0.5105190912605375,0.009012811972619725,3,,0.08012830244577186,0.0
range:short,SeqGain_weber,-115.07266935580775,0.2229074964695708,0.5171252765537029,0.008891172282816669,4,1.2239791243330842,0.26052958980169705,0.46491835372165724
range:short,Linear_weber,-114.9716626881601,0.21192947146225807,0.5159818820822462,0.008912225605219603,3,,,0.5659250213693099
range:short,Static_weber,-114.9144675869635,0.20595464753228124,0.5135643415840696,0.008956739778412529,3,,0.0,0.6231201225659078
range:short,StaticGain_weber,-112.97166268816056,0.07796449552931291,0.5159818841343209,0.00891222556743475,4,1.907454531544119,0.4630348332576256,2.565925021368841
range:short,Static_basic,-89.1248656460301,5.171668627857697e-07,0.525586529663981,0.00873537522929712,3,,0.1792730394041744,26.412722063499302
range:short,Linear_basic,-89.12486564602933,5.171668627855712e-07,0.5255865296639783,0.008735375229297166,3,,,26.41272206350007
range:short,Seq_basic,-88.15762440465865,3.188577102023981e-07,0.516319740967337,0.008906004609568424,3,,0.16379527224606064,27.379963304870756
range:short,SeqGain_basic,-87.16193952533393,1.9381469343302732e-07,0.525938166237411,0.008728900545070554,4,0.8384198071663934,0.028476359835595492,28.37564818419547
range:short,StaticGain_basic,-87.12486564602949,1.902550564739588e-07,0.5255865296639781,0.008735375229297173,4,1.6732173356098696,0.5094917017814911,28.412722063499913
