range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,-262.6039226195392,0.07236451483784308,0.7744685823480897,0.05343804934806749,-0.007234877898296287
long,EmpiricalLinear,3.0,-262.47455310144517,0.06823855637602085,0.7994533548207258,0.052819763405796014,-0.03565318489953283
long,Bayes(range),0.0,-249.2918966619569,0.08266830801247689,0.7056704691647134,0.03747407714835446,0.0010942505560858117
long,Equal,0.0,-218.27617812480887,0.11272976536833561,0.4526905505137162,0.0615174978359816,0.03454400000000001
long,LLM(Combined),,,0.0,1.0,0.06983101416992307,-0.054456
medium,Bayes(stimulus),0.0,-294.73438754965713,0.052478911506194555,0.9218924980097597,0.025271390796405998,0.00040766479971603874
medium,EmpiricalLinear,3.0,-287.5577747256407,0.053100032035266614,0.9200326549127005,0.03906942684940354,-0.021145735320357618
medium,Bayes(range),0.0,-281.7454571753553,0.05975785861430412,0.8987224552386031,0.038024667272841775,0.01109398973451284
medium,Equal,0.0,-277.1150791739417,0.06258993529314437,0.8888953804301586,0.043005693111493964,0.011429999999999994
medium,LLM(Combined),,,0.0,1.0,0.058696180795687204,-0.026270000000000012
short,Bayes(stimulus),0.0,-239.22961756612463,0.09141952739250114,0.6328593950463424,0.03733584330350997,0.004898644657971827
short,Bayes(range),0.0,-235.05665497811427,0.09531514613516551,0.600903139243293,0.05664184515872162,0.0219229977700681
short,EmpiricalLinear,3.0,-228.56869606744326,0.09578138147734722,0.5969892145741179,0.0478296618487994,0.007616920219891163
short,Equal,0.0,-225.1306798786373,0.10526157893552614,0.5132631401380434,0.07597857948132487,0.026544000000000012
short,LLM(Combined),,,0.0,1.0,0.07573354963290709,0.03154400000000001
