range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-255.22292274482828,0.0779077980692562,0.8329261746813841,0.0755070893360352,-0.009605999999999983
long,EmpiricalLinear,3.0,-250.37124927079856,0.07701827922321758,0.836719553675975,0.07446330584403354,-0.007374378961642353
long,Bayes(range),0.0,-227.00621922366523,0.10330575506250253,0.7062380184141108,0.08144256135321427,-0.039377690565916106
long,Bayes(stimulus),0.0,-223.37089570453276,0.10713035048909292,0.6840840101319637,0.09078240229627581,-0.013149652927499865
long,LLM(Combined),,,0.0,1.0,0.12585314672267833,0.03094400000000002
medium,Bayes(range),0.0,-220.28397256845147,0.11048895412114852,0.7736947763831888,0.10465192066695138,-0.029991310308711983
medium,Bayes(stimulus),0.0,-220.15229896637288,0.11063453473153362,0.7730980224814081,0.1257402947288837,-0.009131247452991936
medium,Equal,0.0,-218.77328523213544,0.11217076825091286,0.7667529057911908,0.12254713334060491,-0.005445000000000005
medium,EmpiricalLinear,3.0,-213.36298787595976,0.11151124080153949,0.7694876756432797,0.12149932531647469,-0.004787314589343767
medium,LLM(Combined),,,0.0,1.0,0.12031377992565939,-0.048070000000000015
short,Equal,0.0,-279.61051766291155,0.06104736890317223,0.4942622811779075,0.1029593720357695,-0.068781
short,Bayes(range),0.0,-278.3451011661637,0.061824780755473804,0.4812995636501012,0.08176438301351356,-0.03989063893962183
short,EmpiricalLinear,3.0,-272.1393376565453,0.061952124562817366,0.47916057296148207,0.10685812809982113,-0.07202030644901415
short,Bayes(stimulus),0.0,-246.8446013378168,0.08471640491879076,0.02607283724188969,0.12765636645425768,-0.08265736956113238
short,LLM(Combined),,,0.0,1.0,0.10666055756464053,-0.06705599999999999
