range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.027027027027027032,0.9729729729729729
short,1,0.10526315789473684,0.8947368421052632
short,2,0.34285714285714325,0.6571428571428568
short,3,0.675,0.32499999999999996
short,4,0.7941176470588237,0.2058823529411763
short,5,0.004056011588604542,0.9959439884113954
short,6,0.8490566037735846,0.1509433962264154
short,7,0.036363636363636355,0.9636363636363636
short,8,0.00010733068584308272,0.9998926693141569
short,9,0.000509197377633506,0.9994908026223664
medium,0,0.8871968415115621,0.11280315848843792
medium,1,0.9564691656590084,0.04353083434099159
medium,2,0.9000000000000004,0.09999999999999964
medium,3,0.5675675675675683,0.4324324324324317
medium,4,0.01583257506824387,0.9841674249317561
medium,5,0.00028926815157651194,0.9997107318484235
medium,6,0.008567931456548347,0.9914320685434517
medium,7,0.013197969543147229,0.9868020304568528
medium,8,0.01158827539195636,0.9884117246080436
medium,9,0.048628192999053965,0.951371807000946
long,0,0.0016077170418006457,0.9983922829581994
long,1,0.0006224066390041506,0.9993775933609959
long,2,0.03731108312342572,0.9626889168765743
long,3,0.011785714285714267,0.9882142857142857
long,4,0.1869158878504673,0.8130841121495327
long,5,0.01034879264085856,0.9896512073591415
long,6,0.04781105990783409,0.9521889400921659
long,7,0.006957621758380772,0.9930423782416192
long,8,0.2093023255813949,0.7906976744186052
long,9,0.03680555555555562,0.9631944444444444
