range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,3.0,-283.03364206048224,0.055557518764095405,0.46807417656032424,0.10527348090571229,-0.06520689024543348
long,Bayes(stimulus),0.0,-266.1845983094165,0.06981921760904002,0.15993024913343235,0.08463172109106923,-0.03451053309935664
long,Bayes(range),0.0,-265.2233897554363,0.07049356163538738,0.14362437322202548,0.08781265109014685,-0.03245337654042653
long,Equal,0.0,-263.5302463893484,0.07169728028314601,0.11412844922071586,0.08762448596140235,-0.03115599999999999
long,LLM(Combined),,,0.0,1.0,0.11170261653157458,-0.07625599999999998
medium,Bayes(range),0.0,-314.40580939009095,0.04310750814387004,0.7529754155003321,0.12812648229065268,-0.05557905407652609
medium,Bayes(stimulus),0.0,-309.1387878891843,0.04543884699440546,0.7255337523155694,0.13237557328599472,-0.05467759793574821
medium,EmpiricalLinear,3.0,-307.44225665233193,0.04352487928534839,0.7481688259310462,0.13852943193260112,-0.07880851060512663
medium,Equal,0.0,-306.53633069908597,0.04663689526544408,0.7108697039305767,0.12859062034223182,-0.053470000000000004
medium,LLM(Combined),,,0.0,1.0,0.11631420222827478,-0.05887
short,Bayes(stimulus),0.0,-369.20536143387466,0.02492077178233352,0.7647566235631112,0.0815191679162529,-0.02301992910799214
short,EmpiricalLinear,3.0,-344.9081396393182,0.02992439045151065,0.6608084272807824,0.08609298613668052,-0.024866599149438996
short,Equal,0.0,-312.6674463109436,0.043863424398922615,0.2712148817618115,0.07404771799319677,-0.014755999999999986
short,Bayes(range),0.0,-302.5433510602158,0.04853677549148168,0.10764785924655718,0.072505167034679,-0.013988344092536832
short,LLM(Combined),,,0.0,1.0,0.09240700482106322,-0.03375599999999999
