range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,-191.26315931970265,0.1476912115538864,0.4823387054072473,0.20228787682354743,-0.16987433307913752
long,Bayes(range),0.0,-183.94163085529956,0.15891015353650015,0.40070634129164295,0.22096200896906118,-0.18599215851042727
long,EmpiricalLinear,3.0,-183.12368094749525,0.15088507728796574,0.4597074649786319,0.204830821034131,-0.17289425223929591
long,Equal,0.0,-164.5105361222987,0.1929922278227805,0.11607375940384945,0.2495566038797611,-0.19545599999999996
long,LLM(Combined),,,0.0,1.0,0.22637345811733317,-0.17105599999999996
medium,Bayes(stimulus),0.0,-243.40087508167275,0.08768462128747216,0.7268515743786275,0.18548912990462582,-0.12655835696869155
medium,EmpiricalLinear,3.0,-232.95417101577942,0.09167168644935832,0.7014464205511479,0.17649392476961967,-0.11639087657029833
medium,Bayes(range),0.0,-230.7122349725455,0.09954730210174734,0.6479447465707542,0.17467632318202544,-0.11583115023102714
medium,Equal,0.0,-183.51453257004582,0.15959030750643974,0.09517443310440099,0.1886713515348846,-0.089945
medium,LLM(Combined),,,0.0,1.0,0.18664225041506546,-0.10147
short,Bayes(range),0.0,-262.430981854968,0.07248977086124951,0.7968273942366613,0.09190830501956657,0.061085858161645225
short,Bayes(stimulus),0.0,-260.50324955336794,0.07390073570792523,0.7888411828003331,0.12591644906107846,0.04255880862283778
short,EmpiricalLinear,3.0,-251.6904096170348,0.07600895655307806,0.776621568094736,0.09924791134300334,0.07490312880959422
short,Equal,0.0,-204.73397591268045,0.12907782536129123,0.35580851978613937,0.16889942374087605,0.085574
short,LLM(Combined),,,0.0,1.0,0.10316240856048293,0.05814400000000001
