range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,3.0,-286.26534277945166,0.05379076784318904,0.8844929610602228,0.08008033008831192,-0.05690853346012783
long,Bayes(stimulus),0.0,-274.2677404372887,0.06439769718594034,0.8344483023984043,0.08977268064836978,-0.07975438158729826
long,Equal,0.0,-269.9400452452609,0.06724581771381771,0.8194807496698597,0.08420667752619146,-0.070656
long,Bayes(range),0.0,-252.956367729831,0.07969378490231464,0.7464626948683193,0.10897927293831214,-0.10013416601576008
long,LLM(Combined),,,0.0,1.0,0.0848479966764095,-0.048255999999999986
medium,EmpiricalLinear,3.0,-282.66587131500194,0.055762219248616,0.8915096314158719,0.10223129282607263,-0.05498468004633159
medium,Equal,0.0,-270.4177735766855,0.06692533152700851,0.8437240499580613,0.09370461909639248,-0.060070000000000005
medium,Bayes(range),0.0,-269.3077375205145,0.06767236533951834,0.84021581256358,0.0926722853091594,-0.05850221377717681
medium,Bayes(stimulus),0.0,-259.2382575374333,0.0748415119413828,0.8045677687858366,0.09275687942560017,-0.05810697990685229
medium,LLM(Combined),,,0.0,1.0,0.08965055292634844,-0.055470000000000005
short,Bayes(stimulus),0.0,-263.6239387759483,0.07163013684916299,0.766345442509403,0.0560270279072606,0.0213881904167636
short,EmpiricalLinear,3.0,-262.26940443283314,0.0683786905584938,0.7870761773861823,0.054556299828026754,0.007511213506460592
short,Bayes(range),0.0,-260.9797357143788,0.07354944651615523,0.7536562703065871,0.04909861450726631,0.01725196301237223
short,Equal,0.0,-258.61067447880026,0.07531268153505091,0.7417032647760122,0.05998170170977145,0.022744000000000014
short,LLM(Combined),,,0.0,1.0,0.04695366375481257,-0.0006559999999999888
