correct,response,range_category,trial
0.25,0.36,short,0
0.48,0.42,short,1
0.39,0.22,short,2
0.34,0.29,short,3
0.16,0.08,short,4
0.16,0.06,short,5
0.12,0.08,short,6
0.45,0.31,short,7
0.34,0.23,short,8
0.38,0.18,short,9
0.25,0.27,short,10
0.48,0.41,short,11
0.39,0.16,short,12
0.34,0.25,short,13
0.16,0.07,short,14
0.16,0.06,short,15
0.12,0.09,short,16
0.45,0.35,short,17
0.34,0.23,short,18
0.38,0.23,short,19
0.25,0.295,short,20
0.48,0.38,short,21
0.39,0.2,short,22
0.34,0.28,short,23
0.16,0.07,short,24
0.16,0.06,short,25
0.12,0.04,short,26
0.45,0.37,short,27
0.34,0.24,short,28
0.38,0.23,short,29
0.25,0.28,short,30
0.48,0.42,short,31
0.39,0.19,short,32
0.34,0.29,short,33
0.16,0.08,short,34
0.16,0.06,short,35
0.12,0.05,short,36
0.45,0.32,short,37
0.34,0.18,short,38
0.38,0.24,short,39
0.25,0.36,short,40
0.48,0.26,short,41
0.39,0.17,short,42
0.34,0.32,short,43
0.16,0.06,short,44
0.16,0.05,short,45
0.12,0.1,short,46
0.45,0.34,short,47
0.34,0.21,short,48
0.38,0.24,short,49
0.49,0.51,medium,0
0.78,0.69,medium,1
0.67,0.44,medium,2
0.6,0.55,medium,3
0.38,0.32,medium,4
0.38,0.29,medium,5
0.33,0.18,medium,6
0.73,0.53,medium,7
0.6,0.41,medium,8
0.65,0.52,medium,9
0.49,0.47,medium,10
0.78,0.69,medium,11
0.67,0.5,medium,12
0.6,0.53,medium,13
0.38,0.17,medium,14
0.38,0.3,medium,15
0.33,0.2,medium,16
0.73,0.5,medium,17
0.6,0.47,medium,18
0.65,0.53,medium,19
0.49,0.6,medium,20
0.78,0.75,medium,21
0.67,0.5,medium,22
0.6,0.63,medium,23
0.38,0.3,medium,24
0.38,0.25,medium,25
0.33,0.2,medium,26
0.73,0.55,medium,27
0.6,0.4,medium,28
0.65,0.5,medium,29
0.49,0.52,medium,30
0.78,0.76,medium,31
0.67,0.51,medium,32
0.6,0.53,medium,33
0.38,0.14,medium,34
0.38,0.23,medium,35
0.33,0.18,medium,36
0.73,0.53,medium,37
0.6,0.41,medium,38
0.65,0.52,medium,39
0.49,0.55,medium,40
0.78,0.75,medium,41
0.67,0.5,medium,42
0.6,0.6,medium,43
0.38,0.3,medium,44
0.38,0.25,medium,45
0.33,0.25,medium,46
0.73,0.5,medium,47
0.6,0.4,medium,48
0.65,0.5,medium,49
0.65,0.65,long,0
0.88,0.8,long,1
0.79,0.6,long,2
0.74,0.7,long,3
0.56,0.4,long,4
0.56,0.5,long,5
0.52,0.4,long,6
0.85,0.7,long,7
0.74,0.6,long,8
0.78,0.7,long,9
0.65,0.7,long,10
0.88,0.8,long,11
0.79,0.65,long,12
0.74,0.7,long,13
0.56,0.5,long,14
0.56,0.55,long,15
0.52,0.45,long,16
0.85,0.75,long,17
0.74,0.6,long,18
0.78,0.7,long,19
0.65,0.65,long,20
0.88,0.75,long,21
0.79,0.65,long,22
0.74,0.65,long,23
0.56,0.45,long,24
0.56,0.55,long,25
0.52,0.35,long,26
0.85,0.7,long,27
0.74,0.65,long,28
0.78,0.65,long,29
0.65,0.6,long,30
0.88,0.75,long,31
0.79,0.65,long,32
0.74,0.6,long,33
0.56,0.4,long,34
0.56,0.5,long,35
0.52,0.4,long,36
0.85,0.7,long,37
0.74,0.6,long,38
0.78,0.7,long,39
0.65,0.65,long,40
0.88,0.75,long,41
0.79,0.6,long,42
0.74,0.7,long,43
0.56,0.35,long,44
0.56,0.55,long,45
0.52,0.4,long,46
0.85,0.8,long,47
0.74,0.65,long,48
0.78,0.7,long,49
