correct,response,range_category,trial
0.24982,0.27,short,0
0.48029,0.52,short,1
0.3928,0.33,short,2
0.33946,0.42,short,3
0.16241,0.18,short,4
0.1624,0.13,short,5
0.12323,0.08,short,6
0.44647,0.38,short,7
0.34045,0.27,short,8
0.38323,0.3,short,9
0.24982,0.28,short,10
0.48029,0.52,short,11
0.3928,0.32,short,12
0.33946,0.4,short,13
0.16241,0.14,short,14
0.1624,0.13,short,15
0.12323,0.1,short,16
0.44647,0.37,short,17
0.34045,0.29,short,18
0.38323,0.25,short,19
0.24982,0.22,short,20
0.48029,0.53,short,21
0.3928,0.31,short,22
0.33946,0.39,short,23
0.16241,0.16,short,24
0.1624,0.12,short,25
0.12323,0.11,short,26
0.44647,0.39,short,27
0.34045,0.27,short,28
0.38323,0.26,short,29
0.24982,0.25,short,30
0.48029,0.54,short,31
0.3928,0.36,short,32
0.33946,0.44,short,33
0.16241,0.18,short,34
0.1624,0.14,short,35
0.12323,0.11,short,36
0.44647,0.35,short,37
0.34045,0.25,short,38
0.38323,0.28,short,39
0.24982,0.22,short,40
0.48029,0.52,short,41
0.3928,0.27,short,42
0.33946,0.4,short,43
0.16241,0.15,short,44
0.1624,0.12,short,45
0.12323,0.08,short,46
0.44647,0.4,short,47
0.34045,0.27,short,48
0.38323,0.23,short,49
0.48727,0.52,medium,0
0.77536,0.72,medium,1
0.666,0.69,medium,2
0.59933,0.57,medium,3
0.37801,0.38,medium,4
0.378,0.27,medium,5
0.32904,0.25,medium,6
0.73309,0.81,medium,7
0.60056,0.44,medium,8
0.65404,0.47,medium,9
0.48727,0.53,medium,10
0.77536,0.74,medium,11
0.666,0.67,medium,12
0.59933,0.58,medium,13
0.37801,0.39,medium,14
0.378,0.28,medium,15
0.32904,0.22,medium,16
0.73309,0.8,medium,17
0.60056,0.6,medium,18
0.65404,0.57,medium,19
0.48727,0.52,medium,20
0.77536,0.73,medium,21
0.666,0.67,medium,22
0.59933,0.63,medium,23
0.37801,0.37,medium,24
0.378,0.31,medium,25
0.32904,0.22,medium,26
0.73309,0.76,medium,27
0.60056,0.59,medium,28
0.65404,0.62,medium,29
0.48727,0.54,medium,30
0.77536,0.73,medium,31
0.666,0.7,medium,32
0.59933,0.62,medium,33
0.37801,0.39,medium,34
0.378,0.47,medium,35
0.32904,0.28,medium,36
0.73309,0.81,medium,37
0.60056,0.67,medium,38
0.65404,0.62,medium,39
0.48727,0.55,medium,40
0.77536,0.75,medium,41
0.666,0.73,medium,42
0.59933,0.65,medium,43
0.37801,0.38,medium,44
0.378,0.4,medium,45
0.32904,0.27,medium,46
0.73309,0.81,medium,47
0.60056,0.31,medium,48
0.65404,0.53,medium,49
0.64982,0.65,long,0
0.88029,0.91,long,1
0.7928,0.8,long,2
0.73946,0.72,long,3
0.56241,0.5,long,4
0.5624,0.38,long,5
0.52323,0.36,long,6
0.84647,0.89,long,7
0.74045,0.77,long,8
0.78323,0.82,long,9
0.64982,0.63,long,10
0.88029,0.86,long,11
0.7928,0.8,long,12
0.73946,0.74,long,13
0.56241,0.56,long,14
0.5624,0.36,long,15
0.52323,0.38,long,16
0.84647,0.88,long,17
0.74045,0.7,long,18
0.78323,0.79,long,19
0.64982,0.63,long,20
0.88029,0.88,long,21
0.7928,0.82,long,22
0.73946,0.74,long,23
0.56241,0.44,long,24
0.5624,0.37,long,25
0.52323,0.35,long,26
0.84647,0.82,long,27
0.74045,0.63,long,28
0.78323,0.72,long,29
0.64982,0.65,long,30
0.88029,0.91,long,31
0.7928,0.8,long,32
0.73946,0.59,long,33
0.56241,0.42,long,34
0.5624,0.48,long,35
0.52323,0.39,long,36
0.84647,0.85,long,37
0.74045,0.72,long,38
0.78323,0.8,long,39
0.64982,0.65,long,40
0.88029,0.9,long,41
0.7928,0.85,long,42
0.73946,0.75,long,43
0.56241,0.45,long,44
0.5624,0.4,long,45
0.52323,0.4,long,46
0.84647,0.85,long,47
0.74045,0.75,long,48
0.78323,0.82,long,49
