correct,response,range_category,trial,stimulus_id
0.24982,0.175,short,0,0
0.48029,0.175,short,1,1
0.3928,0.175,short,2,2
0.33946,0.175,short,3,3
0.16241,0.175,short,4,4
0.1624,0.175,short,5,5
0.12323,0.175,short,6,6
0.44647,0.175,short,7,7
0.34045,0.175,short,8,8
0.38323,0.175,short,9,9
0.24982,0.2,short,10,0
0.48029,0.21,short,11,1
0.3928,0.21,short,12,2
0.33946,0.22,short,13,3
0.16241,0.22,short,14,4
0.1624,0.23,short,15,5
0.12323,0.23,short,16,6
0.44647,0.24,short,17,7
0.34045,0.24,short,18,8
0.38323,0.21,short,19,9
0.24982,0.178,short,20,0
0.48029,0.294,short,21,1
0.3928,0.275,short,22,2
0.33946,0.25,short,23,3
0.16241,0.225,short,24,4
0.1624,0.238,short,25,5
0.12323,0.217,short,26,6
0.44647,0.233,short,27,7
0.34045,0.217,short,28,8
0.38323,0.225,short,29,9
0.24982,0.16,short,30,0
0.48029,0.29,short,31,1
0.3928,0.44,short,32,2
0.33946,0.39,short,33,3
0.16241,0.35,short,34,4
0.1624,0.25,short,35,5
0.12323,0.22,short,36,6
0.44647,0.23,short,37,7
0.34045,0.18,short,38,8
0.38323,0.18,short,39,9
0.24982,0.16,short,40,0
0.48029,0.49,short,41,1
0.3928,0.49,short,42,2
0.33946,0.48,short,43,3
0.16241,0.48,short,44,4
0.1624,0.48,short,45,5
0.12323,0.48,short,46,6
0.44647,0.48,short,47,7
0.34045,0.48,short,48,8
0.38323,0.48,short,49,9
0.48727,0.5,medium,0,0
0.77536,0.64,medium,1,1
0.666,0.59,medium,2,2
0.59933,0.6,medium,3,3
0.37801,0.55,medium,4,4
0.378,0.57,medium,5,5
0.32904,0.52,medium,6,6
0.73309,0.54,medium,7,7
0.60056,0.53,medium,8,8
0.65404,0.56,medium,9,9
0.48727,0.5,medium,10,0
0.77536,0.55,medium,11,1
0.666,0.52,medium,12,2
0.59933,0.52,medium,13,3
0.37801,0.52,medium,14,4
0.378,0.52,medium,15,5
0.32904,0.52,medium,16,6
0.73309,0.52,medium,17,7
0.60056,0.52,medium,18,8
0.65404,0.52,medium,19,9
0.48727,0.502,medium,20,0
0.77536,0.623,medium,21,1
0.666,0.502,medium,22,2
0.59933,0.502,medium,23,3
0.37801,0.502,medium,24,4
0.378,0.502,medium,25,5
0.32904,0.502,medium,26,6
0.73309,0.502,medium,27,7
0.60056,0.502,medium,28,8
0.65404,0.502,medium,29,9
0.48727,0.5,medium,30,0
0.77536,0.67,medium,31,1
0.666,0.49,medium,32,2
0.59933,0.5,medium,33,3
0.37801,0.5,medium,34,4
0.378,0.52,medium,35,5
0.32904,0.5,medium,36,6
0.73309,0.5,medium,37,7
0.60056,0.5,medium,38,8
0.65404,0.5,medium,39,9
0.48727,0.5,medium,40,0
0.77536,0.63,medium,41,1
0.666,0.52,medium,42,2
0.59933,0.56,medium,43,3
0.37801,0.54,medium,44,4
0.378,0.54,medium,45,5
0.32904,0.58,medium,46,6
0.73309,0.56,medium,47,7
0.60056,0.54,medium,48,8
0.65404,0.54,medium,49,9
0.64982,0.58,long,0,0
0.88029,0.75,long,1,1
0.7928,0.76,long,2,2
0.73946,0.75,long,3,3
0.56241,0.58,long,4,4
0.5624,0.58,long,5,5
0.52323,0.58,long,6,6
0.84647,0.58,long,7,7
0.74045,0.58,long,8,8
0.78323,0.58,long,9,9
0.64982,0.63,long,10,0
0.88029,0.76,long,11,1
0.7928,0.71,long,12,2
0.73946,0.72,long,13,3
0.56241,0.6,long,14,4
0.5624,0.65,long,15,5
0.52323,0.64,long,16,6
0.84647,0.67,long,17,7
0.74045,0.66,long,18,8
0.78323,0.68,long,19,9
0.64982,0.53,long,20,0
0.88029,0.79,long,21,1
0.7928,0.81,long,22,2
0.73946,0.78,long,23,3
0.56241,0.52,long,24,4
0.5624,0.78,long,25,5
0.52323,0.51,long,26,6
0.84647,0.51,long,27,7
0.74045,0.5,long,28,8
0.78323,0.5,long,29,9
0.64982,0.53,long,30,0
0.88029,0.77,long,31,1
0.7928,0.57,long,32,2
0.73946,0.57,long,33,3
0.56241,0.54,long,34,4
0.5624,0.54,long,35,5
0.52323,0.53,long,36,6
0.84647,0.54,long,37,7
0.74045,0.54,long,38,8
0.78323,0.55,long,39,9
0.64982,0.625,long,40,0
0.88029,0.781,long,41,1
0.7928,0.731,long,42,2
0.73946,0.714,long,43,3
0.56241,0.667,long,44,4
0.5624,0.703,long,45,5
0.52323,0.656,long,46,6
0.84647,0.682,long,47,7
0.74045,0.625,long,48,8
0.78323,0.667,long,49,9
