correct,response,range_category,trial,stimulus_id
0.24982,0.122,short,0,0
0.48029,0.232,short,1,1
0.3928,0.232,short,2,2
0.33946,0.212,short,3,3
0.16241,0.112,short,4,4
0.1624,0.105,short,5,5
0.12323,0.112,short,6,6
0.44647,0.152,short,7,7
0.34045,0.135,short,8,8
0.38323,0.155,short,9,9
0.24982,0.135,short,10,0
0.48029,0.444,short,11,1
0.3928,0.444,short,12,2
0.33946,0.335,short,13,3
0.16241,0.142,short,14,4
0.1624,0.142,short,15,5
0.12323,0.146,short,16,6
0.44647,0.228,short,17,7
0.34045,0.238,short,18,8
0.38323,0.304,short,19,9
0.24982,0.142,short,20,0
0.48029,0.367,short,21,1
0.3928,0.159,short,22,2
0.33946,0.336,short,23,3
0.16241,0.142,short,24,4
0.1624,0.137,short,25,5
0.12323,0.115,short,26,6
0.44647,0.179,short,27,7
0.34045,0.17,short,28,8
0.38323,0.17,short,29,9
0.24982,0.14,short,30,0
0.48029,0.3,short,31,1
0.3928,0.3,short,32,2
0.33946,0.28,short,33,3
0.16241,0.12,short,34,4
0.1624,0.11,short,35,5
0.12323,0.07,short,36,6
0.44647,0.23,short,37,7
0.34045,0.25,short,38,8
0.38323,0.25,short,39,9
0.24982,0.15,short,40,0
0.48029,0.46,short,41,1
0.3928,0.33,short,42,2
0.33946,0.29,short,43,3
0.16241,0.17,short,44,4
0.1624,0.15,short,45,5
0.12323,0.12,short,46,6
0.44647,0.23,short,47,7
0.34045,0.22,short,48,8
0.38323,0.25,short,49,9
0.48727,0.687,medium,0,0
0.77536,0.725,medium,1,1
0.666,0.695,medium,2,2
0.59933,0.648,medium,3,3
0.37801,0.348,medium,4,4
0.378,0.25,medium,5,5
0.32904,0.23,medium,6,6
0.73309,0.249,medium,7,7
0.60056,0.292,medium,8,8
0.65404,0.511,medium,9,9
0.48727,0.688,medium,10,0
0.77536,0.733,medium,11,1
0.666,0.673,medium,12,2
0.59933,0.673,medium,13,3
0.37801,0.551,medium,14,4
0.378,0.435,medium,15,5
0.32904,0.399,medium,16,6
0.73309,0.409,medium,17,7
0.60056,0.446,medium,18,8
0.65404,0.446,medium,19,9
0.48727,0.69,medium,20,0
0.77536,0.77,medium,21,1
0.666,0.73,medium,22,2
0.59933,0.69,medium,23,3
0.37801,0.29,medium,24,4
0.378,0.28,medium,25,5
0.32904,0.26,medium,26,6
0.73309,0.25,medium,27,7
0.60056,0.36,medium,28,8
0.65404,0.62,medium,29,9
0.48727,0.71,medium,30,0
0.77536,0.78,medium,31,1
0.666,0.65,medium,32,2
0.59933,0.68,medium,33,3
0.37801,0.35,medium,34,4
0.378,0.3,medium,35,5
0.32904,0.25,medium,36,6
0.73309,0.29,medium,37,7
0.60056,0.26,medium,38,8
0.65404,0.33,medium,39,9
0.48727,0.64,medium,40,0
0.77536,0.731,medium,41,1
0.666,0.675,medium,42,2
0.59933,0.603,medium,43,3
0.37801,0.347,medium,44,4
0.378,0.305,medium,45,5
0.32904,0.241,medium,46,6
0.73309,0.32,medium,47,7
0.60056,0.3,medium,48,8
0.65404,0.456,medium,49,9
0.64982,0.731,long,0,0
0.88029,0.731,long,1,1
0.7928,0.731,long,2,2
0.73946,0.731,long,3,3
0.56241,0.404,long,4,4
0.5624,0.404,long,5,5
0.52323,0.404,long,6,6
0.84647,0.404,long,7,7
0.74045,0.404,long,8,8
0.78323,0.404,long,9,9
0.64982,0.736,long,10,0
0.88029,0.841,long,11,1
0.7928,0.845,long,12,2
0.73946,0.774,long,13,3
0.56241,0.541,long,14,4
0.5624,0.471,long,15,5
0.52323,0.471,long,16,6
0.84647,0.605,long,17,7
0.74045,0.526,long,18,8
0.78323,0.582,long,19,9
0.64982,0.72,long,20,0
0.88029,0.83,long,21,1
0.7928,0.81,long,22,2
0.73946,0.72,long,23,3
0.56241,0.48,long,24,4
0.5624,0.43,long,25,5
0.52323,0.43,long,26,6
0.84647,0.62,long,27,7
0.74045,0.5,long,28,8
0.78323,0.55,long,29,9
0.64982,0.723,long,30,0
0.88029,0.775,long,31,1
0.7928,0.786,long,32,2
0.73946,0.762,long,33,3
0.56241,0.575,long,34,4
0.5624,0.488,long,35,5
0.52323,0.432,long,36,6
0.84647,0.618,long,37,7
0.74045,0.485,long,38,8
0.78323,0.507,long,39,9
0.64982,0.727,long,40,0
0.88029,0.868,long,41,1
0.7928,0.747,long,42,2
0.73946,0.754,long,43,3
0.56241,0.535,long,44,4
0.5624,0.465,long,45,5
0.52323,0.492,long,46,6
0.84647,0.53,long,47,7
0.74045,0.456,long,48,8
0.78323,0.474,long,49,9
