group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.22000000000000003,0.001999999999999999,0.25,0.0,short
1,0.396,0.011079999999999998,0.48,0.0,short
2,0.288,0.006770000000000002,0.39,0.0,short
3,0.254,0.0020799999999999994,0.34,0.0,short
4,0.156,0.0014299999999999998,0.16,0.0,short
5,0.11000000000000001,0.0004999999999999998,0.16,0.0,short
6,0.074,0.00113,0.12,0.0,short
7,0.45999999999999996,0.007999999999999998,0.45,0.0,short
8,0.32999999999999996,0.004500000000000001,0.34,0.0,short
9,0.31,0.01175,0.38,0.0,short
0,0.5,0.0,0.49000000000000005,0.0,medium
1,0.73,0.009500000000000007,0.78,0.0,medium
2,0.594,0.00968,0.67,0.0,medium
3,0.534,0.004280000000000002,0.6,0.0,medium
4,0.32,0.006999999999999998,0.38,0.0,medium
5,0.27,0.004499999999999996,0.38,0.0,medium
6,0.19,0.00425,0.33,0.0,medium
7,0.7,0.0037500000000000046,0.73,0.0,medium
8,0.51,0.0005000000000000016,0.6,0.0,medium
9,0.61,0.0029999999999999923,0.65,0.0,medium
0,0.616,0.014480000000000002,0.65,0.0,long
1,0.866,0.0017799999999999977,0.8800000000000001,0.0,long
2,0.734,0.0019300000000000035,0.79,0.0,long
3,0.664,0.001430000000000003,0.74,0.0,long
4,0.5,0.0,0.56,0.0,long
5,0.502,0.00032,0.56,0.0,long
6,0.46799999999999997,0.0016699999999999998,0.52,0.0,long
7,0.794,0.0006799999999999977,0.85,0.0,long
8,0.7,0.0,0.74,0.0,long
9,0.7060000000000001,0.009580000000000009,0.78,0.0,long
