scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-479.7615388356542,0.9999948552940578,0.947254761764361,0.0032165021476941833,4,1.635946068769234,0.935396005472628,0.0
overall,StaticGain_basic,-455.4064643843842,5.144705808688639e-06,0.9562854586117646,0.0026657935571844467,4,1.4571141173818731,0.8921423674667488,24.355074451270013
overall,SeqGain_basic,-420.4728277698263,1.3354195755688799e-13,0.9448215922729007,0.003364881321943462,4,1.4028102007371426,0.9900990099009901,59.2887110658279
overall,SeqGain_weber,-380.5237129299894,2.823434208096605e-22,0.9402624254708234,0.0036429077429269846,4,1.594426232561185,0.9900990099009901,99.2378259056648
overall,Seq_basic,-290.41472555466606,7.653492813267674e-42,0.8669188542634846,0.008115534319264383,3,,0.9900990099009901,189.34681328098816
overall,Static_basic,-285.90006458291595,8.007805292994085e-43,0.86285252587881,0.008363506542351204,3,,0.8428391698658675,193.86147425273828
overall,Static_weber,-226.80778235422815,1.1797431310624045e-55,0.7808128383498535,0.013366438370133692,3,,0.8943113730265433,252.95375648142607
overall,Seq_weber,-215.39378526183827,3.919850291101348e-58,0.7794013941198853,0.01345251084888071,3,,0.9643101870482548,264.36775357381595
overall,Linear_basic,-152.14740807334334,7.235910289812097e-72,0.6654651106771811,0.02040055606874531,3,,,327.6141307623109
overall,Linear_weber,-109.67573175316701,4.333969416980069e-81,0.6414095863516982,0.021867506418104893,3,,,370.08580708248724
range:long,SeqGain_basic,-194.96674063452016,0.7195713912477573,0.23522886277283894,0.0010105991715774604,4,0.3177299252776255,0.8596096681524569,0.0
range:long,SeqGain_weber,-191.61160218703003,0.13443576765599122,0.24954526490198714,0.0009916809051479188,4,0.30971612582182523,0.8686503999295905,3.355138447490134
range:long,Static_basic,-189.76191260296432,0.05331628019238211,0.1166926732926703,0.0011672376338041346,3,,0.8963999832218734,5.204828031555849
range:long,Linear_basic,-189.7619126029602,0.05331628019227224,0.11669267329266209,0.0011672376338041455,3,,,5.20482803155997
range:long,StaticGain_basic,-187.76191260296181,0.01961396336248904,0.11669267329265764,0.0011672376338041513,4,1.2155365096597304,0.9147700939096765,7.20482803155835
range:long,Static_weber,-186.05104127545957,0.008337855635718039,0.12075656717464722,0.001161867441872735,3,,0.9014847035597063,8.915699359060596
range:long,Linear_weber,-186.0510412754518,0.008337855635685693,0.12075657947399487,0.001161867425619885,3,,,8.915699359068356
range:long,StaticGain_weber,-184.05104127545346,0.0030673256718267415,0.12075657295770326,0.0011618674342307735,4,2.425969417714353,0.9593913426532389,10.915699359066707
range:long,Seq_basic,-170.19746926444824,3.0095041734616816e-06,-0.3063105323385549,0.0017262109898534613,3,,0.9900990099009901,24.76927137007192
range:long,Seq_weber,-165.38192010876523,2.7090170418762766e-07,-0.3827868908395802,0.0018272699090310562,3,,0.9900990099009901,29.584820525754935
range:medium,Seq_weber,-135.26654859577766,0.6467467452224192,0.48668083453834654,0.0038369375652261488,3,,0.980146350895415,0.0
range:medium,SeqGain_weber,-133.88245984438407,0.3237301870513257,0.4974133553911274,0.003756714547656617,4,1.1474944229999653,0.9900990099009901,1.384088751393591
range:medium,Seq_basic,-128.3448849896867,0.020310195178068046,0.46663618829628484,0.003986766485170462,3,,0.9681113506366422,6.921663606090959
range:medium,SeqGain_basic,-126.76205455778236,0.009204640596485302,0.471067730536726,0.003953641770493302,4,1.1228974517827117,0.9778275045732572,8.5044940379953
range:medium,Static_weber,-110.44926379470107,2.6407624096092247e-06,0.171466374528089,0.006193090002332422,3,,0.7910722376498349,24.817284801076596
range:medium,Linear_weber,-110.4492637947001,2.640762409607949e-06,0.1714663582409075,0.006193090124075195,3,,,24.817284801077562
range:medium,StaticGain_weber,-108.44926379470112,9.714821995136207e-07,0.1714663819957709,0.006193089946513292,4,2.023062642777537,0.896726992131298,26.81728480107654
range:medium,Static_basic,-108.14826628108207,8.357455403304351e-07,0.20117958827942428,0.005970990860712491,3,,0.7411823279556046,27.11828231469559
range:medium,Linear_basic,-108.14826628108143,8.357455403301679e-07,0.20117958827940796,0.005970990860712613,3,,,27.11828231469623
range:medium,StaticGain_basic,-106.14826628108281,3.074536023383992e-07,0.2011795882794284,0.00597099086071246,4,1.07727968856236,0.7597488230314349,29.118282314694852
range:short,Static_weber,-242.96224855609458,0.24420605429884576,0.05898099527260592,0.0004374232741574819,3,,0.9348675040257366,0.0
range:short,Linear_weber,-242.96224855609006,0.24420605429829395,0.0589809860293905,0.00043742327845409815,3,,,4.519051799434237e-12
range:short,SeqGain_weber,-242.8171406866743,0.2271154364948401,0.10190790818719198,0.00041746912795826574,4,0.25540318950158003,0.9900990099009901,0.1451078694202863
range:short,StaticGain_weber,-240.9622485560945,0.08983838678613844,0.05898099803694645,0.0004374232728725059,4,2.006390378148235,0.9675374711739765,2.0000000000000853
range:short,Static_basic,-240.14010027932665,0.05955726075255584,0.08319618735518874,0.00042616708426981414,3,,0.9481178982036512,2.8221482767679333
range:short,Linear_basic,-240.14010027931636,0.05955726075224945,0.08319618735505963,0.00042616708426987415,3,,,2.822148276778222
range:short,SeqGain_basic,-239.9296799319759,0.05360959384408649,0.11542977021692791,0.00041118362561236326,4,0.17162469466851818,0.9744426352658976,3.0325686241186816
range:short,StaticGain_basic,-238.14010027931818,0.021909891803259328,0.08319618735501189,0.0004261670842698963,4,1.20414338656828,0.9569135966294238,4.822148276776403
range:short,Seq_weber,-212.5559577485102,6.09697297815711e-08,-0.6786924055777914,0.0007803233778087807,3,,0.9900990099009901,30.406290807584384
range:short,Seq_basic,-176.1303392614275,7.505708882613881e-16,-2.298056798098496,0.0015330687220281051,3,,0.9900990099009901,66.83190929466707
