scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-290.2070629727142,0.6080971196814358,0.7925041677503328,0.008126777385422891,3,,,0.0
overall,StaticGain_basic,-288.2070629727114,0.2237064285660587,0.7925041677503287,0.008126777385423055,4,0.8367806635295074,0.0,2.0000000000027853
overall,SeqGain_basic,-287.6314608099821,0.16775985531849108,0.7917064044162626,0.008158022567323418,4,0.838740148603677,0.009900990099009901,2.575602162732082
overall,Static_basic,-275.61549058214166,0.0004125278378619843,0.7713051909354918,0.008957056063819002,3,,0.14336570923602485,14.591572390572537
overall,Seq_basic,-269.9171671419669,2.388240437404748e-05,0.7624502141518669,0.009303869897588059,3,,0.01452172703852143,20.289895830747298
overall,Linear_weber,-258.6246391769274,8.432119573401166e-08,0.788767508890516,0.008273127287441461,3,,,31.58242379578678
overall,StaticGain_weber,-256.8676147638605,3.502706537454128e-08,0.7882046523299776,0.008295172115608977,4,1.0983067945564344,0.041310525412766204,33.339448208853696
overall,SeqGain_weber,-256.625191876964,3.102860793719883e-08,0.7882261756990752,0.008294329131789286,4,1.0821476399115049,0.009900990099009901,33.581871095750216
overall,Static_weber,-255.62921293225895,1.8857677836847438e-08,0.7751886443915222,0.008804956807744133,3,,0.0,34.577850040455246
overall,Seq_weber,-255.41676138479892,1.6957231322349656e-08,0.7740313789160888,0.0088502822429238,3,,0.009900990099009901,34.79030158791528
range:long,Linear_basic,-117.08786244644025,0.3400366518252702,0.6845110939379184,0.004993419590031959,3,,,0.0
range:long,Static_basic,-117.08786244643876,0.3400366518250165,0.6845110939379171,0.004993419590031981,3,,0.1316166230290525,1.4921397450962104e-12
range:long,StaticGain_basic,-115.08786244644004,0.12509249345127535,0.6845110939379189,0.004993419590031952,4,1.4326813516920316,0.39387536962036906,2.000000000000213
range:long,SeqGain_basic,-114.42509710783135,0.08980770217759235,0.6803013526372172,0.005060049523053285,4,0.8721364127511044,0.009900990099009901,2.6627653386089065
