scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-137.09300731396198,0.9050362982414577,0.8053117321370609,0.022255551812412285,4,1.7819215907116706,0.6820623499029353,0.0
overall,SeqGain_basic,-132.5840466747318,0.09496370175854231,0.799370606915661,0.022934704293659784,4,1.7304457108638172,0.8891885486084256,4.5089606392301675
overall,Linear_basic,-59.802844180394004,1.4904599842584652e-17,0.6697001954669657,0.037757819174752294,3,,,77.29016313356797
overall,Seq_basic,-57.09441483369353,3.847621657931369e-18,0.6636820689209705,0.03844577396847588,3,,0.6770490061967992,79.99859248026846
overall,Static_basic,-55.227861052728464,1.5131269171811827e-18,0.6594708851409201,0.03892717030446097,3,,0.43346001160740044,81.86514626123352
overall,StaticGain_weber,101.94706261610884,1.1214355920234993e-52,0.7275835398795101,0.03114095527848506,4,3.4422606551351564,0.49382970428666223,239.0400699300708
overall,SeqGain_weber,109.98491983876761,2.0154675793432517e-54,0.713170827979793,0.032788526855152135,4,3.009830106336848,0.38249094645975257,247.0779271527296
overall,Linear_weber,111.48691876608802,9.510884191105652e-55,0.6077741076482146,0.044836824351173414,3,,,248.57992608005
overall,Static_weber,152.21258040594614,1.363816161172093e-63,0.05576807989536958,0.10793871994185243,3,,0.0,289.3055877199081
overall,Seq_weber,152.26442399222208,1.3289178680378962e-63,0.05568805088536122,0.1079478683604926,3,,0.009900990099009901,289.357431306184
range:long,Seq_basic,-75.5359537888471,0.33280354599737705,0.5722670314929494,0.011463397539857619,3,,0.11500695255582136,0.0
range:long,SeqGain_basic,-74.87119806783681,0.2386921158884361,0.5835384210560569,0.011161320241866095,4,1.2008040203965715,0.20510060758868714,0.6647557210102804
range:long,Linear_basic,-74.30114890480647,0.17949546121712384,0.5615721793218602,0.011750023428189591,3,,,1.2348048840406278
range:long,Static_basic,-74.26740046718763,0.17649202709746833,0.5612761543501652,0.011757957004000006,3,,0.0,1.2685533216594678
range:long,StaticGain_basic,-72.30114890480644,0.06603268996536488,0.5615721793218572,0.011750023428189671,4,1.5572883029541165,0.34276844268064555,3.2348048840406562
range:long,Seq_weber,-65.5743357462741,0.0022858623349876718,0.5765425857249751,0.011348811147239807,3,,0.1194757465903865,9.961618042572994
range:long,SeqGain_weber,-64.7212101468299,0.0014920940603461615,0.5720514830687459,0.011469174315223707,4,1.1783558852346683,0.20311802024407963,10.814743642017191
range:long,Linear_weber,-64.19137606743756,0.0011448384132242875,0.5519373516275543,0.01200824027893496,3,,,11.344577721409536
range:long,Static_weber,-64.18326083491866,0.001140202509983082,0.5534961043858186,0.011966465143862482,3,,0.0,11.35269295392844
range:long,StaticGain_weber,-62.19137606743831,0.00042116251568871026,0.5519373380757614,0.012008240642127889,4,2.1680645315177975,0.533656430009469,13.344577721408783
range:medium,SeqGain_basic,-19.545372000227268,0.6376978459637477,0.2600216135054014,0.03374967422963215,4,2.0320971561286223,0.9728743260866353,0.0
range:medium,Seq_basic,-17.821168842549426,0.2692830337830386,0.20280043001669545,0.03635947518736854,3,,0.9084547541942103,1.7242031576778416
range:medium,SeqGain_weber,-14.4497790345673,0.049902349841704594,0.28098234174563375,0.03279367637532339,4,2.9185588615031732,0.9900990099009901,5.095592965659968
range:medium,Linear_basic,-12.007095860518508,0.014712927155008618,0.10449616064568135,0.04084303460911112,3,,,7.53827613970876
range:medium,Static_basic,-12.007095860518437,0.014712927155008094,0.10449616064568135,0.04084303460911112,3,,0.5392357484177682,7.538276139708831
range:medium,Seq_weber,-10.676030545664844,0.007562439688219005,0.10457219693424591,0.04083956667002598,3,,0.9508918613951468,8.869341454562424
range:medium,StaticGain_basic,-10.007095860518614,0.005412583419780998,0.10449616064568312,0.04084303460911104,4,0.7491456953334888,0.3849469915174632,9.538276139708653
range:medium,Linear_weber,-4.2372040938820135,0.0003023350686885092,-0.011851166150638193,0.046149519836964456,3,,,15.308167906345254
range:medium,Static_weber,-4.237204093880052,0.0003023350686882127,-0.01185120136771367,0.046149521443180054,3,,0.7566650052589533,15.308167906347215
range:medium,StaticGain_weber,-2.2372040938820135,0.00011122285611565839,-0.01185117811385017,0.046149520382594594,4,1.5005806772022725,0.8378392778004085,17.308167906345254
range:short,Linear_basic,-127.7967803407181,0.3154724848120414,0.21215048833825445,0.004030710268676758,3,,,0.0
range:short,Static_basic,-127.79678034071776,0.3154724848119876,0.21215048833825711,0.004030710268676744,3,,0.7251438413942484,3.410605131648481e-13
range:short,SeqGain_basic,-127.35313798779316,0.25271194691476734,0.2362962565902066,0.0039071783065473984,4,0.36002329559443724,0.3184019238323705,0.4436423529249396
range:short,StaticGain_basic,-125.79678034071028,0.11605584141716656,0.21215048833818073,0.004030710268677135,4,1.0982328657489748,0.7497285505741282,2.000000000007816
range:short,Seq_basic,-113.79340457517829,0.0002871885196518575,-0.042497546175645384,0.00533351293900983,3,,0.8595990577219615,14.003375765539815
range:short,Linear_weber,-95.15837324499901,2.580010281276624e-08,0.03370963601274468,0.004943630014356139,3,,,32.63840709571909
range:short,StaticGain_weber,-93.15837324499824,9.49132740492256e-09,0.03370965910915591,0.004943629896192783,4,3.4227285112276356,0.28260350972405274,34.638407095719856
range:short,SeqGain_weber,-93.13918036182935,9.400680077468096e-09,0.03954848824519963,0.004913757911496034,4,2.4702783837035667,0.009900990099009901,34.657599978888754
range:short,Static_weber,-91.64782600764744,4.459804175523682e-09,-0.13033896059719008,0.005782917661464014,3,,0.0,36.14895433307066
range:short,Seq_weber,-91.60827273091462,4.3724706691836614e-09,-0.13114050524136323,0.005787018437285093,3,,0.009900990099009901,36.18850760980348
