scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-285.9377747526731,0.5505457959583295,0.7808720819312572,0.008361404211616583,3,,,0.0
overall,StaticGain_basic,-283.9377747526722,0.2025344797563508,0.7808720819312571,0.008361404211616588,4,0.8198550661462303,0.0,2.0000000000008527
overall,SeqGain_basic,-283.34097905504615,0.15028181433164792,0.7799985146213425,0.008394737478544077,4,0.8217288304326038,0.009900990099009901,2.5967956976269306
overall,Linear_weber,-280.0579627442618,0.029107740583787584,0.7779988676653455,0.008471039287218107,3,,,5.879812008411307
overall,Static_weber,-279.828934079966,0.02595825851273384,0.7763159088026031,0.008535257025637438,3,,0.0,6.1088406727070605
overall,Seq_weber,-279.4630280900231,0.021618227209300928,0.7750132152877475,0.008584964735807634,3,,0.009900990099009901,6.474746662649977
overall,StaticGain_weber,-278.05796274426154,0.010708139339725871,0.7779988684254401,0.00847103925821469,4,1.0192251405887018,0.0,7.879812008411534
overall,SeqGain_weber,-277.75631143405235,0.00920897436590747,0.7769564046799435,0.008510817214528397,4,1.0218406994416074,0.009900990099009901,8.181463318620729
overall,Static_basic,-266.4761461033776,3.271556952295761e-05,0.7505147360651744,0.00951976888653006,3,,0.12815520386577478,19.461628649295506
overall,Seq_basic,-262.19886044634484,3.854372693191131e-06,0.7432982028631143,0.009795134762502315,3,,0.014085982268961994,23.73891430632824
range:long,Linear_weber,-103.14725291045497,0.242181457860147,0.6015744218226498,0.006909161699265941,3,,,0.0
range:long,Static_basic,-101.82192554622557,0.12483883543908944,0.6092327500125565,0.006776357404792257,3,,0.14247857906305733,1.3253273642293948
range:long,Linear_basic,-101.82192554622551,0.12483883543908589,0.6092327500125561,0.006776357404792265,3,,,1.3253273642294516
range:long,Static_weber,-101.34130376629847,0.09817118091989213,0.6014349800071379,0.006911579782099421,3,,0.0,1.8059491441565
range:long,Seq_weber,-101.16500657249165,0.08988796864191169,0.6002058009384873,0.006932895172997542,3,,0.009900990099009901,1.9822463379633177
range:long,StaticGain_weber,-101.14725291045524,0.0890935793796881,0.6015744160033557,0.006909161800179249,4,1.4606383925847113,0.20522961003286327,1.99999999999973
range:long,SeqGain_weber,-101.12766783512231,0.08822538499872118,0.6012222112062449,0.006915269439918714,4,1.1690754457707566,0.009900990099009901,2.0195850753326567
range:long,Seq_basic,-100.08410993021842,0.05235857791574934,0.5954123394018147,0.007016019356458827,3,,0.0501642599928378,3.063142980236549
range:long,StaticGain_basic,-99.82192554622605,0.045925641017836964,0.6092327500125614,0.006776357404792172,4,0.9810726097127569,0.12593475581189506,3.3253273642289116
range:long,SeqGain_basic,-99.75789194719813,0.04447853838787837,0.6087319847550108,0.006785041255245799,4,0.8635328520532397,0.009900990099009901,3.3893609632568342
range:medium,Linear_weber,-87.22241867626194,0.5211427509601629,0.6933479370255051,0.0105541789783009,3,,,0.0
range:medium,StaticGain_weber,-85.22241867626174,0.19171770399375385,0.6933479405657343,0.01055417885645527,4,2.068089606235687,0.31850613419078383,2.000000000000199
range:medium,SeqGain_weber,-85.12379955774784,0.1824934786815201,0.691796446002559,0.010607577327493688,4,1.418914040198204,0.009900990099009901,2.098619118514094
range:medium,Linear_basic,-81.55232494012408,0.030599299921683715,0.7046906118656144,0.010163793147551926,3,,,5.670093736137858
range:medium,Static_basic,-81.38099199316426,0.028087107320645816,0.7036769515687387,0.010198680740000032,3,,0.0,5.84142668309768
range:medium,Seq_basic,-80.9972725191138,0.023183734179270086,0.7013941045585865,0.01027725049000112,3,,0.009900990099009901,6.2251461571481315
range:medium,StaticGain_basic,-79.55232494012397,0.011256853355425723,0.7046906118656144,0.01016379314755193,4,1.5191721698909482,0.31579710140393935,7.6700937361379715
range:medium,SeqGain_basic,-79.2223824234269,0.009544889419848965,0.7027354656471687,0.010231084275216509,4,1.0456855141584365,0.009900990099009901,8.000036252835045
range:medium,Static_weber,-74.8878152072502,0.0010927771105044063,0.6447062432436376,0.012228301555536699,3,,0.0,12.33460346901174
range:medium,Seq_weber,-74.4578947016467,0.0008814050571843559,0.6405945921924783,0.012369814058890911,3,,0.009900990099009901,12.764523974615244
range:short,Static_weber,-117.11099430493805,0.27247176934391854,0.45055765830873284,0.006503551199356522,3,,0.0595933984172545,0.0
range:short,Linear_weber,-117.1109943049379,0.27247176934389916,0.4505576881610289,0.00650355084600564,3,,,1.4210854715202004e-13
range:short,Seq_weber,-116.94710628613969,0.2510346558206547,0.43044499662973845,0.0067416175350925745,3,,0.039531855148945444,0.16388801879836024
range:short,SeqGain_weber,-115.12492997670533,0.10093763449580909,0.44800787964365696,0.006533732011494706,4,0.9487700403949462,0.012538547646540594,1.9860643282327146
range:short,StaticGain_weber,-115.11099430493877,0.1002367622412712,0.4505576557235089,0.006503551229956887,4,2.1173339603909,0.5558534300867247,1.9999999999992752
range:short,Static_basic,-105.97266649717105,0.001039116783926784,0.47311602858192714,0.006236535891446019,3,,0.37567266105652963,11.138327807766998
range:short,Linear_basic,-105.97266649717052,0.0010391167839265108,0.47311602858192614,0.006236535891446031,3,,,11.138327807767524
range:short,StaticGain_basic,-103.97266649715966,0.00038226970178067597,0.4731160285818117,0.006236535891447386,4,1.7153095637628097,0.6360262614807902,13.138327807778381
range:short,SeqGain_basic,-103.94212423545775,0.00037647635917801344,0.47279408570034676,0.006240346613435849,4,0.6287485576903602,0.009900990099009901,13.168870069480292
range:short,Seq_basic,-96.76961859457201,1.0429125635360406e-05,0.36663852211946135,0.007496871803539901,3,,0.24418033186609095,20.341375710366037
