scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-124.98012286677252,0.58938895550721,0.11360333490725283,0.024451153518065087,3,,,0.0
overall,StaticGain_basic,-122.98012286677269,0.216824079584631,0.11360333490725216,0.024451153518065104,4,0.26588116226339253,0.0,1.9999999999998295
overall,SeqGain_basic,-122.755469070249,0.19378696426324912,0.11227479110732541,0.024487801251170106,4,0.26507412348342657,0.009900990099009901,2.224653796523512
overall,Linear_weber,-82.64445701218938,3.77858293815659e-10,0.09132469393424425,0.025065707353900974,3,,,42.33566585458314
overall,StaticGain_weber,-80.64445701218625,1.39006297970682e-10,0.0913247542687069,0.025065705689581528,4,0.40410649840329443,0.0,44.33566585458627
overall,SeqGain_weber,-80.48018439777758,1.2804514973661765e-10,0.0896552591899119,0.025111758525830634,4,0.40427647456329735,0.009900990099009901,44.49993846899494
overall,Static_basic,-37.43218934990481,5.749231272068294e-20,-0.5889321150108109,0.043830515844560436,3,,0.5141931175872838,87.54793351686772
overall,Static_weber,-26.461840386822473,2.384672643449385e-22,-0.4702889873644833,0.04055775835100623,3,,0.28343446210075757,98.51828247995005
overall,Seq_basic,-24.651564655569658,9.645669767370029e-23,-0.730250731375228,0.0477287741749044,3,,0.510013813070224,100.32855821120286
overall,Seq_weber,-23.513224962553863,5.459401887618483e-23,-0.5649121424477244,0.043167927570293536,3,,0.2283060381403295,101.46689790421865
range:long,Static_weber,-29.827854813927097,0.29859068978473724,-0.007424997757756291,0.03344070715757042,3,,0.8298387737185754,0.0
range:long,Linear_weber,-29.82785481392702,0.2985906897847256,-0.007425011424212036,0.033440707611218035,3,,,7.815970093361102e-14
range:long,Seq_weber,-28.06008931168345,0.12337036811915165,-0.04735194312753688,0.03476605176464181,3,,0.9900990099009901,1.7677655022436483
range:long,StaticGain_weber,-27.82785481392704,0.1098453760970015,-0.007425003498983562,0.0334407073481461,4,2.0880764778315055,0.9185081134071884,2.000000000000057
range:long,SeqGain_weber,-27.023540692688186,0.07347290100640191,-0.031071793013074833,0.03422564455450633,4,0.5168453802263062,0.9900990099009901,2.80431412123891
range:long,Linear_basic,-25.719567373739842,0.03828009257589544,0.0647014555642561,0.031046524355650747,3,,,4.1082874401872544
range:long,Static_basic,-25.71956737373964,0.03828009257589156,0.06470145556425577,0.031046524355650758,3,,0.613363679147689,4.108287440187457
range:long,StaticGain_basic,-23.71956737373995,0.014082459064812241,0.06470145556425777,0.031046524355650692,4,1.4668720329440528,0.736421189440414,6.108287440187148
range:long,Seq_basic,-20.486872727472598,0.0027970985893207402,-0.03848652741357417,0.03447177102773276,3,,0.9900990099009901,9.340982086454499
range:long,SeqGain_basic,-20.408962573201244,0.0026902324020622293,0.0006771763984519952,0.03317176164410745,4,0.1162137290003726,0.9900990099009901,9.418892240725853
range:medium,Linear_basic,-34.45502244835708,0.3650124199322327,0.06138503427613062,0.026069805405388703,3,,,0.0
range:medium,Static_basic,-34.45502244835705,0.36501241993222755,0.0613850342761314,0.026069805405388682,3,,0.7244123283853718,2.842170943040401e-14
range:medium,StaticGain_basic,-32.455022448357056,0.13428056506530417,0.06138503427613218,0.02606980540538866,4,1.390614139960462,0.8018230292007611,2.0000000000000213
range:medium,SeqGain_basic,-32.41426935360985,0.13157207927816422,0.06061969312571469,0.02609106257215963,4,0.2758975876253048,0.009900990099009901,2.040753094747224
range:medium,Seq_basic,-24.463640853060205,0.002470055407480775,-0.14622931759377433,0.03183624420113087,3,,0.9900990099009901,9.991381595296872
range:medium,Linear_weber,-21.629813725574785,0.0005988926087426699,0.01755776539928533,0.027287097279898552,3,,,12.825208722782293
range:medium,Static_weber,-21.6298137255732,0.0005988926087421956,0.017557791394297917,0.027287096557893315,3,,0.7181007914561549,12.825208722783877
range:medium,StaticGain_weber,-19.629813725574657,0.0002203202782259466,0.017557757215324377,0.027287097507206103,4,2.067623551101165,0.8636602748303208,14.82520872278242
range:medium,SeqGain_weber,-19.60504892544386,0.0002176090050746664,0.016686958242792205,0.02731128373967643,4,0.2822361646217858,0.009900990099009901,14.849973522913217
