scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_weber,-306.36671923728323,0.9997503463730452,0.7867560197061407,0.008462332564576638,4,1.2186116090105783,0.8580745772924311,0.0
overall,Seq_basic,-288.9442531386179,0.00016468389092950546,0.7934804054533502,0.008195483350793585,3,,0.7971466753003099,17.422466098665325
overall,SeqGain_basic,-286.9530963472835,6.085228853457543e-05,0.7934925804802222,0.008195000199399432,4,0.9959948469398202,0.796004621062919,19.413622889999715
overall,Seq_weber,-285.102053508788,2.411726584091608e-05,0.7817955876133872,0.008659181385232835,3,,0.788667300801114,21.26466572849523
overall,Static_basic,-260.1687491575982,9.292441226118647e-11,0.7498071576371053,0.00992860400764374,3,,0.5234282882938701,46.197970079685035
overall,StaticGain_weber,-258.90640865951946,4.9432897421012995e-11,0.732943859472183,0.010597803846300555,4,1.1898997258059054,0.5694946912403479,47.46031057776378
overall,StaticGain_basic,-258.43568218021153,3.906601481048229e-11,0.7502519932596419,0.00991095123747275,4,0.9745563217342749,0.5109860609939834,47.931037057071705
overall,Static_weber,-248.13505467380665,2.2648855829126213e-13,0.7309613326017814,0.010676478056341225,3,,0.4877418492165569,58.231664563476585
overall,Linear_basic,-225.46031300630025,2.699533211962536e-18,0.6846694151253945,0.012513517489751219,3,,,80.90640623098298
overall,Linear_weber,-202.25689419995547,2.4701896656478935e-23,0.679831194123133,0.01270551650930448,3,,,104.10982503732777
range:long,SeqGain_weber,-105.17032303478895,0.7487239126041979,0.5290778638520005,0.0064576490129636035,4,1.6698600459742483,0.8661344420978003,0.0
range:long,Seq_weber,-102.38527455471898,0.18601848816769592,0.4556310230682895,0.007464808971023351,3,,0.6857890330879476,2.7850484800699746
range:long,SeqGain_basic,-99.06030500123885,0.035281589740122604,0.49825122052320914,0.0068803678184405845,4,1.4863745105797121,0.8581684283803886,6.110018033550105
range:long,Seq_basic,-98.05737886861249,0.021368080101594432,0.46719363076136255,0.007306253540252537,3,,0.7237742184408025,7.112944166176462
range:long,Static_weber,-94.33414546289296,0.0033210517389823837,0.3641303318974216,0.008719537306493535,3,,0.3524575920783787,10.836177571895988
range:long,Linear_weber,-94.33414546289289,0.003321051738982266,0.3641303218499965,0.008719537444271609,3,,,10.836177571896059
range:long,StaticGain_weber,-92.33414546289305,0.0012217466578383382,0.3641303267192725,0.008719537377500326,4,3.136977155062359,0.7935775904734074,12.836177571895902
range:long,Static_basic,-89.6183773511196,0.00031423865491140397,0.3692320103300337,0.00864957914108578,3,,0.40635521378564526,15.551945683669345
range:long,Linear_basic,-89.61837735111939,0.0003142386549113705,0.36923201033003283,0.008649579141085792,3,,,15.551945683669558
range:long,StaticGain_basic,-87.61837735111972,0.00011560194076327957,0.3692320103300347,0.008649579141085766,4,0.979023831093804,0.3936360167793415,17.55194568366923
range:medium,Seq_weber,-109.58065194910043,0.6930954529792026,0.44524983792275485,0.00597187573115869,3,,0.8135402023012661,0.0
range:medium,SeqGain_weber,-107.76092905118423,0.27902636610741166,0.447760336710063,0.005944850255898097,4,0.9229519977762979,0.7927133980570233,1.8197228979161935
range:medium,Seq_basic,-102.12088348275915,0.01663125065821527,0.37427102754657915,0.0067359613756311585,3,,0.82186715250175,7.4597684663412736
range:medium,SeqGain_basic,-101.21231555722139,0.010559221273846387,0.3877818430989902,0.006590517683999808,4,0.803973815915794,0.7657680815828853,8.36833639187904
range:medium,Static_weber,-93.3248155845265,0.00020458935528042702,0.24102255190761024,0.008170378870711488,3,,0.6395125826823244,16.255836364573923
range:medium,Linear_weber,-93.32481558452608,0.00020458935528038343,0.24102255684870122,0.00817037881752073,3,,,16.25583636457435
range:medium,Static_basic,-91.58784778047317,8.584307525914287e-05,0.2275416897061392,0.008315500115047149,3,,0.6696756771487201,17.99280416862726
range:medium,Linear_basic,-91.5878477804726,8.584307525911847e-05,0.2275416897061321,0.008315500115047225,3,,,17.992804168627828
range:medium,StaticGain_weber,-91.32481558452648,7.52642176901881e-05,0.24102255231313996,0.008170378866345968,4,0.9912602863630489,0.6363342375394052,18.255836364573952
range:medium,StaticGain_basic,-89.58784778047333,3.157990255477401e-05,0.22754168970614064,0.008315500115047133,4,0.5736099933714197,0.4241308085922544,19.992804168627103
