scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-361.45232019560876,0.5050535815129176,0.7985438625136243,0.005054081213223822,3,,,0.0
overall,SeqGain_basic,-360.31321498464115,0.28574846195304704,0.799696767841518,0.005025157412583956,4,0.6825762851667977,0.05301682339297356,1.1391052109676139
overall,StaticGain_basic,-359.45232019560785,0.1857988293285231,0.7985438625136243,0.0050540812132238225,4,0.6722590067081803,0.0,2.0000000000009095
overall,SeqGain_weber,-355.13366045787916,0.021441636375792925,0.7669467752556723,0.005846781039079505,4,0.7550810618140773,0.21816981058529675,6.318659737729604
overall,StaticGain_weber,-349.58268421822464,0.0013362224115375312,0.7691624488805093,0.005791194773098002,4,0.7604051767126041,0.15360136412163639,11.869635977384121
overall,Linear_weber,-348.05100558222955,0.0006212679671418102,0.7672018922196574,0.00584038072846629,3,,,13.401314613379213
overall,Static_weber,-319.6650817756777,4.2594539301137377e-10,0.749742012978817,0.0062784098138906844,3,,0.3563941020064536,41.78723841993104
overall,Seq_weber,-314.0017567040959,2.509449794782197e-11,0.7322795830848934,0.006716502889461964,3,,0.4270618755448099,47.45056349151287
overall,Static_basic,-290.5502178719028,2.028343748752266e-16,0.6768061300007191,0.00810820701207446,3,,0.3163505324253677,70.90210232370595
overall,Seq_basic,-281.4529226842691,2.146292993389504e-18,0.6565982671986975,0.008615176822085875,3,,0.30775700366828257,79.99939751133968
range:long,Linear_basic,-145.54815110093736,0.2624306084145568,0.8509321251104128,0.002826149517135453,3,,,0.0
range:long,Linear_weber,-144.6833682661368,0.17030573803491622,0.8518241979674258,0.0028092368773331875,3,,,0.8647828348005646
range:long,Static_basic,-144.65146661246132,0.167610771311356,0.848234672745809,0.0028772900040000275,3,,0.0,0.8966844884760405
range:long,Seq_basic,-143.89542853473617,0.11484982611180158,0.8459224280249246,0.0029211274123367797,3,,0.009900990099009901,1.6527225662011915
range:long,StaticGain_basic,-143.54815110093796,0.09654282556985756,0.8509321251104105,0.0028261495171354968,4,1.4125863839482407,0.24984275008852874,1.9999999999994031
range:long,SeqGain_basic,-142.9771238867703,0.0725643018687413,0.8492199303559265,0.002858610692168756,4,1.0664546390323353,0.009900990099009901,2.57102721416706
range:long,StaticGain_weber,-142.68336826613674,0.06265197973657324,0.8518241981418142,0.002809236874026991,4,1.6103428393663526,0.10300521028410245,2.8647828348006215
range:long,SeqGain_weber,-142.35023402283878,0.05303903538416289,0.8499988852456279,0.002843842634416336,4,1.4539905128385773,0.009900990099009901,3.197917078098584
range:long,Static_weber,-122.7168817225841,2.89245981740369e-06,0.7625672995070876,0.004501441456432032,3,,0.0,22.831269378353255
range:long,Seq_weber,-121.99995911312823,2.0211082170279606e-06,0.7580616088624074,0.004586863989283302,3,,0.009900990099009901,23.548191987809133
range:medium,Seq_weber,-116.40473480553423,0.6131284089440664,0.6102774918067849,0.006159314819588522,3,,0.26058519062576846,0.0
range:medium,SeqGain_weber,-114.46390245480876,0.23232986991934904,0.6121027687198515,0.006130467486154729,4,0.9707294174672707,0.2408419524192592,1.940832350725472
range:medium,Static_weber,-111.8666657127005,0.06340481746677767,0.5878900539212765,0.0065131339474087365,3,,0.18839029902214377,4.538069092833737
range:medium,Linear_weber,-111.86666571270041,0.06340481746677498,0.5878900515816453,0.00651313398438511,3,,,4.5380690928338225
range:medium,StaticGain_weber,-109.86666571270055,0.02332532881725614,0.5878900527981361,0.00651313396515925,4,1.9391676955120778,0.5814649143479532,6.53806909283368
