scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-404.9891015337214,0.4225638928076881,0.9146151294777776,0.0037808576257448608,3,,,0.0
overall,SeqGain_basic,-403.33485133103125,0.18478917110962945,0.9148117148374219,0.003772152790197588,4,0.9611354709489214,0.019115624865597626,1.6542502026901502
overall,Seq_basic,-403.0432000225271,0.15971482885354418,0.9135002432599804,0.003830224990625964,3,,0.03668747442513453,1.945901511194279
overall,StaticGain_basic,-402.98910153372094,0.1554525687452862,0.9146151294777772,0.0037808576257448733,4,0.955829108693131,0.0,2.0000000000004547
overall,Static_basic,-401.5964479756815,0.07747953848287296,0.912661915583806,0.0038673462928888957,3,,0.0,3.3926535580399104
overall,Linear_weber,-349.0514673916309,3.0143207658475885e-13,0.9119438123625321,0.003899144034381273,3,,,55.937634142090474
overall,Seq_weber,-348.5538774269679,2.350385923661927e-13,0.9092044439599707,0.00402044376642049,3,,0.009900990099009901,56.43522410675348
overall,Static_weber,-348.46435662765185,2.2475014619681354e-13,0.9087709904558655,0.004039637166567127,3,,0.0,56.52474490606954
overall,StaticGain_weber,-347.0514673916305,1.1089066388512644e-13,0.9119438119664156,0.0038991440519213815,4,0.9811191449113491,0.0,57.93763414209087
overall,SeqGain_weber,-346.9812895708801,1.0706710586012271e-13,0.9118427632380992,0.003903618508024557,4,0.9838457907577302,0.009900990099009901,58.00781196284129
range:long,Seq_weber,-145.90487464377856,0.45397660752138574,0.7911712953536967,0.0029785321675184096,3,,0.13926084640417,0.0
range:long,SeqGain_weber,-143.93282224425164,0.16935878820652506,0.7911699103327247,0.002978551922127934,4,0.9860967562675347,0.13168053150473139,1.9720523995269161
range:long,Seq_basic,-142.99741058819023,0.1060927427977555,0.7914844322760358,0.0029740658830696093,3,,0.16986269563314454,2.9074640555883207
range:long,Static_weber,-142.60475353605474,0.08718088669122923,0.7724412915424131,0.0032456789610788993,3,,0.10527235593442975,3.300121107723811
range:long,Linear_weber,-142.6047535360542,0.08718088669120569,0.7724412957926415,0.003245678900457722,3,,,3.300121107724351
range:long,SeqGain_basic,-141.0003834241217,0.03908739598119481,0.7914968295604964,0.0029738890601054575,4,0.9950764597780737,0.16716830958773968,4.9044912196568475
range:long,StaticGain_weber,-140.60475353605432,0.032072055876793404,0.7724412949873445,0.003245678911943705,4,0.9369587161502619,0.045072564589753776,5.300121107724237
range:long,Linear_basic,-138.38659214433767,0.010579354589749,0.771341397438081,0.003261366794684754,3,,,7.518282499440886
range:long,Static_basic,-138.3865921443369,0.010579354589744941,0.7713413974380787,0.0032613667946847853,3,,0.12492831289448053,7.5182824994416535
range:long,StaticGain_basic,-136.38659214433008,0.003891927054416629,0.7713413974380526,0.003261366794685157,4,1.4777811421758786,0.4078474014551256,9.518282499448475
range:medium,Linear_basic,-203.6014730035397,0.39875777355178976,0.9649369230673154,0.0008850145021501982,3,,,0.0
range:medium,SeqGain_basic,-202.28843282103549,0.20681694067931203,0.965415367320035,0.0008729382630072333,4,1.060888280624722,0.024477102171628348,1.31304018250421
range:medium,StaticGain_basic,-201.60147300353793,0.1466947868968717,0.9649369230673134,0.0008850145021502484,4,1.715626671493905,0.3928720041823281,2.000000000001762
range:medium,Static_basic,-201.452957833562,0.13619620960749337,0.9633974122684686,0.0009238727400000008,3,,0.0,2.148515169977685
range:medium,Seq_basic,-201.04961684830357,0.11132190742153503,0.9631009516529736,0.0009313555956698899,3,,0.009900990099009901,2.5518561552361234
range:medium,Linear_weber,-186.30844503885396,7.007705661217369e-05,0.9641884014218522,0.0009039076675355405,3,,,17.293027964685734
range:medium,SeqGain_weber,-185.9443923742664,5.841479010863122e-05,0.9636229016322383,0.000918181244145261,4,1.0757995840387689,0.04502961517978305,17.65708062927328
range:medium,Static_weber,-184.56073770365205,2.9245969746736256e-05,0.9643258660864493,0.0009004379714237243,3,,0.0,19.040735299887643
range:medium,Seq_weber,-184.53445261947533,2.8864118105365172e-05,0.9640751642771624,0.0009067658455392828,3,,0.009900990099009901,19.067020384064364
range:medium,StaticGain_weber,-184.30844503884802,2.5779908425349418e-05,0.9641883981668873,0.0009039077496929376,4,2.42057996187411,0.569552647390714,19.293027964691674
range:short,Linear_weber,-118.51121141266233,0.3517812773390343,0.8019208282971348,0.005518493646808693,3,,,0.0
range:short,SeqGain_weber,-117.4813583185358,0.21020496199036073,0.8129821469975042,0.0052103248653636546,4,1.1611319798454403,0.06121994428048365,1.029853094126537
range:short,StaticGain_weber,-116.51121141266324,0.12941309972211895,0.801920838112147,0.005518493373362061,4,1.8992273708748932,0.41469272400455953,1.9999999999990905
range:short,Static_weber,-116.12317654027893,0.1065902639574937,0.7823163957156073,0.006064673922707353,3,,0.0,2.3880348723834004
range:short,Seq_weber,-116.07730561515456,0.10417338896782105,0.7822104175009718,0.006067626480006229,3,,0.009900990099009901,2.4339057975077765
range:short,SeqGain_basic,-114.98193196580684,0.06024200628755499,0.8203875546814872,0.00500400991107158,4,1.3792540932719328,0.12761859554615995,3.5292794468554973
range:short,Linear_basic,-113.3537759757211,0.02669007818537442,0.8068698009494616,0.005380615070755963,3,,,5.157435436941228
range:short,StaticGain_basic,-111.35377597572105,0.009818731047657367,0.8068698009494619,0.005380615070755953,4,1.3777707878834407,0.09211686958804545,7.1574354369412845
range:short,Static_basic,-105.58788903154021,0.0005495521642295693,0.7744183208638601,0.006284714604000026,3,,0.0,12.92332238112212
range:short,Seq_basic,-105.54033785043826,0.0005366403383550287,0.7742036853127405,0.006290694359039637,3,,0.009900990099009901,12.970873562224071
