scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-360.4209559623806,0.9999992420878541,0.895436732683446,0.005021549272734415,4,1.2369190078323689,0.7782564707545628,0.0
overall,SeqGain_basic,-332.2199441504362,7.520171827284828e-07,0.873808695308962,0.006060214744230436,4,1.1931529104062129,0.9725401461671394,28.201011811944397
overall,Static_basic,-322.51363100906315,5.868520761716972e-09,0.8635659769582406,0.0065521113366463655,3,,0.7257212514090621,37.90732495331747
overall,StaticGain_weber,-310.7017221121566,1.5981046605476184e-11,0.8912296247418823,0.005223591542132113,4,1.370902622229554,0.7436353591676444,49.71923385022404
overall,Seq_basic,-309.8542919534307,1.0461358788947648e-11,0.8515517008453174,0.007129085268559153,3,,0.9433627138042824,50.56666400894994
overall,Static_weber,-250.1941022129933,1.1602257511581816e-24,0.8201916795585202,0.008635119807523116,3,,0.6485490417996005,110.22685374938732
overall,SeqGain_weber,-236.20646157655153,1.0645472165836166e-27,0.8676842493734265,0.006354335307050881,4,1.2920107782622496,0.9438239694772246,124.21449438582908
overall,Seq_weber,-216.17104102372394,4.748195962651233e-32,0.8026233856968086,0.009478820043069368,3,,0.7659937840701705,144.24991493865667
overall,Linear_basic,-200.8284812926816,2.2127590195476378e-35,0.6929300777155687,0.0147467345320978,3,,,159.59247466969902
overall,Linear_weber,-166.44868041004395,7.576265988782128e-43,0.6841236796748721,0.015169653237791963,3,,,193.97227555233667
range:long,SeqGain_weber,-222.38736264222695,0.6420159126126654,0.47869314829047604,0.0005759733819299323,4,0.46448266373451275,0.9364396732838107,0.0
range:long,SeqGain_basic,-221.2151896117286,0.3572824245255994,0.4588983863519459,0.0005978439097022892,4,0.46504959504160115,0.9255521994763876,1.1721730304983566
range:long,Static_weber,-205.77758925013148,0.00015877397854483646,0.2295175346486258,0.000851278646790967,3,,0.8737461200447756,16.609773392095462
range:long,Linear_weber,-205.77758925012432,0.00015877397854426788,0.22951753623430038,0.0008512786450390117,3,,,16.609773392102625
range:long,Linear_basic,-205.45959363185077,0.00013543392231417785,0.2282049724545182,0.0008527288500320224,3,,,16.92776901037618
range:long,Static_basic,-205.4595936318488,0.00013543392231404506,0.22820497245449123,0.0008527288500320522,3,,0.8675257994840189,16.927769010378142
range:long,StaticGain_weber,-203.77758925012733,5.840968249951983e-05,0.22951753381186357,0.0008512786477154759,4,1.1458476250496838,0.8898162161131453,18.609773392099612
range:long,StaticGain_basic,-203.45959363182334,4.9823355655913026e-05,0.2282049724544324,0.0008527288500321173,4,1.6096065921683798,0.9176977336492536,18.92776901040361
range:long,Seq_weber,-197.60725235769127,2.6706268659181992e-06,0.11271619216998263,0.0009803282919678277,3,,0.9900990099009901,24.78011028453568
range:long,Seq_basic,-197.3458273677163,2.343394996515291e-06,0.09222701420937784,0.0010029660552817645,3,,0.9900990099009901,25.041535274510636
range:medium,Seq_weber,-135.9005295620858,0.641696247454777,0.47245564459423484,0.004508673659806035,3,,0.9584673170910741,0.0
range:medium,SeqGain_weber,-134.73190934564826,0.3577394573577904,0.48773694949711965,0.0043780715290143825,4,1.1766221878890601,0.9743347843580613,1.1686202164375459
range:medium,Seq_basic,-121.01265662947107,0.00037537813187629986,0.4598456098748621,0.004616445699836195,3,,0.9469723821175908,14.88787293261474
range:medium,SeqGain_basic,-119.48899045530204,0.00017523024283226492,0.464967058699311,0.0045726750838145785,4,1.1389471056386977,0.9610864223478649,16.411539106783763
range:medium,Static_weber,-112.63666409483452,5.696987932507519e-06,0.21306193970004084,0.006725589740495411,3,,0.7427994606479764,23.263865467251293
range:medium,Linear_weber,-112.63666409481866,5.696987932462344e-06,0.2130618664663494,0.006725590366389352,3,,,23.263865467267152
range:medium,StaticGain_weber,-110.63666409483433,2.095804736971123e-06,0.21306192869913743,0.006725589834514962,4,2.0473124308034243,0.8743716391464912,25.263865467251478
range:medium,Linear_basic,-104.1840222674349,8.321036900781248e-08,0.2437078876177633,0.0064636732272381585,3,,,31.71650729465091
range:medium,Static_basic,-104.18402226743476,8.321036900780658e-08,0.24370788761776685,0.006463673227238128,3,,0.6953977687044538,31.716507294651052
range:medium,StaticGain_basic,-102.1840222674349,3.0611384050263556e-08,0.24370788761776463,0.006463673227238147,4,1.9310138568075708,0.8422578461034355,33.71650729465091
range:short,Static_weber,-129.42827728995093,0.3666366215236696,0.205721680832196,0.0071457474558974145,3,,0.5770705911302686,0.0
range:short,Linear_weber,-129.42827728995033,0.3666366215235602,0.20572166999376473,0.007145747553405669,3,,,5.968558980384842e-13
range:short,StaticGain_weber,-127.42827728995096,0.1348780754391151,0.20572168335084884,0.007145747433238283,4,1.497937390397506,0.7176588249225823,1.9999999999999716
range:short,SeqGain_weber,-127.38241482324622,0.13182034754190708,0.20484162205139256,0.007153664929712582,4,0.4253989254302069,0.009900990099009901,2.0458624667047047
range:short,Seq_weber,-110.46469272098707,2.794768081531384e-05,0.0038319918597666813,0.008962053776405042,3,,0.49079647957531436,18.963584568963853
range:short,Static_basic,-99.88914150665461,1.412192845374877e-07,0.2170945839422339,0.00704343081007751,3,,0.6312973216269179,29.539135783296317
range:short,Linear_basic,-99.88914150665435,1.4121928453746966e-07,0.21709458394222614,0.00704343081007758,3,,,29.539135783296572
range:short,StaticGain_basic,-97.88914150665444,5.1951671478277457e-08,0.21709458394223113,0.007043430810077535,4,1.1207008718981613,0.6710070555366711,31.539135783296487
range:short,SeqGain_basic,-97.88576110963865,5.186393700588585e-08,0.2170416515302852,0.007043907018024887,4,0.3713946527149823,0.009900990099009901,31.542516180312276
range:short,Seq_basic,-83.38155900076393,3.675513404531626e-11,-0.08916163995910997,0.00979867362608271,3,,0.5963858592473956,46.046718289187
