scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-259.945838517495,0.5873798655375967,0.7321162224156014,0.00994336958610606,3,,,0.0
overall,StaticGain_basic,-257.94583851749553,0.21608497668938326,0.7321162224156017,0.009943369586106048,4,0.7829607266422229,0.0,1.9999999999994884
overall,SeqGain_basic,-257.7561576739455,0.19653318926176994,0.7317772586716382,0.009955951317679759,4,0.785007642238698,0.009900990099009901,2.1896808435495245
overall,Seq_basic,-233.66439916342665,1.1533922038105409e-06,0.6808175712085871,0.01184748432130828,3,,0.09933126486984285,26.281439354068368
overall,Static_basic,-232.97013412412795,8.151157292159971e-07,0.6793368324249505,0.011902446712532372,3,,0.08698272804983542,26.975704393367067
overall,Linear_weber,-206.96049879624996,1.8335751910149768e-12,0.724951163418665,0.010209323838189677,3,,,52.985339721245055
overall,SeqGain_weber,-205.05550387986634,7.073499611852377e-13,0.7224806933111096,0.010301023296635273,4,0.8857478803002476,0.01893237146220753,54.89033463762868
overall,StaticGain_weber,-204.96049879624974,6.745346166163336e-13,0.7249511636992175,0.010209323827776066,4,0.8809828413644071,0.0,54.98533972124528
overall,Seq_weber,-200.47630466784727,7.165951415724582e-14,0.6750016156861924,0.012063362250823087,3,,0.07503446354920842,59.469533849647746
overall,Static_weber,-198.7397361919966,3.007341906604639e-14,0.6775091751760172,0.011970286100444335,3,,0.0,61.20610232549842
range:long,SeqGain_weber,-121.6999039789481,0.6506044632819402,0.41922519640753675,0.005027186699896361,4,1.5632156257580567,0.9900990099009901,0.0
range:long,Seq_weber,-118.7158690773741,0.1463329380987593,0.3628065216351607,0.005515546748726049,3,,0.9900990099009901,2.984034901574006
range:long,SeqGain_basic,-118.14024080842313,0.1097352107631109,0.457289540869236,0.004697701734235892,4,1.5421566041101595,0.9900990099009901,3.5596631705249706
range:long,Seq_basic,-115.28771879772083,0.026358987110702663,0.4019787159424457,0.0051764722348021895,3,,0.9737912488456513,6.412185181227272
range:long,Static_weber,-114.06487102824298,0.014301799934897663,0.3556250176620269,0.005577709847117494,3,,0.5573134298788444,7.635032950705124
range:long,Linear_weber,-114.06487102824275,0.014301799934896038,0.3556250107378772,0.005577709907052934,3,,,7.635032950705352
range:long,Static_basic,-114.01938640317678,0.013980214588767676,0.38661485041389,0.005309461854817368,3,,0.517372372733388,7.680517575771319
range:long,Linear_basic,-114.01938640317589,0.013980214588761418,0.38661485041387667,0.005309461854817483,3,,,7.680517575772214
range:long,StaticGain_weber,-112.06487102824136,0.005261338167791661,0.355624998259921,0.005577710015062123,4,1.8538327194061692,0.7612047482924299,9.635032950706744
range:long,StaticGain_basic,-112.01938640317671,0.005143033530372516,0.3866148504138922,0.0053094618548173485,4,1.0535114352388844,0.5418866663703861,9.68051757577139
range:medium,Linear_basic,-124.42174040270285,0.3035975547092295,0.8493106999807597,0.004312179257498586,3,,,0.0
range:medium,Static_basic,-123.99651346509557,0.24544908247621225,0.8480236920418945,0.004349008740000011,3,,0.0,0.4252269376072775
range:medium,Seq_basic,-123.83948410924279,0.2269148516936338,0.8475456469287859,0.00436268865105297,3,,0.009900990099009901,0.5822562934600626
range:medium,SeqGain_basic,-122.43318424593915,0.11232819657163541,0.8493451853286964,0.004311192412367304,4,1.048250737729335,0.009900990099009901,1.988556156763707
range:medium,StaticGain_basic,-122.42174040270382,0.11168729876750169,0.849310699980761,0.004312179257498549,4,1.1369140783938936,0.0847994982107013,1.9999999999990337
range:medium,Linear_weber,-103.9348031052161,1.0804790724860431e-05,0.8467170104737101,0.0043864012101605425,3,,,20.486937297486747
range:medium,SeqGain_weber,-102.93766338638422,6.56281588748069e-06,0.8380936933853788,0.004633169156354381,4,1.260203895082299,0.08935990009403685,21.484077016318636
range:medium,StaticGain_weber,-101.93480310521662,3.974860373837056e-06,0.8467170091904543,0.004386401246882649,4,1.9094367170555742,0.38024026315648063,22.486937297486236
range:medium,Static_weber,-98.91663270252018,8.788899572836304e-07,0.8319426581318319,0.004809189395542573,3,,0.0,25.505107700182677
range:medium,Seq_weber,-98.71455007633344,7.944248438346117e-07,0.8296915421853541,0.004873608139868719,3,,0.009900990099009901,25.707190326369414
range:short,SeqGain_weber,-74.59212233003808,0.5327054666316505,0.5374691018327169,0.015361372676336612,4,1.2973213921754934,0.2377852230131618,0.0
range:short,Seq_weber,-72.40813496259415,0.17874764242724783,0.5522235468506054,0.014871354540358307,3,,0.10351346917384546,2.183987367443933
range:short,Linear_weber,-71.77160395408438,0.13002275687419823,0.5464230314707907,0.015063998704925944,3,,,2.8205183759536965
range:short,Static_weber,-71.09210049563815,0.09256931903090844,0.551086536251526,0.014909116436090266,3,,0.0,3.5000218343999308
range:short,StaticGain_weber,-69.77160395408457,0.04783269913845477,0.5464230305880018,0.015063998734244742,4,1.897848071704782,0.4264240910118978,4.820518375953512
range:short,SeqGain_basic,-66.57782478192479,0.009687340227848425,0.6033005314555968,0.013175008201530558,4,1.3992288110240119,0.2491478788876452,8.01429754811329
range:short,Seq_basic,-64.12684749401187,0.0028443405781197247,0.5663670089648977,0.014401628099741763,3,,0.10716174261426555,10.465274836026211
range:short,Linear_basic,-64.1259153854673,0.0028430152698982196,0.5663589250207199,0.01440189658013886,3,,,10.466206944570786
range:short,Static_basic,-63.09924414158833,0.0017015329529415674,0.5573627434543869,0.014700673804000024,3,,0.0,11.492878188449751
range:short,StaticGain_basic,-62.125915385467664,0.0010458868687322276,0.566358925020722,0.014401896580138789,4,1.5349523957087625,0.25456478521036235,12.466206944570416
