scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-14.324784975806153,0.603275604735721,0.9701473756335305,0.0019786485278009175,3,,,0.0
overall,StaticGain_basic,-12.347501121039976,0.22446778963433425,0.9702601847082906,0.001971171479654105,4,1.2269674153763894,0.022240467642035116,1.9772838547661777
overall,Static_basic,-10.065785859307436,0.07172752678274874,0.9392901510833577,0.004023882513888896,3,,0.0,4.2589991164987175
overall,Seq_basic,-9.985708309978833,0.06891237812324777,0.9384744707303799,0.004077946260840009,3,,0.009900990099009901,4.339076665827321
overall,SeqGain_basic,-6.850928799750074,0.014374359946444006,0.9256649841622279,0.004926966146958556,4,2.147723564829722,0.9900990099009901,7.4738561760560795
overall,Linear_weber,-6.4227639524520725,0.011604159791884222,0.8533307377889713,0.009721320182270435,3,,,7.902021023354081
overall,StaticGain_weber,-4.422763952452122,0.004268931819502594,0.8533307094411431,0.009721322061180237,4,1.5896183486202093,0.0,9.902021023354031
overall,SeqGain_weber,-0.3843230056466087,0.0005667387516940939,0.8051963416662775,0.012911694698613757,4,2.2888753473419414,0.9900990099009901,13.940461970159545
overall,Static_weber,0.28760326521184076,0.00040501953751814827,0.8769650849190547,0.008154822524295655,3,,0.0,14.612388241017994
overall,Seq_weber,0.32512991337062136,0.00039749087690521345,0.8761098814869099,0.008211505882891225,3,,0.009900990099009901,14.649914889176774
range:long,Seq_weber,-46.48825923824264,0.16352676634865934,1.0,2.874211311467121e-20,3,,0.15700206377094056,0.0
range:long,Static_weber,-46.488253756261805,0.16352631812397403,0.9999999999999999,1.7080444340664427e-18,3,,0.13569730988855308,5.4819808354977795e-06
range:long,Linear_weber,-46.48790750681632,0.16349801012596554,0.9999999999999876,1.3667045285336297e-16,3,,,0.0003517314263206117
range:long,Seq_basic,-45.58628170090799,0.10416622253400347,0.9999999999999997,3.1990652099462922e-18,3,,0.09747617208752,0.9019775373346519
range:long,Static_basic,-45.58626019040428,0.1041651022060702,0.9999999999999988,1.3954317062216738e-17,3,,0.08881849817468863,0.901999047838359
range:long,Linear_basic,-45.586179135924446,0.10416088076752425,0.999999999999995,5.4481556979879744e-17,3,,,0.9020801023181946
range:long,StaticGain_weber,-44.48825413641621,0.06015798196293086,0.9999999999999998,2.0191216325083958e-18,4,2.3059656390057355,0.6251883879804736,2.0000051018264315
range:long,SeqGain_weber,-44.48824899012387,0.06015782716784919,0.9999999999999997,3.614907604899311e-18,4,1.6516230057482333,0.9109227475722228,2.0000102481187696
range:long,SeqGain_basic,-43.586284094518945,0.038320657597094784,0.9999999999999998,2.0022597281117443e-18,4,1.76496826779702,0.9369975939994839,2.9019751437236962
range:long,StaticGain_basic,-43.586261942836614,0.038320233165928363,0.9999999999999988,1.3078100892933289e-17,4,1.6400351396677908,0.4444134286914554,2.9019972954060265
range:medium,Static_weber,-47.291035145314105,0.2877399470507655,0.9999999999999999,1.5610781736762656e-18,3,,0.0194474590328594,0.0
range:medium,Seq_weber,-47.290893533495264,0.2877195740834098,0.9999999999999991,2.104055394494498e-17,3,,0.019833140776964304,0.0001416118188402038
range:medium,Linear_basic,-45.58619813391637,0.12268727092494591,0.999999999999998,4.498256101693349e-17,3,,,1.7048370113977356
range:medium,StaticGain_weber,-45.291037569245375,0.10585373921475258,1.0,1.2027790409751338e-18,4,2.3492731193819196,0.5826145011038893,1.9999975760687292
range:medium,SeqGain_weber,-45.2881710428092,0.10570213161658945,0.9999999999999665,7.545011132618594e-16,4,1.8677875627293832,0.9048242460777316,2.002864102504901
range:medium,SeqGain_basic,-43.586285194279085,0.04513608940611305,0.9999999999999999,1.4523796617237056e-18,4,2.0083259947376235,0.928584225767667,3.7047499510350193
range:medium,StaticGain_basic,-43.586268835865155,0.04513572023020599,0.9999999999999996,9.631586622977768e-18,4,1.505583851769768,0.3083472240102494,3.7047663094489494
range:medium,Linear_weber,-28.630755991740017,2.552536880664053e-05,0.9999999995385688,1.0382201913131979e-11,3,,,18.660279153574088
range:medium,Static_basic,-8.818342171880612,1.272802524979734e-09,0.9984239099999999,3.546202500000331e-05,3,,0.0,38.472692973433496
range:medium,Seq_basic,-7.967112927558308,8.316085511172349e-10,0.9975877456660351,5.4275722514209944e-05,3,,0.009900990099009901,39.32392221775579
