range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-252.2012023043259,0.08029788291107058,0.8127578744639231,0.08691343705089563,-0.023355999999999995
long,EmpiricalLinear,2.0,-249.4531364534156,0.079298872816215,0.8173879631308562,0.0862171564771678,-0.01892413482601279
long,Combo_Oracle,0.0,-242.53158314369716,0.08845017927731616,0.7728081189164461,0.06532454644289819,-0.02513075412541336
long,Combo_NonOracle,0.0,-229.12022338911368,0.10114478903071172,0.7029138551748209,0.10480900671357306,-0.06341534775442048
long,LLM(Combined),,,0.0,1.0,0.09687642922816675,-0.0072559999999999856
medium,Combo_NonOracle,0.0,-260.8887836036249,0.07361637172055131,0.8568963337623847,0.12031660019496243,-0.10173818956747802
medium,Equal,0.0,-256.9376398353097,0.07658328799418318,0.8451290512022105,0.11580707940363578,-0.09387000000000001
medium,EmpiricalLinear,2.0,-251.99895478168878,0.07730554844435719,0.8421940864308529,0.11556523847352486,-0.09299952263875572
medium,Combo_Oracle,0.0,-212.01602800531774,0.12001239137319535,0.6196756586936599,0.07250722731472097,-0.03637051577853541
medium,LLM(Combined),,,0.0,1.0,0.1389258710248023,-0.11767
short,Equal,0.0,-262.8638810425706,0.07217664148830016,0.6753894119691599,0.08601501489832565,-0.04458957142857142
short,EmpiricalLinear,2.0,-258.8174244036741,0.07221018011986768,0.6750876654721271,0.08835109601522148,-0.045470132269807756
short,Combo_NonOracle,0.0,-254.09701985338532,0.07878992082476803,0.6131784416866761,0.06898461913808177,-0.03663023792604162
short,Combo_Oracle,0.0,-191.1901312780068,0.1477991069455967,-0.36117185892614123,0.08382720579788276,0.06150126990394874
short,LLM(Combined),,,0.0,1.0,0.10682474685202863,-0.072256
