range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,2.0,-228.47774436698614,0.09780520879254544,-1.1657110019002679,0.17667520836407033,-0.11412698245632173
long,Combo_Oracle,0.0,-223.20030299902433,0.10731326302579222,-1.607253953226396,0.14569080173873294,-0.07584877060992454
long,Equal,0.0,-212.75912761393724,0.11912388509446792,-2.2127300224588846,0.19073231121128897,-0.143556
long,Combo_NonOracle,0.0,-204.51207469653966,0.12936456865131646,-2.7888483532432184,0.19779027072200372,-0.15431769483773772
long,LLM(Combined),,,0.0,1.0,0.16457114734971012,-0.07285599999999999
medium,EmpiricalLinear,2.0,-247.95225059874886,0.0804980348976697,-0.7607749723888224,0.18559278817095054,-0.11253255597417663
medium,Equal,0.0,-245.58731492452415,0.0857882567721247,-0.9998111495152386,0.18480337291294227,-0.11752000000000003
medium,Combo_NonOracle,0.0,-240.52367837697543,0.09024412473015245,-1.2129478197446066,0.18576342746738345,-0.11934382407250083
medium,Combo_Oracle,0.0,-237.48432670216073,0.09302906878573716,-1.3516389611162056,0.1491330793009981,-0.04181066224330625
medium,LLM(Combined),,,0.0,1.0,0.16387075895351189,-0.07726999999999999
short,Combo_Oracle,0.0,-220.1637025086296,0.11062191919493666,-1.063958341435502,0.16992755490101466,0.11765943285323135
short,Equal,0.0,-188.2381913391215,0.15222708185470812,-2.9084305026142685,0.13441806176998686,0.058097
short,EmpiricalLinear,2.0,-184.9580876470405,0.15113513985363772,-2.8525603809375317,0.15962756244359513,0.08080195170364585
short,Combo_NonOracle,0.0,-184.65978386277396,0.1577730235434985,-3.1984022530034277,0.13021370423230555,0.049794182511187904
short,LLM(Combined),,,0.0,1.0,0.2207305473648811,0.18094400000000005
