range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,2.0,-607.7712338289184,0.046941357486301814,0.878805138514889,0.04685868605663547,-0.025713485672637395
long,Combo_Oracle,0.0,-606.8258092075104,0.048116551922400816,0.8726608598736898,0.04761619702667335,-0.028594716916793342
long,Combo_NonOracle,0.0,-599.7039182395279,0.04986082815594769,0.8632611596584779,0.052991156166895904,-0.032206160761886295
long,Equal,0.0,-513.4032497070533,0.07676424949154391,0.6758911172358109,0.05824503193406286,0.02336850000000001
long,LLM(Combined),,,0.0,1.0,0.04834572106195127,-0.02998149999999999
medium,Combo_NonOracle,0.0,-597.811855599754,0.05033476546988052,0.9120548925271705,0.04790427060033815,-0.010532782594169851
medium,Combo_Oracle,0.0,-596.1622971901638,0.05075163290322066,0.9105921554269703,0.04374573446071606,-0.0016450061705458258
medium,EmpiricalLinear,2.0,-589.872884244028,0.051335927982011094,0.9085216296516083,0.04834977067190497,-0.0118842740103686
medium,Equal,0.0,-456.01131717407515,0.10227841903353804,0.6368854948583331,0.09857930568836444,-0.022101000000000006
medium,LLM(Combined),,,0.0,1.0,0.043061833565235,-0.0043510000000000024
short,Combo_Oracle,0.0,-517.0218521691652,0.07538784220508647,0.7510806432927901,0.052685701755853416,0.030239723087340437
short,Combo_NonOracle,0.0,-510.5100381985406,0.07788279651875359,0.7343320780666795,0.0484324915406963,0.006777683420176258
short,EmpiricalLinear,2.0,-509.59925655075665,0.0766890547529976,0.742413668583205,0.050108151003121916,0.013833020241883405
short,Equal,0.0,-418.352009743007,0.12346963189383857,0.3323077259985988,0.12048857931355986,0.0671685
short,LLM(Combined),,,0.0,1.0,0.060318875528312034,0.022918500000000005
