range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-240.00807098603005,0.07782618385618699,0.6222956035207967,0.19648702129733117,-0.17953425531914893
long,EmpiricalLinear,2.0,-234.76892711485286,0.07885891025264856,0.6122050839476924,0.19512471962733033,-0.17716509627206506
long,Combo_NonOracle,0.0,-233.85806793235932,0.08308826632183551,0.5694932519714571,0.1999246931253228,-0.18129241361092222
long,Combo_Oracle,0.0,-204.42940456952772,0.11363304797673773,0.19478866384193017,0.1318562305444464,-0.09721144499965116
long,LLM(Combined),,,0.0,1.0,0.19115930909372814,-0.17304489361702127
medium,EmpiricalLinear,2.0,-229.95719770932826,0.08300068994062368,0.5999922722361613,0.08700407382518804,-0.04754482272525228
medium,Equal,0.0,-228.59421392311444,0.08787382153200288,0.5516429487651273,0.10217272788471618,-0.05098680851063831
medium,Combo_NonOracle,0.0,-218.12604461511648,0.0982254594146011,0.4397870883032542,0.11780178135373201,-0.05354111395340332
medium,Combo_Oracle,0.0,-181.51348610741678,0.14500391555748945,-0.2208559835127064,0.07487069947285101,0.028643618781278326
medium,LLM(Combined),,,0.0,1.0,0.12291380107057559,-0.10066765957446808
short,EmpiricalLinear,2.0,-244.72382350329832,0.06696937719935288,0.6562649655214374,0.054840542595793546,0.02517561093103952
short,Equal,0.0,-234.21926005882915,0.07840547479775165,0.5288447259187354,0.06230908151409742,0.04397000000000001
short,Combo_NonOracle,0.0,-221.57691992779039,0.0899550856199254,0.37981291048704957,0.0724047814208718,0.05791735867187931
short,Combo_Oracle,0.0,-213.0548600432528,0.09868585102387352,0.2535837942191985,0.08281076778740831,0.07005843113616267
short,LLM(Combined),,,0.0,1.0,0.07820096677374153,-0.008910434782608683
