range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-130.45109709579444,0.27130517871946347,0.09553212666347166,0.24420119684391392,-0.19875600000000002
long,Combo_Oracle,0.0,-126.63995011760498,0.28184457818042125,0.02389542706897685,0.18655856790926842,-0.13830048247142243
long,Combo_NonOracle,0.0,-125.51173562377384,0.2850423947567066,0.0016199504965758171,0.28102521899766664,-0.23849300865398249
long,EmpiricalLinear,2.0,-122.4698110575126,0.2823245140600884,0.02056829924349579,0.27718408972887365,-0.23644771780969417
long,LLM(Combined),,,0.0,1.0,0.30051401721051213,-0.19505599999999998
medium,Combo_NonOracle,0.0,-130.40377007394486,0.2714336097695751,-0.6733091737074781,0.19745425884044482,-0.11921571146425027
medium,EmpiricalLinear,2.0,-125.78509369109165,0.2731181108405155,-0.6941425363362115,0.19685503899764856,-0.11801923889529575
medium,Combo_Oracle,0.0,-123.58885845635625,0.2905764458707654,-0.9176518432533152,0.14220338448451295,-0.009138531477645373
medium,Equal,0.0,-113.55311007060995,0.3212514591406551,-1.3439004647714836,0.21471419990303392,-0.09597
medium,LLM(Combined),,,0.0,1.0,0.24505606223882728,-0.17247
short,Combo_NonOracle,0.0,-237.3608171939029,0.0931440395164213,0.4954749885184546,0.11261390066744136,-0.0033475486672687295
short,EmpiricalLinear,2.0,-230.76486014679807,0.09559367697675224,0.46858856257643344,0.11047453916114637,0.0005895233332155336
short,Equal,0.0,-158.7644827090673,0.20440645782362163,-1.4297511049081182,0.1659304448858015,0.07314400000000001
short,Combo_Oracle,0.0,-153.70836438590229,0.21500722562311167,-1.6883058310157968,0.17531697205437896,0.14743901394906758
short,LLM(Combined),,,0.0,1.0,0.10466706521155543,-0.05605599999999998
