correct,response,input_value,range_category,trial,stimulus_id
2.4622,2.85,2.4622,short,0,0
4.8023,5.0,4.8023,short,1,1
4.0078,4.01,4.0078,short,2,2
3.4004,3.72,3.4004,short,3,3
1.5,2.76,1.5,short,4,4
1.6771,3.36,1.6771,short,5,5
1.25,2.7,1.25,short,6,6
4.3732,4.37,4.3732,short,7,7
3.4004,3.75,3.4004,short,8,8
3.8243,3.58,3.8243,short,9,9
2.4622,,2.4622,short,10,0
4.8023,3.2,4.8023,short,11,1
4.0078,5.0,4.0078,short,12,2
3.4004,6.4,3.4004,short,13,3
1.5,1.8,1.5,short,14,4
1.6771,2.02,1.6771,short,15,5
1.25,1.94,1.25,short,16,6
4.3732,4.8,4.3732,short,17,7
3.4004,4.7,3.4004,short,18,8
3.8243,4.92,3.8243,short,19,9
2.4622,3.02,2.4622,short,20,0
4.8023,5.0,4.8023,short,21,1
4.0078,4.01,4.0078,short,22,2
3.4004,3.89,3.4004,short,23,3
1.5,2.26,1.5,short,24,4
1.6771,2.15,1.6771,short,25,5
1.25,1.46,1.25,short,26,6
4.3732,4.37,4.3732,short,27,7
3.4004,3.75,3.4004,short,28,8
3.8243,3.58,3.8243,short,29,9
2.4622,2.846,2.4622,short,30,0
4.8023,5.869,4.8023,short,31,1
4.0078,4.105,4.0078,short,32,2
3.4004,3.748,3.4004,short,33,3
1.5,2.702,1.5,short,34,4
1.6771,2.702,1.6771,short,35,5
1.25,2.025,1.25,short,36,6
4.3732,4.244,4.3732,short,37,7
3.4004,3.86,3.4004,short,38,8
3.8243,3.421,3.8243,short,39,9
2.4622,,2.4622,short,40,0
4.8023,4.242640687119285,4.8023,short,41,1
4.0078,4.47213595499958,4.0078,short,42,2
3.4004,4.582575694955843,3.4004,short,43,3
1.5,1.8027756377319946,1.5,short,44,4
1.6771,2.0615528128088303,1.6771,short,45,5
1.25,1.6431676725154984,1.25,short,46,6
4.3732,4.416309576541558,4.3732,short,47,7
3.4004,4.974937185533105,3.4004,short,48,8
3.8243,3.7071067811865475,3.8243,short,49,9
4.423,4.423,4.423,medium,0,0
6.8648,7.004,6.8648,medium,1,1
5.8363,5.701,5.8363,medium,2,2
5.3502,5.35,5.3502,medium,3,3
3.5532,3.75,3.5532,medium,4,4
3.5089,3.783,3.5089,medium,5,5
3.1623,3.7165,3.1623,medium,6,6
6.5192,6.7915,6.5192,medium,7,7
5.3502,5.551,5.3502,medium,8,8
5.8149,6.1745,5.8149,medium,9,9
4.423,4.24,4.423,medium,10,0
6.8648,7.21,6.8648,medium,11,1
5.8363,5.59,5.8363,medium,12,2
5.3502,5.32,5.3502,medium,13,3
3.5532,3.75,3.5532,medium,14,4
3.5089,3.78,3.5089,medium,15,5
3.1623,3.48,3.1623,medium,16,6
6.5192,6.52,6.5192,medium,17,7
5.3502,5.35,5.3502,medium,18,8
5.8149,6.31,5.8149,medium,19,9
4.423,4.24,4.423,medium,20,0
6.8648,7.21,6.8648,medium,21,1
5.8363,5.1,5.8363,medium,22,2
5.3502,5.0,5.3502,medium,23,3
3.5532,3.61,3.5532,medium,24,4
3.5089,3.78,3.5089,medium,25,5
3.1623,3.48,3.1623,medium,26,6
6.5192,6.27,6.5192,medium,27,7
5.3502,5.55,5.3502,medium,28,8
5.8149,6.17,5.8149,medium,29,9
4.423,4.596,4.423,medium,30,0
6.8648,7.211,6.8648,medium,31,1
5.8363,5.64,5.8363,medium,32,2
5.3502,5.35,5.3502,medium,33,3
3.5532,3.75,3.5532,medium,34,4
3.5089,3.783,3.5089,medium,35,5
3.1623,3.482,3.1623,medium,36,6
6.5192,6.519,6.5192,medium,37,7
5.3502,5.35,5.3502,medium,38,8
5.8149,6.309,5.8149,medium,39,9
4.423,4.67,4.423,medium,40,0
6.8648,7.44,6.8648,medium,41,1
5.8363,5.68,5.8363,medium,42,2
5.3502,5.12,5.3502,medium,43,3
3.5532,3.34,3.5532,medium,44,4
3.5089,3.54,3.5089,medium,45,5
3.1623,3.45,3.1623,medium,46,6
6.5192,6.61,6.5192,medium,47,7
5.3502,5.69,5.3502,medium,48,8
5.8149,5.99,5.8149,medium,49,9
6.408,,6.408,long,0,0
8.6783,10.307764064044235,8.6783,long,1,1
7.9451,7.0710678118654755,7.9451,long,2,2
7.2887,3.605551275463989,7.2887,long,3,3
5.5509,5.408315916915493,5.5509,long,4,4
5.7009,4.272001871597359,5.7009,long,5,5
5.2202,5.852358001107086,5.2202,long,6,6
8.5147,7.0710678118654755,8.5147,long,7,7
7.433,7.0710678118654755,7.433,long,8,8
7.8302,3.605551275463989,7.8302,long,9,9
6.408,6.8,6.408,long,10,0
