scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,124.58232981949743,0.4581431064390027,0.966553110044195,0.1273696826072334,4,0.9635849933464562,0.05436933000526574,0.0
overall,Linear_basic,125.60757007107003,0.2743930229595988,0.9658716958172695,0.1299645879608323,3,,,1.0252402515725976
overall,Static_basic,126.6643630001555,0.16176829028003223,0.9656304031571332,0.13088345873110788,3,,0.08880446847321066,2.0820331806580725
overall,SeqGain_basic,127.53996379016371,0.10441408806016393,0.9658870742695391,0.12990602500962345,4,0.9474104748260389,0.009900990099009901,2.9576339706662793
overall,Seq_basic,136.34064255317304,0.001281492261202365,0.9633401961736933,0.13960483572523397,3,,0.04193688016720932,11.75831273367561
overall,Linear_weber,209.20765271145373,1.9268405421007457e-19,0.9643232407007581,0.1358612867864094,3,,,84.6253228919563
overall,Static_weber,209.77171802545428,1.4533176534280854e-19,0.9627881600514961,0.141707054070942,3,,0.026671262809039163,85.18938820595685
overall,StaticGain_weber,211.14268722279527,7.32248297017527e-20,0.9643498472788967,0.13575996581404853,4,0.9821405832139212,0.008972060227080364,86.56035740329784
overall,Seq_weber,211.60289678071697,5.817349205823601e-20,0.9612085996845361,0.14772220534104535,3,,0.009900990099009901,87.02056696121954
overall,SeqGain_weber,212.38713076585879,3.9303469424283514e-20,0.9639513983412106,0.13727730613463807,4,0.9809966855056638,0.009900990099009901,87.80480094636135
range:long,Static_basic,19.120863577226014,0.28872246763975284,0.9334582950013752,0.07611881571060708,3,,0.1339766736770954,0.0
range:long,Linear_basic,19.12086357722767,0.28872246763951387,0.9334582950013747,0.07611881571060768,3,,,1.6555645743210334e-12
range:long,SeqGain_basic,21.091709308199484,0.10777471127165712,0.9334970831872451,0.07607444487923089,4,0.8725666075538178,0.009900990099009901,1.970845730973469
range:long,StaticGain_basic,21.120863577227155,0.10621506004889156,0.9334582950013742,0.07611881571060819,4,1.4723585490384294,0.41181219297773713,2.0000000000011404
range:long,Static_weber,22.001054947820535,0.06839982196862716,0.9335896253548833,0.07596858344685453,3,,0.128085448908392,2.8801913705945204
range:long,Linear_weber,22.001054947883148,0.06839982196648581,0.9335896273447335,0.0759685811706124,3,,,2.8801913706571334
range:long,SeqGain_weber,23.509775839843485,0.0321692097396581,0.932064609227586,0.07771308971629633,4,0.8926887579478193,0.031901739513824925,4.38891226261747
range:long,StaticGain_weber,24.001054947818602,0.025162888282069022,0.9335896253303645,0.07596858347490235,4,1.7090676659374824,0.48983027271113994,4.880191370592588
range:long,Seq_basic,26.447872306625715,0.007403564270492185,0.9229565869735045,0.08813199718884862,3,,0.09912751767024887,7.327008729399701
range:long,Seq_weber,26.551425629092932,0.007029987172852235,0.9188580732188982,0.09282039543744647,3,,0.10964472517677135,7.430562051866918
range:medium,Static_basic,39.783223857164984,0.29722298301780437,0.8988249652143179,0.11507023599508655,3,,0.18541830088259798,0.0
range:medium,Linear_basic,39.78322385716783,0.2972229830173809,0.8988249652143118,0.11507023599509339,3,,,2.8492763703980017e-12
range:medium,SeqGain_basic,40.17644465862318,0.24417184030170266,0.9020245976629956,0.11143117165726048,4,0.8624259069120477,0.07565269747520474,0.3932208014581988
range:medium,StaticGain_basic,41.78322385716527,0.10934222489588341,0.898824965214317,0.11507023599508744,4,2.1051353273071705,0.6130502004470725,2.000000000000284
range:medium,Seq_basic,43.321541482192565,0.05066948365886682,0.8914057578650674,0.12350838422387818,3,,0.19197712435615832,3.538317625027581
range:medium,Static_weber,53.049679147648746,0.00039111837965051435,0.8963987698027002,0.11782964081443187,3,,0.20786704370912112,13.266455290483762
range:medium,Linear_weber,53.049679147651645,0.0003911183796499474,0.8963987677060438,0.11782964319903932,3,,,13.266455290486661
range:medium,SeqGain_weber,53.23791469503344,0.0003559863906907695,0.892628107690947,0.1221181590242478,4,0.8495376088508565,0.09860550460985458,13.454690837868455
range:medium,StaticGain_weber,55.04967914764859,0.00014388441093772248,0.8963987702847875,0.11782964026613545,4,1.3928780509406993,0.4312976943904042,15.266455290483606
range:medium,Seq_weber,56.024463800347164,8.837754743292099e-05,0.8662049009467917,0.1521702824778016,3,,0.24184999111306224,16.24123994318218
range:short,Linear_basic,50.055947933642145,0.44423114163595934,0.919761650311071,0.14131580974813615,3,,,0.0
range:short,Static_basic,51.786545789688134,0.18698830751086115,0.9169358223778198,0.14629265889999996,3,,0.0,1.7305978560459891
range:short,StaticGain_basic,52.05594793364231,0.1634235041359752,0.9197616503110708,0.1413158097481365,4,1.3772555995315656,0.2313108727893072,2.0000000000001634
range:short,SeqGain_basic,53.24133784547257,0.09034629963697234,0.917836647074691,0.14470612612641964,4,1.0652886455909663,0.009900990099009901,3.185389911830427
range:short,Seq_basic,53.29648231547476,0.08788927866775383,0.9143891297581467,0.15077789483922271,3,,0.009900990099009901,3.2405343818326173
range:short,Linear_weber,57.47146050793137,0.010898102909616594,0.9194983835928846,0.14177947518498132,3,,,7.415512574289224
range:short,Static_weber,58.606612827787785,0.0061781110485315885,0.9167786700657953,0.14656943560731803,3,,0.0,8.55066489414564
range:short,StaticGain_weber,59.47146050793146,0.004009188008218437,0.9194983828953639,0.14177947641345492,4,2.208234956180551,0.5258036099247209,9.415512574289316
range:short,Seq_weber,59.7708936644324,0.00345171825106538,0.9123017141575127,0.15445425193066453,3,,0.009900990099009901,9.714945730790255
range:short,SeqGain_weber,60.34969131163353,0.0025843481950459856,0.9158430074781834,0.1482173248863477,4,1.0536583433735656,0.009900990099009901,10.293743377991383
