scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Seq_weber,246.00784090869013,0.6143297616830061,0.8994144479780064,0.3656760223552543,3,,0.153355487268577,0.0
overall,SeqGain_weber,247.22869205709435,0.3336545849060947,0.9013981105025605,0.3584644715202447,4,0.9799050599049967,0.14043781154031232,1.220851148404222
overall,Static_weber,251.5928906933754,0.03763772842157112,0.9042949241565639,0.34793318473793694,3,,0.13133725248211894,5.585049784685282
overall,StaticGain_weber,253.5771368206614,0.013955642393397973,0.9044396117504687,0.34740717694894846,4,0.9965703610974145,0.12834777861773347,7.569295911971267
overall,Linear_weber,260.58043054011006,0.0004207304294045088,0.8992777619248414,0.3661729407618051,3,,,14.57258963141993
overall,StaticGain_basic,272.81502948791285,9.2745856856579e-07,0.9058798069276089,0.34217138678619535,4,0.9497029549912597,0.1745372675417053,26.807188579222725
overall,Static_basic,273.72525260115606,5.883585652277482e-07,0.9040359058128428,0.3488748388397931,3,,0.21605560665329035,27.71741169246593
overall,SeqGain_basic,279.9934378259517,2.5616686471893268e-08,0.9012660685757155,0.3589445063326225,4,0.910585874450185,0.08416648772240755,33.985596917261546
overall,Linear_basic,281.7910836037396,1.0427234294747825e-08,0.8987344464694659,0.3681481492347121,3,,,35.783242695049466
overall,Seq_basic,288.85172625782525,3.054710518519506e-10,0.8938538136692512,0.3858915562457791,3,,0.1452332432269825,42.84388534913512
range:long,Linear_basic,122.81435438219653,0.25591094981430246,0.4638428994935181,0.6055670551015543,3,,,0.0
range:long,Static_basic,122.81435438220649,0.2559109498130278,0.4638428994934154,0.6055670551016703,3,,0.3933982662048161,9.961809155356605e-12
range:long,Static_weber,124.45813387326723,0.11249848851609043,0.45442771252936687,0.6162011155993554,3,,0.40048872676342584,1.6437794910707026
range:long,Linear_weber,124.45813387327298,0.11249848851576669,0.4544276859669111,0.6162011456005401,3,,,1.643779491076458
range:long,StaticGain_basic,124.8143543821998,0.09414437720718476,0.46384289949349145,0.6055670551015844,4,2.1774299992251813,0.7214139804703041,2.0000000000032685
range:long,SeqGain_basic,124.93624759811546,0.08857794720199774,0.4625342266939271,0.6070451463785161,4,0.6103094924061526,0.009900990099009901,2.1218932159189308
range:long,StaticGain_weber,126.45813387326736,0.041385881087928615,0.45442771458576015,0.6162011132767451,4,1.5459164076168452,0.6121968739387538,3.6437794910708305
range:long,SeqGain_weber,126.60763211692552,0.038405115401894695,0.45302002179421874,0.6177910434995402,4,0.6027391354691927,0.009900990099009901,3.7932777347289885
range:long,Seq_basic,135.36355195681224,0.000482020200706242,0.3108829313227355,0.7783289515421824,3,,0.1981467903042033,12.549197574615718
range:long,Seq_weber,137.27037352134866,0.00018578224110064507,0.3431389640116377,0.7418971096319925,3,,0.16749879342617124,14.456019139152133
range:medium,Static_basic,52.682877248860365,0.3634207984669729,0.8930252887453857,0.14893884084433195,3,,0.10164588442887676,0.0
range:medium,Linear_basic,52.68287724886206,0.3634207984666643,0.893025288745382,0.14893884084433695,3,,,1.6981971384666394e-12
range:medium,StaticGain_basic,54.68287724886056,0.13369504025009654,0.8930252887453856,0.148938840844332,4,2.2580479012512766,0.6021545391381876,2.000000000000192
range:medium,SeqGain_basic,55.156619475615756,0.10549781838975807,0.8920069030827344,0.15035671969017195,4,0.9046471477763146,0.009900990099009901,2.473742226755391
range:medium,Seq_basic,57.470299516058006,0.03317678066591216,0.8822762346552384,0.16390454290216763,3,,0.020574366292392905,4.787422267197641
range:medium,Static_weber,67.00642791243102,0.0002818968811846589,0.8903714884895598,0.1526336760937054,3,,0.09742146119530927,14.323550663570657
range:medium,Linear_weber,67.00642791243335,0.0002818968811843304,0.8903714830823984,0.15263368362199256,3,,,14.323550663572988
range:medium,StaticGain_weber,69.00642791243183,0.00010370406711814277,0.8903714864719885,0.15263367890273125,4,1.0003702765233173,0.0977555832148008,16.323550663571467
range:medium,SeqGain_weber,69.61578235951833,7.646736977600024e-05,0.8890321812785121,0.15449836786252086,4,0.9081434240850313,0.009900990099009901,16.93290511065797
range:medium,Seq_weber,70.68515852984132,4.4798561332954254e-05,0.8877037884841764,0.1563478636980686,3,,0.009900990099009901,18.002281280980952
range:short,SeqGain_weber,34.8133722435266,0.6093872855633337,0.895366059844726,0.12660266877703744,4,1.1021360808349372,0.28521509823439944,0.0
range:short,Seq_weber,35.70423856170076,0.3903410496971783,0.8895434526159861,0.13364777874140474,3,,0.2155352553413487,0.8908663181741616
range:short,Seq_basic,51.87520655427466,0.00012021624059549518,0.87887819060394,0.1465522974083656,3,,0.27211101576373303,17.06183431074806
range:short,SeqGain_basic,53.265232943540155,5.999606228281434e-05,0.8803468362005791,0.14477529797829322,4,1.0608216167146602,0.3161894982662973,18.451860700013555
range:short,Static_weber,54.14943292274352,3.8558591510080424e-05,0.8375111261485761,0.1966047063279661,3,,0.10313400697419382,19.33606067921692
range:short,Linear_weber,54.14943292274358,3.855859151007933e-05,0.8375111268065943,0.19660470553179177,3,,,19.336060679216978
range:short,StaticGain_weber,56.14943292274342,1.4184913097087012e-05,0.8375111275937906,0.1966047045793173,4,1.0786029795305438,0.16849295486864824,21.33606067921682
range:short,Static_basic,66.96748563116273,6.34916160592935e-08,0.8362006325004134,0.19819034854909,3,,0.16331180851179555,32.15411338763613
range:short,Linear_basic,66.96748563116293,6.349161605928719e-08,0.8362006325004127,0.198190348549091,3,,,32.15411338763633
range:short,StaticGain_basic,68.96748563116375,2.3357260234952717e-08,0.83620063250041,0.19819034854909426,4,1.2440646323293154,0.3274560524835668,34.15411338763715
