scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,825.7713053766977,0.48023811513963843,0.128598492176059,13.835876560744458,3,,,0.0
overall,StaticGain_basic,827.771305376714,0.17666972942535086,0.12859849217595654,13.835876560746085,4,0.7040108364293626,0.0,2.000000000016371
overall,SeqGain_basic,827.8085901599052,0.17340669304936562,0.12838186514546934,13.83931610592317,4,0.7052870904143937,0.009900990099009901,2.0372847832074967
overall,Static_basic,828.9327155034578,0.09884737468850897,0.11003786974990626,14.13057708452496,3,,0.2122561910866737,3.1614101267600745
overall,Seq_basic,829.5994115306471,0.07082619917759021,0.10607350474517263,14.193522195767885,3,,0.03703272871896286,3.8281061539494203
overall,Linear_weber,848.0783131392951,6.879413847897524e-06,0.0817039991608346,14.580454589255774,3,,,22.307007762597436
overall,StaticGain_weber,850.0496678078282,2.5673034774693877e-06,0.08069020834121787,14.596551284651287,4,0.4842074401148277,0.05378210388418985,24.278362431130518
overall,SeqGain_weber,850.1499355549372,2.4417676993888918e-06,0.08147973495712812,14.584015395395788,4,0.47407805426454036,0.009900990099009901,24.37863017823952
overall,Static_weber,872.4870688926161,3.445541374790649e-11,-0.16682113006767718,18.526469118006723,3,,0.5418342795366674,46.71576351591841
overall,Seq_weber,885.0124135066847,6.56770208159885e-14,-0.23106945055374473,19.546586507636004,3,,0.5367294541466185,59.24110812998697
range:long,Static_basic,260.16279883469645,0.19389683011078432,0.037802520990774635,9.443993304785199,3,,0.489507789661239,0.0
range:long,Linear_basic,260.162798834697,0.1938968301107292,0.037802520990739996,9.443993304785538,3,,,5.684341886080801e-13
range:long,Seq_basic,261.08647825610115,0.12217891701704532,0.019862078819388285,9.620079211730122,3,,0.28500270820154266,0.9236794214046995
range:long,Static_weber,261.1446054909357,0.11867906130552894,0.018965384645330485,9.628880288391601,3,,0.627477691680102,0.9818066562392573
range:long,Linear_weber,261.144605490937,0.11867906130545135,0.018965388992332688,9.62888024572566,3,,,0.9818066562405647
range:long,SeqGain_basic,262.12190976052716,0.0728039892533651,0.03858906661739758,9.436273338984224,4,0.551240825983532,0.0921660369001802,1.9591109258307142
range:long,StaticGain_basic,262.1627988347101,0.07133065750558286,0.03780252099076631,9.44399330478528,4,1.8138791372874223,0.7185631352343409,2.0000000000136424
range:long,SeqGain_weber,263.12442715556347,0.04410230521869899,0.019044391028049112,9.628104838688492,4,0.391008547541984,0.061775457549986236,2.961628320867021
range:long,StaticGain_weber,263.14460549093576,0.043659586751828086,0.01896537942426091,9.628880339636535,4,1.2316090569686924,0.6975320257520782,2.981806656239314
range:long,Seq_weber,264.63016609993605,0.020772761420985966,-0.05266896285580369,10.33197327392922,3,,0.4570391642719221,4.467367265239602
range:medium,Linear_basic,269.65029696304293,0.26449615291496964,0.1232133126005549,11.417289997278754,3,,,0.0
range:medium,Static_basic,269.6531339512527,0.2641212326552503,0.12316356251924865,11.417937830000014,3,,0.0,0.002836988209764968
range:medium,Seq_basic,269.6972575371665,0.2583580515134845,0.12238943764019505,11.428018284419865,3,,0.009900990099009901,0.046960574123545484
range:medium,StaticGain_basic,271.6502969630313,0.0973026969269223,0.12321331260076995,11.417289997275955,4,1.5567630184567873,0.34446895479634465,1.999999999988347
range:medium,SeqGain_basic,271.69307262349787,0.09524370058414179,0.12246288905561131,11.427061819041718,4,1.0251028045880146,0.009900990099009901,2.042775660454936
range:medium,Static_weber,276.84876624146574,0.00723255286519803,0.08879287190096807,11.865504094218256,3,,0.45086289306076105,7.198469278422806
range:medium,Linear_weber,276.84876624146597,0.007232552865197208,0.08879287149950033,11.865504099446065,3,,,7.198469278423033
range:medium,StaticGain_weber,278.8487662414657,0.0026607075062920413,0.0887928717404074,11.865504096309035,4,1.7419230510111774,0.6847523773103659,9.198469278422749
range:medium,SeqGain_weber,278.90779570200766,0.0025833250208727667,0.08776755266618241,11.878855536720259,4,0.5508104739523777,0.009900990099009901,9.257498738964728
range:medium,Seq_weber,281.3312083910102,0.0007690271476714437,0.012220241919350117,12.862613123037445,3,,0.09507609247064966,11.68091142796726
range:short,Static_weber,291.341636005331,0.32905445066608013,-0.037940780458473045,21.549829953179213,3,,0.5589761916270727,0.0
range:short,Linear_weber,291.3416360053311,0.3290544506660614,-0.037940779740866404,21.54982993828019,3,,,1.1368683772161603e-13
range:short,StaticGain_weber,293.341636005331,0.1210523674260135,-0.03794077509083449,21.549829841735768,4,1.410803531077683,0.6873953005253758,2.0
range:short,SeqGain_weber,293.36587817860675,0.11959393792398236,-0.03784584824004589,21.547858960996713,4,0.443083303326901,0.009900990099009901,2.024242173275752
range:short,Seq_weber,295.5865002134669,0.039400997630230264,-0.07472093578208527,22.31346320451486,3,,0.7030273934099729,4.24486420813588
range:short,Linear_basic,297.19664313584445,0.017614451540245896,0.045982627825123856,19.807403784314463,3,,,5.855007130513457
range:short,Static_basic,297.33395857671195,0.016445665629515913,0.04335900050744479,19.8618757962259,3,,0.18725304785346483,5.992322571380953
range:short,Seq_basic,297.4592002967594,0.015447406032344672,0.040959769639017374,19.911688866688543,3,,0.021904253147708743,6.11756429142838
range:short,StaticGain_basic,299.1966431358363,0.0064799945891934494,0.045982627825130185,19.80740378431433,4,2.507640408516493,0.6758913613321658,7.855007130505328
range:short,SeqGain_basic,299.39905402554626,0.005856277896332405,0.04211272991445403,19.887750990514668,4,1.050291179876179,0.066789022218536,8.057418020215266
