scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,190.73944121025735,0.8173822096631215,0.9427473787468421,0.19797507797801853,4,0.9496216218991642,0.18966019137789827,0.0
overall,Static_basic,193.75025538531935,0.1813991258607188,0.9408025269921136,0.20470022294728613,3,,0.23048377602251074,3.010814175061995
overall,SeqGain_basic,203.8327404057069,0.0011728740722541074,0.9375252741367027,0.2160327065157632,4,0.910351272635414,0.10674380479059743,13.093299195449532
overall,Linear_basic,210.34265081175076,4.52524713709193e-05,0.9338784427328092,0.22864316374471833,3,,,19.603209601493404
overall,Seq_basic,219.2072097345514,5.379325078332924e-07,0.9298530810812979,0.24256254890830528,3,,0.1736130733497067,28.46776852429406
overall,Static_weber,253.81863439639932,1.6404100420326013e-14,0.941498258497863,0.20229443791792576,3,,0.15636836770374707,63.079193186141964
overall,StaticGain_weber,254.78167860250747,1.0135146413806888e-14,0.9426611361740158,0.19827329803688382,4,0.9725650410192384,0.13257047823509935,64.04223739225012
overall,Linear_weber,262.21057719106113,2.4698193859564977e-16,0.9341180887557871,0.22781448657592326,3,,,71.47113598080378
overall,SeqGain_weber,263.9158321575478,1.0528676551432942e-16,0.9356327933226994,0.22257675687579,4,0.9228825693810068,0.018659186656149268,73.17639094729046
overall,Seq_weber,272.6860798258404,1.31201469835048e-18,0.9302891511700144,0.24105465271197565,3,,0.06543780720239264,81.94663861558305
range:long,Static_weber,66.31199322866559,0.1941996659076631,0.8105084469686661,0.19468286361818024,3,,0.1954964729438215,0.0
range:long,Linear_weber,66.31199322869242,0.1941996659050579,0.8105084614794622,0.1946828487098464,3,,,2.6830093702301383e-11
range:long,Static_basic,66.61477462669967,0.16691690879766036,0.8084505002820461,0.19679718981222682,3,,0.23620161951750165,0.3027813980340852
range:long,Linear_basic,66.61477462671121,0.1669169087966973,0.808450500282002,0.1967971898122722,3,,,0.30278139804562443
range:long,StaticGain_weber,68.31199322867064,0.07144206456961118,0.8105084449322812,0.1946828657103539,4,1.5895236698931758,0.49387131767720943,2.000000000005059
range:long,SeqGain_weber,68.35338988082029,0.06997853200903507,0.8112050453433758,0.19396718123439705,4,0.8103334424647849,0.009900990099009901,2.0413966521547025
range:long,SeqGain_basic,68.43494944124981,0.06718222671985596,0.8091381714211621,0.19609067923458368,4,0.7815244867525765,0.030131249254471765,2.122956212584228
range:long,StaticGain_basic,68.61477462670021,0.06140529913053132,0.8084505002820442,0.19679718981222882,4,2.187001957413855,0.6507555073372205,2.3027813980346252
range:long,Seq_weber,73.74944200905011,0.004712235601000238,0.7890098500559274,0.2167704360919404,3,,0.1271999468333582,7.437448780384528
range:long,Seq_basic,74.62178500066422,0.0030464925628875717,0.7751830609504813,0.23097602391171923,3,,0.19159056310673372,8.309791771998633
range:medium,Static_weber,54.87867974743284,0.34596518393772263,0.8288625615220705,0.17147218330759234,3,,0.2430354199684248,0.0
range:medium,Linear_weber,54.878679747434546,0.34596518393742764,0.8288625627819939,0.17147218204520456,3,,,1.7053025658242404e-12
range:medium,StaticGain_weber,56.87867974743379,0.12727347853172408,0.8288625617481502,0.17147218308107043,4,1.3498744134614615,0.43923335359209426,2.000000000000952
range:medium,SeqGain_weber,57.028868714526126,0.1180659848702393,0.8280169658572388,0.17231943295754434,4,0.7621762517876556,0.009900990099009901,2.1501889670932854
range:medium,Static_basic,60.31061605654998,0.022882444274359696,0.8268537792462327,0.17348489476156156,3,,0.2666843997666694,5.431936309117141
range:medium,Linear_basic,60.310616056550266,0.022882444274356446,0.8268537792462322,0.17348489476156215,3,,,5.431936309117425
range:medium,StaticGain_basic,62.31061605654926,0.008417980812291165,0.8268537792462352,0.17348489476155923,4,2.294636812641896,0.6804219181173221,7.431936309116416
range:medium,SeqGain_basic,62.322633331253364,0.008367551874675264,0.8268121593308805,0.17352659608546833,4,0.7388553706373169,0.009900990099009901,7.443953583820523
range:medium,Seq_weber,70.21476164996733,0.0001617500873241866,0.7658236260701302,0.2346344229172766,3,,0.17431782846868407,15.336081902534488
range:medium,Seq_basic,74.60641200380635,1.799739987967043e-05,0.7695457495931535,0.23090501892064227,3,,0.20164911746656117,19.727732256373514
range:short,Linear_basic,71.84738236319808,0.3497170849461498,0.8141191078898309,0.21850870637174505,3,,,0.0
range:short,Static_basic,71.84738236319973,0.3497170849458615,0.8141191078898253,0.21850870637175163,3,,0.1862627466775215,1.6484591469634324e-12
range:short,SeqGain_basic,73.78170484131643,0.13294868940346063,0.8143631115264204,0.2182218725913823,4,0.8250969983752485,0.018797440600514876,1.9343224781183466
range:short,StaticGain_basic,73.84738236319808,0.1286537257780954,0.814119107889831,0.218508706371745,4,2.3808653927952874,0.6582178375163629,2.0
range:short,Seq_basic,77.11576562332064,0.025101632122463705,0.7934641989142707,0.24278918721751627,3,,0.13361680521261385,5.268383260122562
range:short,Linear_weber,80.37272150167003,0.004925643518033305,0.8163178842597891,0.2159239771144981,3,,,8.52533913847195
range:short,Static_weber,80.37272150167009,0.004925643518033165,0.8163178799803767,0.21592398214507896,3,,0.12243313719117149,8.525339138472006
range:short,StaticGain_weber,82.37272150167001,0.0018120429848238423,0.8163178783632751,0.2159239840460317,4,2.062838941423863,0.5745829414699026,10.525339138471935
range:short,SeqGain_weber,82.65491028360921,0.001573591424825606,0.816346737505225,0.2158900592369623,4,0.8832022536633223,0.009900990099009901,10.807527920411133
range:short,Seq_weber,84.50208232226282,0.0006248613582530725,0.7867299498746143,0.2507055041091327,3,,0.03200127208764859,12.654699959064743
