scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,234.62639931046334,0.9999997444361006,0.934926890544132,0.2652627580754387,4,1.1552495723231624,0.62580604251663,0.0
overall,Static_basic,264.98599217406087,2.55563049832795e-07,0.9192593619616259,0.32912956694277706,3,,0.5677125437585322,30.359592863597527
overall,SeqGain_basic,290.2919584727658,8.172920997494744e-13,0.9056873689153491,0.3844541754967555,4,1.0931555019291816,0.7350371599913368,55.665559162302486
overall,Seq_basic,297.3358299762235,2.41446013003151e-14,0.8998261072909576,0.40834690841344895,3,,0.6813215729924522,62.70943066576018
overall,StaticGain_weber,299.51225828676877,8.132323297566373e-15,0.9375571633268928,0.25454076524798586,4,1.4099957928933224,0.5776374069327826,64.88585897630543
overall,SeqGain_weber,361.6598989714686,2.600314808179119e-28,0.9055277932341185,0.3851046667008635,4,1.280876413071564,0.6526939281278665,127.03349966100524
overall,Static_weber,381.51928866714695,1.2665264086293207e-32,0.8407580515989701,0.6491307820907395,3,,0.4044704921618856,146.8928893566836
overall,Linear_basic,390.40124628401634,1.4925251535719187e-34,0.8137027135822504,0.7594186359060782,3,,,155.774846973553
overall,Seq_weber,393.87105325065545,2.633071483280052e-35,0.8368078905654157,0.6652331417192336,3,,0.4578702422635477,159.2446539401921
overall,Linear_weber,419.45355479908454,7.333191421441447e-41,0.8071629469242806,0.7860772135484971,3,,,184.8271554886212
range:long,SeqGain_weber,71.24433156265007,0.5740543506107381,0.6622475260892882,0.2054886051272771,4,0.7381595208270011,0.3450009635006346,0.0
range:long,SeqGain_basic,73.22254266048309,0.21349609250046392,0.6453072987311741,0.21579503945195364,4,0.7042568194358741,0.42125854392321516,1.978211097833011
range:long,Seq_weber,75.09049623270592,0.08390135338596372,0.6271702529125178,0.22682961812802419,3,,0.544587219467463,3.846164670055842
range:long,Static_weber,76.47163633642315,0.042058928415324257,0.5871879119180735,0.25115487438904405,3,,0.43726683246504094,5.227304773773071
range:long,Linear_weber,76.47163633643822,0.042058928415007184,0.5871879323803344,0.2511548619398045,3,,,5.227304773788148
range:long,Seq_basic,78.16736001185775,0.018015092066041346,0.5924563143506529,0.2479495783490627,3,,0.6243257543441783,6.923028449207678
range:long,StaticGain_weber,78.4716363364242,0.015472615081691047,0.5871878999516443,0.25115488166941957,4,2.0776739390624916,0.7291522926255515,7.227304773774122
range:long,Static_basic,80.88843524794338,0.0046212823738033025,0.5696625638705717,0.2618172961411442,3,,0.5066143298596224,9.644103685293302
range:long,Linear_basic,80.88843524794592,0.0046212823737974236,0.5696625638705496,0.2618172961411576,3,,,9.644103685295846
range:long,StaticGain_basic,82.8884352479438,0.0017000747771698326,0.5696625638705697,0.2618172961411454,4,1.0407621221731207,0.5259381038177606,11.644103685293729
range:medium,Static_weber,66.62184714946683,0.31447813945823083,0.563299372010929,0.21712755223616614,3,,0.4592603786191534,0.0
range:medium,Linear_weber,66.62184714946866,0.31447813945794256,0.5632993859602076,0.21712754530058487,3,,,1.8332002582610585e-12
range:medium,SeqGain_weber,67.32547852822407,0.22120699131808638,0.58417085535746,0.20675025071627087,4,0.598171994590928,0.13812712621096843,0.7036313787572368
range:medium,StaticGain_weber,68.62184714946733,0.11569004220450009,0.5632993693421269,0.21712755356309454,4,1.965594857743048,0.7248977220555914,2.0000000000004974
range:medium,SeqGain_basic,72.74973358167064,0.01468712630836364,0.5700642394288289,0.21376406015598629,4,0.5059610847856474,0.23844572921521023,6.127886432203809
range:medium,Static_basic,73.94356806941462,0.008085352609454326,0.5417052695986206,0.2278641399555659,3,,0.5818815350627295,7.3217209199477935
range:medium,Linear_basic,73.94356806941641,0.008085352609447089,0.5417052695986042,0.22786413995557406,3,,,7.321720919949584
range:medium,StaticGain_basic,75.94356806941468,0.0029744349996400363,0.5417052695986203,0.227864139955566,4,2.1005498048979097,0.8009480875303067,9.32172091994785
range:medium,Seq_weber,80.44471521482814,0.00031332337718489335,0.4645517187139414,0.2662248854554284,3,,0.517477346428712,13.822868065361305
range:medium,Seq_basic,91.75283074720973,1.097657150192976e-06,0.3456137719234186,0.32536083259967635,3,,0.6896649067073566,25.130983597742897
range:short,Static_weber,77.80002508901256,0.3529543313523485,0.4359317580145837,0.2817661885777651,3,,0.3818416457906577,0.0
range:short,Linear_weber,77.80002508901259,0.3529543313523435,0.43593175500097814,0.2817661900831364,3,,,2.842170943040401e-14
range:short,StaticGain_weber,79.80002508901256,0.12984464217694205,0.4359317539135671,0.2817661906263254,4,1.6596570066286087,0.6275384955664189,2.0
range:short,SeqGain_weber,79.82042060294675,0.12852724672862378,0.4352506562916669,0.28210641591590513,4,0.6223749826182116,0.009900990099009901,2.02039551393419
range:short,Static_basic,84.74992493906913,0.01092866059317043,0.43378472894277986,0.2828386832748579,3,,0.6127967480984144,6.949899850056568
range:short,Linear_basic,84.74992493906933,0.010928660593169342,0.43378472894277764,0.282838683274859,3,,,6.949899850056767
range:short,Seq_weber,86.01116048095177,0.005816920393306705,0.3133833509632725,0.3429821816100713,3,,0.39785575270375717,8.211135391939209
range:short,SeqGain_basic,86.74792145789779,0.004024458997114253,0.4338074165210819,0.2828273502623066,4,0.39004189966884656,0.009913360284650436,8.947896368885225
range:short,StaticGain_basic,86.74992493906979,0.004020429551766587,0.4337847289427761,0.2828386832748598,4,1.3417874027604348,0.7114272478616408,8.949899850057221
range:short,Seq_basic,105.63797860406005,3.1826121489076367e-07,0.1401693796662148,0.4295068906222341,3,,0.7624988557980286,27.837953515047488
