correct,response,input_value,range_category,trial,stimulus_id
2.4622,14.0,2.4622,short,0,0
4.8023,9.0,4.8023,short,1,1
4.0078,8.0,4.0078,short,2,2
3.4004,10.0,3.4004,short,3,3
1.5,11.0,1.5,short,4,4
1.6771,12.0,1.6771,short,5,5
1.25,13.0,1.25,short,6,6
4.3732,10.0,4.3732,short,7,7
3.4004,11.0,3.4004,short,8,8
3.8243,13.0,3.8243,short,9,9
1.0308,8.0,1.0308,short,10,10
4.8088,7.0,4.8088,short,11,11
4.3157,9.0,4.3157,short,12,12
1.75,6.0,1.75,short,13,13
1.8028,5.0,1.8028,short,14,14
1.82,6.0,1.82,short,15,15
2.136,7.0,2.136,short,16,16
3.0104,8.0,3.0104,short,17,17
2.6575,9.0,2.6575,short,18,18
2.25,8.0,2.25,short,19,19
2.4622,14.0,2.4622,short,20,0
4.8023,9.0,4.8023,short,21,1
4.0078,8.0,4.0078,short,22,2
3.4004,10.0,3.4004,short,23,3
1.5,13.0,1.5,short,24,4
1.6771,11.0,1.6771,short,25,5
1.25,7.0,1.25,short,26,6
4.3732,9.0,4.3732,short,27,7
3.4004,6.0,3.4004,short,28,8
3.8243,12.0,3.8243,short,29,9
1.0308,5.0,1.0308,short,30,10
4.8088,4.0,4.8088,short,31,11
4.3157,1.0,4.3157,short,32,12
1.75,3.0,1.75,short,33,13
1.8028,2.0,1.8028,short,34,14
1.82,1.0,1.82,short,35,15
2.136,5.0,2.136,short,36,16
3.0104,6.0,3.0104,short,37,17
2.6575,7.0,2.6575,short,38,18
2.25,8.0,2.25,short,39,19
2.4622,14.0,2.4622,short,40,0
4.8023,9.0,4.8023,short,41,1
4.0078,10.0,4.0078,short,42,2
3.4004,11.0,3.4004,short,43,3
1.5,12.0,1.5,short,44,4
1.6771,11.0,1.6771,short,45,5
1.25,9.0,1.25,short,46,6
4.3732,10.0,4.3732,short,47,7
3.4004,12.0,3.4004,short,48,8
3.8243,11.0,3.8243,short,49,9
