scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,755.455568948965,0.5491080471864498,0.6828627652446682,0.9376851997355747,4,0.7494352004727499,0.12981169342743498,0.0
overall,SeqGain_weber,756.6208214688578,0.30663832832229443,0.6775364817731151,0.953433515081531,4,0.7320712142082558,0.07981238322370182,1.1652525198927606
overall,Linear_weber,758.1290133447219,0.14425362449125495,0.6719241414983073,0.9700276195726898,3,,,2.67344439575686
overall,Static_weber,824.0206035853436,7.094956078738094e-16,0.6153044881508549,1.1374359372967955,3,,0.3478502360379484,68.56503463637853
overall,StaticGain_basic,841.1179363933633,1.3750264882467428e-19,0.6817432925564161,0.9409951641807524,4,0.7808885830548418,0.3162110172184496,85.66236744439823
overall,Seq_weber,849.7276058896098,1.8567143236527703e-21,0.5751190996509772,1.2562527771769507,3,,0.28792205906806806,94.27203694064474
overall,SeqGain_basic,849.9697190924009,1.645018831022213e-21,0.6722129185872867,0.9691737873111841,4,0.7372016979689313,0.21160067132539584,94.51415014343581
overall,Linear_basic,856.7721758120499,5.483226240503561e-23,0.6624526563469713,0.9980321251072571,3,,,101.31660686308487
overall,Static_basic,876.840953201659,2.4052295233706076e-27,0.6390997145466233,1.0670801759088806,3,,0.466037099325046,121.38538425269394
overall,Seq_basic,905.9526019997486,1.1472083780014337e-33,0.6023228353950145,1.1758190166808644,3,,0.45713722910450166,150.49703305078356
range:long,Static_weber,342.82014111257337,0.28204829045957547,0.06536674368645368,1.7624182330170706,3,,0.6451744371203586,0.0
range:long,Linear_weber,342.82014111257365,0.2820482904595354,0.06536675708456352,1.7624182077525372,3,,,2.8421709430404007e-13
range:long,StaticGain_weber,344.8201411125736,0.10375976747761748,0.06536674755125249,1.7624182257293008,4,1.6648459877725434,0.7868717925267609,2.0000000000002274
range:long,SeqGain_weber,344.84547252977444,0.10245386405214658,0.06513211823601683,1.7628606612839726,4,0.3575487126005174,0.009900990099009901,2.0253314172010732
range:long,Static_basic,345.5135529260333,0.07335952788326383,0.07413742737216722,1.7458795396426277,3,,0.686551581931233,2.6934118134599316
range:long,Linear_basic,345.51355292603563,0.07335952788317834,0.07413742737214768,1.7458795396426645,3,,,2.693411813462262
range:long,StaticGain_basic,347.51355292603307,0.026987462122299008,0.07413742737216833,1.7458795396426254,4,0.4913442821873074,0.3620595129787647,4.693411813459704
range:long,SeqGain_basic,347.5314537685021,0.026746990733710813,0.07397167533661142,1.7461920947626706,4,0.3159108639415172,0.009900990099009901,4.711312655928737
range:long,Seq_weber,348.1053457785027,0.020075014177867657,0.012348483219032147,1.8623936493629287,3,,0.9900990099009901,5.285204665929314
range:long,Seq_basic,349.6743292258841,0.00916126475080536,0.03480169567071345,1.8200540998686898,3,,0.9900990099009901,6.854188113310727
range:medium,Static_basic,193.80825232933918,0.24593591756180141,0.5119877548215777,0.38297156203638033,3,,0.48432670058895183,0.0
range:medium,Linear_basic,193.80825232934092,0.24593591756158822,0.5119877548215692,0.38297156203638694,3,,,1.7337242752546445e-12
range:medium,Static_weber,195.24143669050892,0.12011850818861586,0.5151106733156209,0.38052082645424595,3,,0.44275004584405603,1.4331843611697366
range:medium,Linear_weber,195.24143669050972,0.12011850818856806,0.5151106764911031,0.3805208239622605,3,,,1.4331843611705324
range:medium,StaticGain_basic,195.80825232933938,0.09047476791661242,0.5119877548215765,0.3829715620363811,4,2.294646695591945,0.7752711489669138,2.000000000000199
range:medium,SeqGain_basic,195.851669722081,0.08853184412449885,0.5117758266249417,0.3831378744051929,4,0.520144248850497,0.009900990099009901,2.0434173927418158
range:medium,SeqGain_weber,197.21875166954013,0.04469319863294928,0.5141305341103071,0.3812899986342081,4,0.5647028585855822,0.014597825271706213,3.4104993402009427
range:medium,StaticGain_weber,197.24143669050872,0.044189129666779715,0.5151106700105584,0.38052082904792045,4,1.3991580094977014,0.6017247610606874,3.4331843611695376
range:medium,Seq_weber,217.08400912752936,2.170479007915905e-06,0.3363051848845927,0.5208398817272806,3,,0.42959826498566056,23.275756798190173
range:medium,Seq_basic,225.19117893596663,3.767957833388473e-08,0.3320790928010199,0.5241563417189018,3,,0.4798220881247992,31.38292660662745
range:short,Linear_weber,192.67430047718568,0.33870431153578257,0.6255962617339909,0.5191832437993534,3,,,0.0
range:short,Static_weber,192.67430047718585,0.3387043115357537,0.6255962610818968,0.519183244703608,3,,0.27286705435619224,1.7053025658242404e-13
range:short,SeqGain_weber,193.77364427310673,0.19547951502255118,0.6303715160399604,0.5125614295193404,4,0.7680978443147571,0.056894119477694884,1.099343795921044
range:short,StaticGain_weber,194.6743004771858,0.12460235285013471,0.6255962609003624,0.5191832449553406,4,1.2828041227463542,0.4331691567882234,2.0000000000001137
range:short,Seq_weber,202.48441397905884,0.0025094678995674067,0.5778725754162681,0.5853613711419124,3,,0.2099288321659719,9.810113501873161
range:short,Linear_basic,227.0445134424653,1.1652626027855206e-08,0.6149392228790824,0.5339612906949643,3,,,34.37021296527962
range:short,Static_basic,227.04451344246937,1.1652626027831527e-08,0.6149392228790722,0.5339612906949786,3,,0.22649451319823002,34.370212965283685
range:short,SeqGain_basic,227.56611235765112,8.977595700803567e-09,0.6205900914144213,0.5261252678228407,4,0.8389147402210211,0.09001564773166525,34.89181188046544
range:short,Seq_basic,228.9092981277742,4.586600977977e-09,0.6076912994285442,0.5440119392950227,3,,0.18305808345523192,36.234997650588525
range:short,StaticGain_basic,229.04451344246502,4.2867615513077865e-09,0.6149392228790832,0.5339612906949632,4,0.7735749950447257,8.99752031956758e-05,36.370212965279336
