correct,response,input_value,range_category,trial,stimulus_id
2.4622,,2.4622,short,0,0
4.8023,4.03,4.8023,short,1,1
4.0078,3.54,4.0078,short,2,2
3.4004,2.06,3.4004,short,3,3
1.5,1.52,1.5,short,4,4
1.6771,1.77,1.6771,short,5,5
1.25,1.12,1.25,short,6,6
4.3732,4.3,4.3732,short,7,7
3.4004,2.96,3.4004,short,8,8
3.8243,3.16,3.8243,short,9,9
1.0308,0.79,1.0308,short,10,10
4.8088,4.53,4.8088,short,11,11
4.3157,4.27,4.3157,short,12,12
1.75,1.77,1.75,short,13,13
1.8028,2.06,1.8028,short,14,14
1.82,1.77,1.82,short,15,15
2.136,1.77,2.136,short,16,16
3.0104,2.53,3.0104,short,17,17
2.6575,3.2,2.6575,short,18,18
2.25,2.06,2.25,short,19,19
2.4622,,2.4622,short,20,0
4.8023,,4.8023,short,21,1
4.0078,,4.0078,short,22,2
3.4004,3.0,3.4004,short,23,3
1.5,1.5,1.5,short,24,4
1.6771,1.75,1.6771,short,25,5
1.25,1.0,1.25,short,26,6
4.3732,3.6,4.3732,short,27,7
3.4004,2.06,3.4004,short,28,8
3.8243,3.2,3.8243,short,29,9
1.0308,0.79,1.0308,short,30,10
4.8088,4.3,4.8088,short,31,11
4.3157,2.06,4.3157,short,32,12
1.75,1.58,1.75,short,33,13
1.8028,1.0,1.8028,short,34,14
1.82,1.77,1.82,short,35,15
2.136,2.25,2.136,short,36,16
3.0104,2.06,3.0104,short,37,17
2.6575,2.06,2.6575,short,38,18
2.25,2.06,2.25,short,39,19
2.4622,,2.4622,short,40,0
4.8023,,4.8023,short,41,1
4.0078,3.2,4.0078,short,42,2
3.4004,1.12,3.4004,short,43,3
1.5,1.52,1.5,short,44,4
1.6771,1.77,1.6771,short,45,5
1.25,1.25,1.25,short,46,6
4.3732,4.3,4.3732,short,47,7
3.4004,1.58,3.4004,short,48,8
3.8243,3.16,3.8243,short,49,9
1.0308,0.79,1.0308,short,50,10
4.8088,4.53,4.8088,short,51,11
4.3157,3.0,4.3157,short,52,12
1.75,1.58,1.75,short,53,13
1.8028,2.06,1.8028,short,54,14
1.82,1.77,1.82,short,55,15
2.136,1.77,2.136,short,56,16
3.0104,2.53,3.0104,short,57,17
2.6575,2.96,2.6575,short,58,18
2.25,2.06,2.25,short,59,19
2.4622,,2.4622,short,60,0
4.8023,3.0,4.8023,short,61,1
4.0078,3.0,4.0078,short,62,2
3.4004,2.0,3.4004,short,63,3
1.5,1.52,1.5,short,64,4
1.6771,1.59,1.6771,short,65,5
1.25,1.25,1.25,short,66,6
4.3732,3.25,4.3732,short,67,7
3.4004,2.06,3.4004,short,68,8
3.8243,3.35,3.8243,short,69,9
1.0308,0.56,1.0308,short,70,10
4.8088,4.03,4.8088,short,71,11
4.3157,4.12,4.3157,short,72,12
1.75,1.58,1.75,short,73,13
1.8028,2.06,1.8028,short,74,14
1.82,1.77,1.82,short,75,15
2.136,1.8,2.136,short,76,16
3.0104,2.12,3.0104,short,77,17
2.6575,2.96,2.6575,short,78,18
2.25,2.06,2.25,short,79,19
2.4622,,2.4622,short,80,0
4.8023,4.0,4.8023,short,81,1
4.0078,3.0,4.0078,short,82,2
3.4004,1.12,3.4004,short,83,3
1.5,1.52,1.5,short,84,4
1.6771,1.77,1.6771,short,85,5
1.25,1.25,1.25,short,86,6
4.3732,3.91,4.3732,short,87,7
3.4004,2.25,3.4004,short,88,8
3.8243,3.16,3.8243,short,89,9
1.0308,0.79,1.0308,short,90,10
4.8088,5.15,4.8088,short,91,11
4.3157,2.96,4.3157,short,92,12
1.75,1.46,1.75,short,93,13
1.8028,1.0,1.8028,short,94,14
1.82,1.77,1.82,short,95,15
2.136,1.77,2.136,short,96,16
3.0104,2.06,3.0104,short,97,17
2.6575,2.06,2.6575,short,98,18
2.25,2.04,2.25,short,99,19
4.423,,4.423,medium,0,0
6.8648,,6.8648,medium,1,1
5.8363,4.3,5.8363,medium,2,2
5.3502,3.0,5.3502,medium,3,3
3.5532,3.2,3.5532,medium,4,4
3.5089,3.6,3.5089,medium,5,5
3.1623,2.96,3.1623,medium,6,6
6.5192,3.0,6.5192,medium,7,7
5.3502,3.2,5.3502,medium,8,8
5.8149,4.03,5.8149,medium,9,9
3.0104,2.06,3.0104,medium,10,10
6.8283,4.3,6.8283,medium,11,11
6.255,,6.255,medium,12,12
3.75,3.6,3.75,medium,13,13
3.6056,2.96,3.6056,medium,14,14
3.6912,3.0,3.6912,medium,15,15
4.1003,3.6,4.1003,medium,16,16
5.0,2.96,5.0,medium,17,17
4.717,4.3,4.717,medium,18,18
4.0697,3.2,4.0697,medium,19,19
4.423,,4.423,medium,20,0
6.8648,,6.8648,medium,21,1
5.8363,,5.8363,medium,22,2
5.3502,2.0,5.3502,medium,23,3
3.5532,3.2015621187164243,3.5532,medium,24,4
3.5089,3.5355339059327378,3.5089,medium,25,5
3.1623,2.06,3.1623,medium,26,6
6.5192,4.3,6.5192,medium,27,7
5.3502,3.04,5.3502,medium,28,8
5.8149,4.03,5.8149,medium,29,9
3.0104,1.58,3.0104,medium,30,10
6.8283,5.59,6.8283,medium,31,11
6.255,4.3,6.255,medium,32,12
3.75,3.2,3.75,medium,33,13
3.6056,2.53,3.6056,medium,34,14
3.6912,3.04,3.6912,medium,35,15
4.1003,3.67,4.1003,medium,36,16
5.0,2.06,5.0,medium,37,17
4.717,4.53,4.717,medium,38,18
4.0697,3.2,4.0697,medium,39,19
4.423,,4.423,medium,40,0
6.8648,,6.8648,medium,41,1
5.8363,,5.8363,medium,42,2
5.3502,3.0,5.3502,medium,43,3
3.5532,2.24,3.5532,medium,44,4
3.5089,3.2,3.5089,medium,45,5
3.1623,2.06,3.1623,medium,46,6
6.5192,4.3,6.5192,medium,47,7
5.3502,3.2,5.3502,medium,48,8
5.8149,4.03,5.8149,medium,49,9
3.0104,1.58,3.0104,medium,50,10
6.8283,4.3,6.8283,medium,51,11
6.255,3.6,6.255,medium,52,12
3.75,3.2,3.75,medium,53,13
3.6056,2.06,3.6056,medium,54,14
3.6912,3.2,3.6912,medium,55,15
4.1003,3.61,4.1003,medium,56,16
5.0,2.06,5.0,medium,57,17
4.717,4.27,4.717,medium,58,18
4.0697,3.2,4.0697,medium,59,19
4.423,,4.423,medium,60,0
6.8648,,6.8648,medium,61,1
5.8363,4.61,5.8363,medium,62,2
5.3502,3.0,5.3502,medium,63,3
3.5532,3.2015621187164243,3.5532,medium,64,4
3.5089,3.5355339059327378,3.5089,medium,65,5
3.1623,3.0413812651491097,3.1623,medium,66,6
6.5192,4.0,6.5192,medium,67,7
5.3502,,5.3502,medium,68,8
5.8149,4.3,5.8149,medium,69,9
3.0104,2.06,3.0104,medium,70,10
6.8283,4.03,6.8283,medium,71,11
6.255,3.67,6.255,medium,72,12
3.75,3.2,3.75,medium,73,13
3.6056,2.53,3.6056,medium,74,14
3.6912,2.53,3.6912,medium,75,15
4.1003,3.67,4.1003,medium,76,16
5.0,3.04,5.0,medium,77,17
4.717,4.27,4.717,medium,78,18
4.0697,3.2,4.0697,medium,79,19
4.423,,4.423,medium,80,0
6.8648,,6.8648,medium,81,1
5.8363,3.5355339059327378,5.8363,medium,82,2
5.3502,3.5355339059327378,5.3502,medium,83,3
3.5532,3.0,3.5532,medium,84,4
3.5089,3.2015621187164243,3.5089,medium,85,5
3.1623,2.0615528128088303,3.1623,medium,86,6
6.5192,4.0,6.5192,medium,87,7
5.3502,3.8078865529319543,5.3502,medium,88,8
5.8149,5.024937810560445,5.8149,medium,89,9
3.0104,0.7905694150420949,3.0104,medium,90,10
6.8283,4.6097722286464435,6.8283,medium,91,11
6.255,5.220153254455275,6.255,medium,92,12
3.75,3.5355339059327378,3.75,medium,93,13
3.6056,2.5,3.6056,medium,94,14
3.6912,3.0413812651491097,3.6912,medium,95,15
4.1003,4.272001872658765,4.1003,medium,96,16
5.0,3.5355339059327378,5.0,medium,97,17
4.717,4.0,4.717,medium,98,18
4.0697,3.5355339059327378,4.0697,medium,99,19
6.408,,6.408,long,0,0
8.6783,5.220153254455275,8.6783,long,1,1
7.9451,7.318045112703701,7.9451,long,2,2
7.2887,6.545941170815812,7.2887,long,3,3
5.5509,4.301162633521313,5.5509,long,4,4
5.7009,2.5,5.7009,long,5,5
5.2202,5.220153254455275,5.2202,long,6,6
8.5147,8.200609733428363,8.5147,long,7,7
7.433,5.315072906367325,7.433,long,8,8
7.8302,,7.8302,long,9,9
4.9624,4.6097722286464435,4.9624,long,10,10
8.6096,7.433034373659253,8.6096,long,11,11
8.3104,7.810249675906654,8.3104,long,12,12
5.7554,6.879236490723741,5.7554,long,13,13
5.6569,6.103277807866853,5.6569,long,14,14
5.7009,5.70087712549569,5.7009,long,15,15
6.1745,5.024937810560445,6.1745,long,16,16
7.0755,6.5,7.0755,long,17,17
6.8007,5.315072906367325,6.8007,long,18,18
6.0519,6.726812023536855,6.0519,long,19,19
6.408,,6.408,long,20,0
8.6783,,8.6783,long,21,1
7.9451,,7.9451,long,22,2
7.2887,,7.2887,long,23,3
5.5509,4.0,5.5509,long,24,4
5.7009,3.5355339059327378,5.7009,long,25,5
5.2202,4.3,5.2202,long,26,6
8.5147,8.25,8.5147,long,27,7
7.433,5.024937810560445,7.433,long,28,8
7.8302,7.28,7.8302,long,29,9
4.9624,4.53,4.9624,long,30,10
8.6096,6.020797289396148,8.6096,long,31,11
8.3104,7.28,8.3104,long,32,12
5.7554,5.59,5.7554,long,33,13
5.6569,5.315072906367325,5.6569,long,34,14
5.7009,6.020797289396148,5.7009,long,35,15
6.1745,5.59,6.1745,long,36,16
7.0755,6.76,7.0755,long,37,17
6.8007,5.5,6.8007,long,38,18
6.0519,6.52,6.0519,long,39,19
6.408,,6.408,long,40,0
8.6783,,8.6783,long,41,1
7.9451,,7.9451,long,42,2
7.2887,5.315,7.2887,long,43,3
5.5509,4.031,5.5509,long,44,4
5.7009,2.06,5.7009,long,45,5
5.2202,4.272,5.2202,long,46,6
8.5147,6.08,8.5147,long,47,7
7.433,4.506,7.433,long,48,8
7.8302,8.062,7.8302,long,49,9
4.9624,4.609,4.9624,long,50,10
8.6096,5.315,8.6096,long,51,11
8.3104,6.08,8.3104,long,52,12
5.7554,5.024,5.7554,long,53,13
5.6569,,5.6569,long,54,14
5.7009,5.408,5.7009,long,55,15
6.1745,5.024,6.1745,long,56,16
7.0755,6.403,7.0755,long,57,17
6.8007,5.024,6.8007,long,58,18
6.0519,6.08,6.0519,long,59,19
6.408,,6.408,long,60,0
8.6783,,8.6783,long,61,1
7.9451,,7.9451,long,62,2
7.2887,6.25,7.2887,long,63,3
5.5509,4.52,5.5509,long,64,4
5.7009,3.54,5.7009,long,65,5
5.2202,4.3,5.2202,long,66,6
8.5147,4.5,8.5147,long,67,7
