scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,706.2465785435616,0.6335950666507634,0.6083040448824385,1.8102095368241733,4,1.0617844552060356,0.25650736254810264,0.0
overall,Static_weber,707.3424820756782,0.366302058028062,0.5991075447606502,1.8527108494069633,3,,0.21057109833731538,1.0959035321166084
overall,Seq_weber,724.7473201072562,6.087329369654249e-05,0.5899596165825376,1.8949876884037609,3,,0.09583571248868576,18.500741563694646
overall,SeqGain_weber,726.3010651245398,2.7992092028809458e-05,0.5868916958543604,1.9091659797233633,4,0.9786673335379361,0.08190864031483432,20.054486580978278
overall,Linear_weber,727.6853757042758,1.4009935449432792e-05,0.5747084458423493,1.9654704553583913,3,,,21.438797160714216
overall,Static_basic,982.2020716192585,7.565503564457442e-61,0.6153013888020207,1.7778715498468387,3,,0.4631647833201185,275.95549307569695
overall,StaticGain_basic,983.4544801438468,4.0446484936542935e-61,0.6163056609912805,1.7732303400747857,4,0.9579679232017331,0.4396103700091208,277.20790160028525
overall,SeqGain_basic,992.3937706500693,4.6316796636604134e-63,0.6041234168516534,1.8295301671047959,4,0.8871295929266291,0.39764625310396334,286.14719210650776
overall,Seq_basic,996.5882651265936,5.6874240785994676e-64,0.5954555676609778,1.8695883373863988,3,,0.4818707628964607,290.341686583032
overall,Linear_basic,1007.7255995489115,2.170072137743091e-66,0.5793911500449491,1.9438294971229952,3,,,301.47902100535
range:long,Seq_weber,342.4011307743324,0.6305251573818323,0.15187965639507084,4.09719493935798,3,,0.5120809100068923,0.0
range:long,SeqGain_weber,344.3606982831282,0.23669426823120226,0.14873516184843327,4.112385716516514,4,0.9530233492678418,0.4885324812184001,1.9595675087958284
range:long,Static_weber,347.2408305947634,0.05607573260627317,0.0978000084534234,4.35844897192484,3,,0.38897796339630747,4.839699820431008
range:long,Linear_weber,347.2408305947654,0.05607573260621738,0.09780000258418653,4.3584490002786085,3,,,4.8396998204329975
range:long,StaticGain_weber,349.24083059476345,0.02062910917447441,0.09780000782451026,4.358448974963064,4,1.5520975896283327,0.6063249732114088,6.839699820431065
range:long,Seq_basic,413.1286302512413,2.7632555335603257e-16,0.15801169273374005,4.06757161002247,3,,0.6374751500854411,70.72749947690892
range:long,SeqGain_basic,414.9107362335485,1.133552531736537e-16,0.15992061112168032,4.058349792838516,4,1.1546166232868043,0.7032242871282701,72.50960545921612
range:long,Linear_basic,418.8287481182722,1.598292201670601e-17,0.10650355569860093,4.31640289910476,3,,,76.4276173439398
range:long,Static_basic,418.8287481182723,1.5982922016705097e-17,0.10650355569859915,4.3164028991047685,3,,0.40960363109101694,76.42761734393991
range:long,StaticGain_basic,420.8287481182726,5.879788419791378e-18,0.10650355569859549,4.316402899104786,4,0.5993992535800403,0.015020010301297437,78.4276173439402
range:medium,Static_weber,180.9372936921406,0.35953118711521165,0.34529806473562297,0.4030347727028613,3,,0.515340643224239,0.0
range:medium,Linear_weber,180.9372936921411,0.35953118711511967,0.345298061033532,0.40303477498187,3,,,5.115907697472721e-13
range:medium,StaticGain_weber,182.93729369214032,0.13226413219966812,0.34529806366212135,0.40303477336370935,4,1.036979554227823,0.5326240292311549,1.9999999999997158
range:medium,SeqGain_weber,182.9413756892234,0.13199445659612166,0.3445566008038309,0.4034912181952617,4,0.48838098894051074,0.009900990099009901,2.0040819970828068
range:medium,Static_basic,189.08305886495128,0.006122180588399849,0.34657645412845717,0.40224779568230523,3,,0.6329686043608598,8.145765172810684
range:medium,Linear_basic,189.0830588649513,0.006122180588399762,0.3465764541284587,0.4022477956823043,3,,,8.145765172810712
range:medium,StaticGain_basic,191.083058864952,0.002252224373610388,0.34657645412845395,0.40224779568230723,4,1.23331513830437,0.7024025578266596,10.145765172811394
range:medium,SeqGain_basic,191.1467240779164,0.002181659295220948,0.3461384089519669,0.40251745646781834,4,0.36945098641265955,0.009900990099009901,10.20943038577579
range:medium,Seq_weber,206.9884700442003,7.921282469688134e-07,0.07745026217496609,0.5679219868828573,3,,0.4462167417357602,26.051176352059713
range:medium,Seq_basic,247.92355471466144,1.0229509406136413e-15,-0.21390677236736244,0.7472814936555516,3,,0.6098620398904875,66.98626102252084
range:short,Static_weber,140.18347659002546,0.3486435194521487,0.6991998148097169,0.280494061255952,3,,0.08582109696500678,0.0
range:short,Linear_weber,140.1834765900255,0.3486435194521438,0.6991998166981397,0.28049405949501116,3,,,2.842170943040401e-14
range:short,StaticGain_weber,142.18347659002544,0.12825878310410319,0.6991998149231908,0.2804940611501384,4,1.6386389175813472,0.44211083054828176,1.9999999999999716
range:short,SeqGain_weber,142.86505315402638,0.09121886091236153,0.6975663067160321,0.2820172960870818,4,0.9209736178746774,0.009900990099009901,2.6815765640009204
range:short,Seq_weber,143.0846597945428,0.08173304304122805,0.6727622685668122,0.3051468875519977,3,,0.009900990099009901,2.901183204517338
range:short,Static_basic,153.02959501533599,0.0005660860125396432,0.7048594111784547,0.27521652736902147,3,,0.3365816530713422,12.846118425310522
range:short,Linear_basic,153.02959501533616,0.0005660860125395948,0.7048594111784541,0.2752165273690221,3,,,12.846118425310692
range:short,StaticGain_basic,155.02959501533684,0.00020825140594796522,0.7048594111784546,0.27521652736902164,4,2.2519008196156665,0.7053962820281788,14.846118425311374
range:short,SeqGain_basic,155.5337396619752,0.00016185060347235795,0.7032890000740915,0.27668092470051137,4,0.6675269004683202,0.009900990099009901,15.35026307194974
range:short,Seq_basic,190.82385686171793,3.515302801419518e-12,0.560654486454786,0.4096866074431521,3,,0.1547758242554974,50.640380271692464
