correct,response,input_value,range_category,trial,stimulus_id
2.4622,2.5,2.4622,short,0,0
4.8023,5.0,4.8023,short,1,1
4.0078,4.0,4.0078,short,2,2
3.4004,3.16,3.4004,short,3,3
1.5,1.75,1.5,short,4,4
1.6771,1.5,1.6771,short,5,5
1.25,1.5,1.25,short,6,6
4.3732,5.0,4.3732,short,7,7
3.4004,3.16,3.4004,short,8,8
3.8243,4.5,3.8243,short,9,9
1.0308,1.0,1.0308,short,10,10
4.8088,5.0,4.8088,short,11,11
4.3157,4.12,4.3157,short,12,12
1.75,2.0,1.75,short,13,13
1.8028,2.24,1.8028,short,14,14
1.82,2.0,1.82,short,15,15
2.136,2.5,2.136,short,16,16
3.0104,3.16,3.0104,short,17,17
2.6575,3.16,2.6575,short,18,18
2.25,2.25,2.25,short,19,19
2.4622,2.5,2.4622,short,20,0
4.8023,4.0,4.8023,short,21,1
4.0078,4.0,4.0078,short,22,2
3.4004,3.0,3.4004,short,23,3
1.5,1.75,1.5,short,24,4
1.6771,1.5,1.6771,short,25,5
1.25,1.5,1.25,short,26,6
4.3732,3.0,4.3732,short,27,7
3.4004,3.0,3.4004,short,28,8
3.8243,4.0,3.8243,short,29,9
1.0308,1.0,1.0308,short,30,10
4.8088,5.0,4.8088,short,31,11
4.3157,4.0,4.3157,short,32,12
1.75,2.0,1.75,short,33,13
1.8028,1.5,1.8028,short,34,14
1.82,2.0,1.82,short,35,15
2.136,2.0,2.136,short,36,16
3.0104,3.0,3.0104,short,37,17
2.6575,2.5,2.6575,short,38,18
2.25,2.0,2.25,short,39,19
2.4622,2.5,2.4622,short,40,0
4.8023,3.61,4.8023,short,41,1
4.0078,4.0,4.0078,short,42,2
3.4004,3.16,3.4004,short,43,3
1.5,1.75,1.5,short,44,4
1.6771,1.75,1.6771,short,45,5
1.25,1.5,1.25,short,46,6
4.3732,3.61,4.3732,short,47,7
3.4004,3.16,3.4004,short,48,8
3.8243,4.24,3.8243,short,49,9
1.0308,1.0,1.0308,short,50,10
4.8088,5.0,4.8088,short,51,11
4.3157,4.12,4.3157,short,52,12
1.75,2.0,1.75,short,53,13
1.8028,1.41,1.8028,short,54,14
1.82,2.0,1.82,short,55,15
2.136,2.5,2.136,short,56,16
3.0104,3.16,3.0104,short,57,17
2.6575,2.83,2.6575,short,58,18
2.25,2.25,2.25,short,59,19
2.4622,2.0,2.4622,short,60,0
4.8023,4.0,4.8023,short,61,1
4.0078,4.0,4.0078,short,62,2
3.4004,3.0,3.4004,short,63,3
1.5,1.75,1.5,short,64,4
1.6771,1.5,1.6771,short,65,5
1.25,1.5,1.25,short,66,6
4.3732,3.0,4.3732,short,67,7
3.4004,3.0,3.4004,short,68,8
3.8243,4.0,3.8243,short,69,9
1.0308,1.0,1.0308,short,70,10
4.8088,5.0,4.8088,short,71,11
4.3157,4.5,4.3157,short,72,12
1.75,2.0,1.75,short,73,13
1.8028,1.5,1.8028,short,74,14
1.82,2.0,1.82,short,75,15
2.136,2.0,2.136,short,76,16
3.0104,3.0,3.0104,short,77,17
2.6575,2.5,2.6575,short,78,18
2.25,2.25,2.25,short,79,19
2.4622,1.58,2.4622,short,80,0
4.8023,3.61,4.8023,short,81,1
4.0078,4.0,4.0078,short,82,2
3.4004,3.04,3.4004,short,83,3
1.5,1.5,1.5,short,84,4
1.6771,1.5,1.6771,short,85,5
1.25,1.5,1.25,short,86,6
4.3732,3.61,4.3732,short,87,7
3.4004,3.16,3.4004,short,88,8
3.8243,3.54,3.8243,short,89,9
1.0308,1.0,1.0308,short,90,10
4.8088,5.0,4.8088,short,91,11
4.3157,4.12,4.3157,short,92,12
1.75,2.0,1.75,short,93,13
1.8028,1.5,1.8028,short,94,14
1.82,2.0,1.82,short,95,15
2.136,2.24,2.136,short,96,16
3.0104,3.0,3.0104,short,97,17
2.6575,2.5,2.6575,short,98,18
2.25,2.0,2.25,short,99,19
4.423,3.61,4.423,medium,0,0
6.8648,6.08,6.8648,medium,1,1
5.8363,5.83,5.8363,medium,2,2
5.3502,5.83,5.3502,medium,3,3
3.5532,3.61,3.5532,medium,4,4
3.5089,4.24,3.5089,medium,5,5
3.1623,3.61,3.1623,medium,6,6
6.5192,6.71,6.5192,medium,7,7
5.3502,6.08,5.3502,medium,8,8
5.8149,5.83,5.8149,medium,9,9
3.0104,3.0,3.0104,medium,10,10
6.8283,7.21,6.8283,medium,11,11
6.255,6.08,6.255,medium,12,12
3.75,5.0,3.75,medium,13,13
3.6056,3.61,3.6056,medium,14,14
3.6912,5.0,3.6912,medium,15,15
4.1003,3.61,4.1003,medium,16,16
5.0,5.0,5.0,medium,17,17
4.717,5.83,4.717,medium,18,18
4.0697,5.0,4.0697,medium,19,19
4.423,3.61,4.423,medium,20,0
6.8648,6.08,6.8648,medium,21,1
5.8363,5.83,5.8363,medium,22,2
5.3502,5.83,5.3502,medium,23,3
3.5532,3.61,3.5532,medium,24,4
3.5089,3.61,3.5089,medium,25,5
3.1623,4.0,3.1623,medium,26,6
6.5192,6.71,6.5192,medium,27,7
5.3502,5.1,5.3502,medium,28,8
5.8149,5.83,5.8149,medium,29,9
3.0104,3.16,3.0104,medium,30,10
6.8283,7.07,6.8283,medium,31,11
6.255,6.08,6.255,medium,32,12
3.75,4.47,3.75,medium,33,13
3.6056,3.61,3.6056,medium,34,14
3.6912,4.47,3.6912,medium,35,15
4.1003,3.61,4.1003,medium,36,16
5.0,5.0,5.0,medium,37,17
4.717,5.1,4.717,medium,38,18
4.0697,5.0,4.0697,medium,39,19
4.423,3.61,4.423,medium,40,0
6.8648,6.08,6.8648,medium,41,1
5.8363,5.83,5.8363,medium,42,2
5.3502,5.39,5.3502,medium,43,3
3.5532,3.61,3.5532,medium,44,4
3.5089,4.12,3.5089,medium,45,5
3.1623,3.54,3.1623,medium,46,6
6.5192,6.32,6.5192,medium,47,7
5.3502,5.66,5.3502,medium,48,8
5.8149,5.83,5.8149,medium,49,9
3.0104,3.0,3.0104,medium,50,10
6.8283,6.71,6.8283,medium,51,11
6.255,6.08,6.255,medium,52,12
3.75,4.12,3.75,medium,53,13
3.6056,3.35,3.6056,medium,54,14
3.6912,4.24,3.6912,medium,55,15
4.1003,3.61,4.1003,medium,56,16
