scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,320.3233012124797,0.6581901250029716,0.741557190056078,0.6320542495521548,3,,,0.0
overall,StaticGain_weber,322.3233012124797,0.24213461537065495,0.7415571904912907,0.6320542484877876,4,0.8262870107245158,0.0,2.0
overall,SeqGain_weber,324.09850607374455,0.09967265860820218,0.7388834486756808,0.6385932188585561,4,0.8274635612335337,0.009900990099009901,3.7752048612648537
overall,Static_weber,346.1011069150144,1.6625395139874268e-06,0.7306892811778509,0.6586330814094599,3,,0.018010036955091124,25.777805702534693
overall,Seq_weber,347.25545122324843,9.334891928964134e-07,0.7294160608501672,0.6617469011319095,3,,0.009900990099009901,26.932150010768737
overall,Linear_basic,358.62369305146717,3.173415560853603e-09,0.7487616636275087,0.614434807410982,3,,,38.30039183898748
overall,StaticGain_basic,360.6236930514351,1.1674343431502965e-09,0.7487616636275629,0.6144348074108497,4,0.6667060162924772,0.0,40.30039183895542
overall,SeqGain_basic,361.79914320070515,6.486145821986724e-10,0.7467851417992257,0.619268639008657,4,0.6675942957278149,0.009900990099009901,41.475841988225454
overall,Static_basic,433.61526599373906,1.6493536577640817e-25,0.5858012813044489,1.0129748255228543,3,,0.20050973812413103,113.29196478125937
overall,Seq_basic,442.11872417713033,2.3486121586057906e-27,0.5616421540342666,1.0720589960590876,3,,0.009900990099009901,121.79542296465064
range:long,Seq_weber,134.77952066168115,0.25327955582219336,0.47332705136133446,0.831271088446146,3,,0.07064275370237877,0.0
range:long,Linear_weber,135.1443931394301,0.2110420923843991,0.46750762782203437,0.840456140672859,3,,,0.36487247774894627
range:long,Static_weber,135.14779374494307,0.21068356182460898,0.4675137486782729,0.8404464798561402,3,,0.0,0.36827308326192565
range:long,SeqGain_weber,136.4735080042245,0.10858140532523827,0.4777792336494764,0.8242440132447509,4,1.1031871462842804,0.12007156542313084,1.6939873425433518
range:long,StaticGain_weber,137.1443931394274,0.07763804701012947,0.46750760716051054,0.8404561732838512,4,1.5613392518853366,0.35424733231901423,2.364872477746246
range:long,Seq_basic,138.70324067455354,0.03561026133215968,0.4728069345303674,0.832092011725602,3,,0.28018485953196964,3.923720012872394
range:long,Static_basic,138.83030933678216,0.03341816133935405,0.4714654360969368,0.8342093577290164,3,,0.27704902688287414,4.050788675101018
range:long,Linear_basic,138.83030933678947,0.03341816133923199,0.47146543609685987,0.834209357729138,3,,,4.050788675108322
range:long,SeqGain_basic,139.48949453960304,0.024034899104205486,0.485450424528894,0.8121362351473675,4,0.8279215361302652,0.17258813557359656,4.709973877921897
range:long,StaticGain_basic,140.83030933678526,0.01229385451847962,0.4714654360969118,0.8342093577290559,4,0.7818971163560359,0.07538884246421032,6.0507886751041156
range:medium,Linear_weber,109.06676899389436,0.30412004730016523,0.5967968356333282,0.6340124091081751,3,,,0.0
range:medium,Static_weber,109.06984720306127,0.30365233476302717,0.5954707584508101,0.636097584680823,3,,0.0,0.003078209166915258
range:medium,Seq_weber,109.86308666867401,0.20423344513848218,0.586639006235895,0.649984976926913,3,,0.009900990099009901,0.7963176747796581
range:medium,StaticGain_weber,111.06676899389417,0.11187951304982773,0.596796838811744,0.63401240411031,4,1.4488857373695971,0.3055576166293454,1.9999999999998153
range:medium,SeqGain_weber,111.85751961036942,0.07534271269492195,0.588423112003782,0.6471795793111019,4,1.0084200800132423,0.009900990099009901,2.7907506164750657
range:medium,Linear_basic,122.97685805470877,0.00029007318826473715,0.6136331095006825,0.6075383942729665,3,,,13.910089060814414
range:medium,Static_basic,122.97685805470962,0.00029007318826461355,0.6136331095006771,0.607538394272975,3,,0.20860459725854633,13.910089060815267
range:medium,StaticGain_basic,124.97685805470867,0.00010671196239765541,0.6136331095006833,0.6075383942729653,4,1.8962661269763343,0.5826558945331529,15.910089060814315
range:medium,SeqGain_basic,125.83262175711246,6.956429363853952e-05,0.6069634203209457,0.6180260741290753,4,0.7930487398367634,0.009900990099009901,16.765852763218106
range:medium,Seq_basic,128.83229591746095,1.552442101012548e-05,0.5656302331058822,0.6830199926254842,3,,0.009900990099009901,19.765526923566597
range:short,Linear_weber,29.09019181686473,0.2890351687346028,0.9186369040709655,0.09988954850720959,3,,,0.0
range:short,Static_weber,29.090191816865172,0.2890351687345391,0.9186369038065059,0.099889548831887,3,,0.029713123646550245,4.405364961712621e-13
range:short,Seq_weber,30.751186612804645,0.12597090579025086,0.9146355607268586,0.10480200145041854,3,,0.009900990099009901,1.6609947959399136
range:short,StaticGain_weber,31.090191816864746,0.10633009635297845,0.9186369037614126,0.09988954888724795,4,0.9703096863912256,2.3499487827198392e-05,2.000000000000014
range:short,SeqGain_weber,32.346738308563445,0.056728409009265776,0.9152311088735915,0.10407084643705289,4,0.9762083125228868,0.009900990099009901,3.256546491698714
range:short,Static_basic,32.516929788490586,0.05210075218665556,0.9189494081084674,0.09950588700986485,3,,0.11648210629790254,3.4267379716258546
range:short,Linear_basic,32.51692978849115,0.05210075218664093,0.9189494081084666,0.0995058870098658,3,,,3.426737971626416
range:short,StaticGain_basic,34.516929788491055,0.019166795599034153,0.9189494081084671,0.09950588700986515,4,0.970186356187048,0.0893317794757279,5.4267379716263235
range:short,SeqGain_basic,36.0145139390403,0.009064696024256995,0.9164850853924509,0.10253133829915263,4,0.8887696572728395,0.009900990099009901,6.9243221221755675
range:short,Seq_basic,41.94504718999699,0.0004672553817754669,0.9021304079660956,0.12015458911959725,3,,0.009900990099009901,12.85485537313226
