scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,339.0384018661417,0.7699409378298055,0.8195516152004627,0.5481912218844183,4,0.8043435179437947,0.14655472615920073,0.0
overall,Linear_basic,342.2614592029622,0.1536665721693636,0.8130697209469733,0.5678828225318466,3,,,3.2230573368204887
overall,StaticGain_basic,343.65928536172663,0.07639154786369953,0.8138287468687961,0.5655769479295979,4,0.7930108662479358,0.06219588914884482,4.620883495584906
overall,Seq_basic,367.87360187815267,4.216705659434545e-07,0.7777526999399773,0.6751737851007309,3,,0.29430602507514686,28.835200012010944
overall,Static_basic,368.5230460902516,3.047531954230893e-07,0.7767753055312686,0.678143049889486,3,,0.2563112056389351,29.4846442241099
overall,SeqGain_weber,370.2520155736248,1.28382939438535e-07,0.8164449431295504,0.5576291027523437,4,0.7937451803985193,0.11869911610344179,31.21361370748309
overall,Linear_weber,371.89697347072934,5.640391457531372e-08,0.8108946581813685,0.574490530971447,3,,,32.85857160458761
overall,StaticGain_weber,373.0988504265066,3.092608756762739e-08,0.8132159516189073,0.5674385826412345,4,0.7916775953620554,0.06972858272238479,34.060448560364875
overall,Static_weber,395.6007083048304,4.0189132022637004e-13,0.7724871567475218,0.6911701851780384,3,,0.2635249275382298,56.562306438688665
overall,Seq_weber,401.03893633208895,2.6497958459056663e-14,0.7640769005076353,0.7167200322970706,3,,0.28036423766777163,62.000534465947226
range:long,Seq_basic,131.23415655965346,0.4590764574909762,0.549898310254768,0.7954620500593781,3,,0.3759490705810845,0.0
range:long,SeqGain_basic,132.88947403131021,0.20064918490150918,0.5531188657990017,0.7897703813233724,4,1.1815444649984201,0.5576676803510177,1.6553174716567582
range:long,Linear_basic,133.55707531015054,0.14370425385735922,0.5275803521027441,0.8349044452985449,3,,,2.322918750497081
range:long,Static_basic,133.55707531015068,0.143704253857349,0.5275803521027418,0.834904445298549,3,,0.20136329975900674,2.322918750497223
range:long,StaticGain_basic,135.55707531015003,0.05286584060301792,0.5275803521027488,0.8349044452985367,4,2.0567045533035118,0.611691036982875,4.322918750496569
range:long,Seq_weber,168.76376960350098,3.2541164871067176e-09,0.5250963409130882,0.8392944235597076,3,,0.3431038391428364,37.52961304384752
range:long,SeqGain_weber,169.63253698955265,2.1075731365008055e-09,0.4940167092706068,0.8942212724578137,4,1.654932421027095,0.8001949874847355,38.39838042989919
range:long,Static_weber,170.11128976466915,1.6589099427852591e-09,0.5162292966652008,0.8549650983340772,3,,0.14584766846983108,38.877133205015696
range:long,Linear_weber,170.1112897646697,1.6589099427848112e-09,0.5162292984542771,0.854965095172253,3,,,38.877133205016236
range:long,StaticGain_weber,172.11128976467043,6.102788627052002e-10,0.5162293095404759,0.8549650755796798,4,1.5615136548532542,0.452997287396801,40.877133205016975
range:medium,Static_weber,103.38971906761073,0.18649296461379467,0.6668035175329217,0.4223520777054381,3,,0.2582839605278165,0.0
range:medium,Linear_weber,103.38971906761137,0.18649296461373502,0.6668035208656286,0.4223520734809767,3,,,6.394884621840902e-13
range:medium,SeqGain_weber,103.44715371836077,0.18121355356707672,0.6689018617785367,0.4196922655570181,4,0.8138080280918266,0.12442008677757542,0.057434650750039395
range:medium,SeqGain_basic,105.02615880876448,0.08228375038814507,0.6784045244701897,0.4076469123112792,4,0.8256091574015136,0.14070039626498848,1.636439741153751
range:medium,Seq_weber,105.20363581680337,0.07529661200691642,0.634802140101242,0.46291627618565845,3,,0.23799330758729456,1.813916749192643
range:medium,Static_basic,105.33627635024618,0.07046491129594447,0.663197461504897,0.42692303008909344,3,,0.2613124147869092,1.9465572826354531
range:medium,Linear_basic,105.33627635024996,0.07046491129581128,0.6631974615048946,0.4269230300890965,3,,,1.9465572826392332
range:medium,StaticGain_weber,105.38971906761162,0.06860692760449763,0.6668035164003955,0.42235207914100187,4,1.5455358327308748,0.5200913411526147,2.0000000000008953
range:medium,Seq_basic,105.91496864541247,0.05276081242435715,0.6592767155387037,0.4318928760872142,3,,0.2420369238078487,2.5252495778017447
range:medium,StaticGain_basic,107.33627635024817,0.02592259218972152,0.6631974615048897,0.4269230300891027,4,2.325554255497128,0.6823605980458003,3.9465572826374427
range:short,Static_weber,94.75441312491034,0.3159777935716451,0.648114217102063,0.38669546465213755,3,,0.2821606520327727,0.0
range:short,Linear_weber,94.75441312491044,0.3159777935716294,0.6481142172629857,0.38669546447529585,3,,,9.947598300641403e-14
range:short,SeqGain_weber,95.76504833135837,0.19063380460486745,0.656141853120116,0.3778737088696381,4,0.7715318147986215,0.10277606886870287,1.010635206448029
range:short,StaticGain_weber,96.75441312491043,0.11624173412171722,0.6481142152361841,0.3866954667025952,4,1.2162545981811337,0.4097951582534769,2.0000000000000853
range:short,Seq_weber,99.48408194634808,0.029690808710666657,0.592794679889818,0.4474873897207182,3,,0.320352599949052,4.729668821437741
range:short,Static_basic,102.0138239746625,0.008380993912188916,0.6364837993802956,0.39947640097749554,3,,0.30433426511905,7.2594108497521574
range:short,Linear_basic,102.01382397466264,0.008380993912188321,0.6364837993802945,0.39947640097749676,3,,,7.2594108497522996
range:short,SeqGain_basic,102.20639974533196,0.007611639793195914,0.6493896896431863,0.38529381823471526,4,0.7870941844716048,0.1665389207133388,7.451986620421621
range:short,Seq_basic,103.4825751585183,0.0040212424450236746,0.625647117719223,0.4113850822993301,3,,0.34383909166569626,8.728162033607958
range:short,StaticGain_basic,104.01382397466246,0.0030831953568773844,0.6364837993802954,0.3994764009774958,4,1.084676613172442,0.35864226049354286,9.259410849752115
