correct,response,input_value,range_category,trial,stimulus_id
2.4622,1.897366596,2.4622,short,0,0
4.8023,4.728708972,4.8023,short,1,1
4.0078,3.711045055,4.0078,short,2,2
3.4004,3.354101966,3.4004,short,3,3
1.5,1.25,1.5,short,4,4
1.6771,2.061552813,1.6771,short,5,5
1.25,1.5,1.25,short,6,6
4.3732,3.570714211,4.3732,short,7,7
3.4004,3.905124838,3.4004,short,8,8
3.8243,2.879250736,3.8243,short,9,9
2.4622,2.966479,2.4622,short,10,0
4.8023,4.252796,4.8023,short,11,1
4.0078,4.202939,4.0078,short,12,2
3.4004,3.431475,3.4004,short,13,3
1.5,1.414214,1.5,short,14,4
1.6771,2.54951,1.6771,short,15,5
1.25,1.560798,1.25,short,16,6
4.3732,4.527693,4.3732,short,17,7
3.4004,4.527693,3.4004,short,18,8
3.8243,4.527693,3.8243,short,19,9
2.4622,1.82,2.4622,short,20,0
4.8023,3.44,4.8023,short,21,1
4.0078,3.57,4.0078,short,22,2
3.4004,3.2,3.4004,short,23,3
1.5,1.12,1.5,short,24,4
1.6771,2.03,1.6771,short,25,5
1.25,1.3,1.25,short,26,6
4.3732,5.43,4.3732,short,27,7
3.4004,3.81,3.4004,short,28,8
3.8243,4.07,3.8243,short,29,9
2.4622,1.661324780497698,2.4622,short,30,0
4.8023,3.7119176667903515,4.8023,short,31,1
4.0078,3.3541019662496847,4.0078,short,32,2
3.4004,3.041381265149099,3.4004,short,33,3
1.5,1.118033988749895,1.5,short,34,4
1.6771,1.708800780523345,1.6771,short,35,5
1.25,1.708800780523345,1.25,short,36,6
4.3732,4.209904583404252,4.3732,short,37,7
3.4004,3.678971707937735,3.4004,short,38,8
3.8243,3.8078865527640127,3.8243,short,39,9
2.4622,1.61,2.4622,short,40,0
4.8023,5.03,4.8023,short,41,1
4.0078,3.36,4.0078,short,42,2
3.4004,3.12,3.4004,short,43,3
1.5,1.55,1.5,short,44,4
1.6771,2.12,1.6771,short,45,5
1.25,1.73,1.25,short,46,6
4.3732,4.06,4.3732,short,47,7
3.4004,4.42,3.4004,short,48,8
3.8243,4.97,3.8243,short,49,9
4.423,2.9154759474226504,4.423,medium,0,0
6.8648,4.0,6.8648,medium,1,1
